user,text,country,id
_hawkswifeyy_,"b'@keigosbabie All i could hear that song In my head ""im in PAIIIINNNNNN"" https://t.co/xHwPrc1QBL'",Singapore,1306715841585541120
KirstyKeenan11,b'RT @uwaiis__: I always be overthinking these https://t.co/58ZzOKmdkS',Singapore,1306715837663973377
mrtoughdev,"b'Enter to win $100 to spend at Jiffy Lube*     - Roadshow, read more https://t.co/82wyoIm7ti'",Singapore,1306715830504230913
Sierrayay,"b""RT @AdvosArt: I'm not the first to make this joke, but I still had to make it https://t.co/gTcIUefOxG""",Singapore,1306715830353309697
Leeqiuwei,b'Just posted a photo @ Newton Food Centre https://t.co/3pkygxgMRC',Singapore,1306715826490400769
ade_adistia,b'RT @binxjin: more whipped than stiff peaks https://t.co/Zboir76Fjt',Singapore,1306715824959361025
DawwoRawst,b'RT @AdvosArt: Blep https://t.co/ecapKDFMNG',Singapore,1306715812871524356
SkeletonHell98,"b""RT @AdvosArt: I'm not the first to make this joke, but I still had to make it https://t.co/gTcIUefOxG""",Singapore,1306715801035190272
KingChodyMinion,"b'Pledge your allegiance to King Chody, the Chosen One! *cheers*'",Singapore,1306715798401167360
daryledesilva,"b'""How do you do code reviews? WRONG ANSWERS ONLY"" ? https://t.co/i3V1egqaMa'",Singapore,1306715787999080449
Starkaane,b'RT @KimarisG: Just some elder dragons and Magnamalo ?. I?m really looking forward to Monster Hunter Rise!! I look forward to playing it on?',Singapore,1306715780759912453
_Rafaeluu_,b'RT @uwaiis__: I always be overthinking these https://t.co/58ZzOKmdkS',Singapore,1306715775667855361
sanchezalyyy,b'RT @uwaiis__: I always be overthinking these https://t.co/58ZzOKmdkS',Singapore,1306715770974474240
SkunkKingPoison,b'@coophenasise Here be my sona! https://t.co/q7xOsP6eRi',Singapore,1306715760438509569
WanNorden,"b""RT @nisahohnisah: Let's spread this to everyone ????? https://t.co/QOJIRJRKOm""",Singapore,1306715745389219840
idroj98,b'RT @uwaiis__: I always be overthinking these https://t.co/58ZzOKmdkS',Singapore,1306715745074716680
junch05272,b'RT @uwaiis__: I always be overthinking these https://t.co/58ZzOKmdkS',Singapore,1306715738766323712
DomScatterbrain,b'@jinseibulues What a time to be an old fan',Singapore,1306715738514714625
bi_enby,"b'RT @jolantru: ICYMI. To pay for hospital fees (you know, the one where I had the bloody transfusions). https://t.co/EY7RaymTEo'",Singapore,1306715735419428868
AndreEllewee,b'RT @lipglossgirl: My mom is crying because grooms and stable hands on a farm outside PE are rioting. Their protest involves  breaking the h?',Singapore,1306715730990292994
Espyrian,b'RT @KimarisG: Just some elder dragons and Magnamalo ?. I?m really looking forward to Monster Hunter Rise!! I look forward to playing it on?',Singapore,1306715722412773376
CuteAsianDolly,b'Happy TGIF! #dresses #zaogeng #sexylegs #upskirt #asianupskirt #cuteasiangallery More sexy babes at? https://t.co/Ktk72AFw6B',Singapore,1306715712564625410
ErikaSo72014490,b'RT @SgWangyibo: 200917/ Street dance of China weibo update \n#wangyibo #??? #??? https://t.co/ap7S25BEH8',Singapore,1306715704348094466
kimluckyyo,"b""Nevertheless being a keeper is wat a lot more worse cuz idk abt you but it really doesn't sit right cuz you're supr? https://t.co/aIl3W3toUD""",Singapore,1306715684332736513
NicolasOng,b'Trump campaign ad slammed as overtly racist https://t.co/0SXGbkKtug via @msnbc',Singapore,1306715678339076096
crazyboy_3838,"b'RT @veloprotocol: $VELO x Kucoin Listing Giveaway!\n\nTo celebrate our first listing we are giving $1,000 $USDT to our fans!\n\n10 Winners x 10?'",Singapore,1306715650539139077
Uzumakijiraya1,b'RT @uwaiis__: I always be overthinking these https://t.co/58ZzOKmdkS',Singapore,1306715650417623041
yigsi0,"b'RT @justinsuntron: How to Get My Token Listed on #JustSwap?\n\n?Create #TRC20 token, follow #JustSwap documentation then you can list you tok?'",Singapore,1306715650367389698
NadiaShahzanani,b'RT @Str4wberychills: Lagi 59 jer nk hit 400???? rt this I?ll follow you iydm drop your ig link sekali!?',Singapore,1306715642364489729
HalaKha07382816,"b""RT @sprihaxxo: The way he's just so perfect ??\n#AsimRiaz https://t.co/IaANNJl91J""",Singapore,1306715638027649029
Mudin96Aziz,"b""RT @nisahohnisah: Let's spread this to everyone ????? https://t.co/QOJIRJRKOm""",Singapore,1306715628472999936
insybitsyy,b'RT @HeyAudi: Here we go again with the guy who has a bright future bla bla bla and ends up getting away.',Singapore,1306715627566985216
CloverWind_,b'Are you done?? https://t.co/5JgMBGZJuf',Singapore,1306715623582437376
malloriemoore14,b'RT @uwaiis__: I always be overthinking these https://t.co/58ZzOKmdkS',Singapore,1306715620273270784
StellardeMktg,b'@tim_cook Good products=Mummy happy=kids happy=everyone ?',Singapore,1306715613562241025
TheRealGinger21,b'RT @uwaiis__: I always be overthinking these https://t.co/58ZzOKmdkS',Singapore,1306715611003785218
dovelynnwriter,"b'RT @jolantru: ICYMI. To pay for hospital fees (you know, the one where I had the bloody transfusions). https://t.co/EY7RaymTEo'",Singapore,1306715610089390085
