user,text,country,id
syrda49,"b""Tomorrow, #Bac2020 /2021 starts \nIt's #BackToSchool2020\n??? https://t.co/SnEAU3f3lx""",Tunisia,1306713171403603969
wonhosleftthigh,b'RT @NINI24HUNNIE: @spideybbh He was looking  Like that????? then hell yeah we will ageee with whatever he may say????? @weareoneEXO https:/?',Tunisia,1306692990623244290
NINI24HUNNIE,b'@MTV That smile is more than enough to make my day ?????????????? @B_hundred_Hyun @weareoneEXO https://t.co/BnPf5lx1xT',Tunisia,1306636706859364352
Jongnikai,b'RT @NINI24HUNNIE: @spideybbh He was looking  Like that????? then hell yeah we will ageee with whatever he may say????? @weareoneEXO https:/?',Tunisia,1306630779406086150
maiyfa,b'sorry Ma but I?m gonna have to break your rules ?',Tunisia,1306612965345570816
Jvgamer205,b'@MinatoEJK Grave !',Tunisia,1306583554688679937
NINI24HUNNIE,b'@fairybobohu His shyness sooooooo adorable ?????????? https://t.co/6l7bNGMdfs',Tunisia,1306573728084615168
NINI24HUNNIE,"b""@knockknock0408 @weareoneEXO I'm trying to pick favorite colors THANK YOU SO MUCH ?????""",Tunisia,1306572026509959168
NINI24HUNNIE,"b""Bruh!! ??? They're getting expensive day after another ????? #EXO mercy pls ???? @weareoneEXO? https://t.co/YCNEflihsp""",Tunisia,1306571690944716800
NINI24HUNNIE,"b""@kchartsmaster @LOEYUNDKAI @weareoneEXO Exo the kings of the kpop ?????? can't pas day without mention of their nam? https://t.co/256VksbQnN""",Tunisia,1306570756030181376
NINI24HUNNIE,b'@demjointz @UndecidedFutur1 This really amazing ??????? thank you so much ????????@weareoneEXO',Tunisia,1306568831905783808
NINI24HUNNIE,b'@spideybbh He was looking  Like that????? then hell yeah we will ageee with whatever he may say????? @weareoneEXO https://t.co/4EOdrvjXC6',Tunisia,1306568037051629574
syrda49,b'Ooooooh this is great try to like and see it ?????\n#??????????',Tunisia,1306559638117154816
KsiksiTalel,b'@Kenza_Z You?re welcome ?',Tunisia,1306531636402688000
ZzGrelo,b'@kikufi98 Alves',Tunisia,1306362763728556034
ZzGrelo,b'@MeliMelo_10 I ma tuer jss cuit',Tunisia,1306355444831715328
Jvgamer205,b'@StreamDjamel Vide*',Tunisia,1306351634990141441
Raaniahjo,b'RT @dulcita___: THE REAL LAB ????',Tunisia,1306348860328079368
dulcita___,b'THE REAL LAB ???? https://t.co/xDXsaNuPnF',Tunisia,1306348807035248645
syrda49,b'#PlayStation5 #Playstation5Showcase \ncould anyone gift me this ?? https://t.co/qf0iIV4k5O',Tunisia,1306335415230697478
biancorosso24,b'Diamond of the coast ? https://t.co/DqH8IxWhpF',Tunisia,1306304281008648196
NINI24HUNNIE,b'@oshbbhx My heart ???????????????????????????????????????? https://t.co/RsGW7VC5WX',Tunisia,1306279111359426560
Hihiililii987g1,b'@Ali150336688 Ramis',Tunisia,1306278462747885570
