user,text,country,id
ara_ashjian,b'We have seen elements of Turkey?s military presence in Azerbaijan ? Armenian FM https://t.co/kVYiM1D6sy',Armenia,1306690388447703040
Vardan_YC,b'@DarwinC91656481 Being best scorer of his position of all time is enough.',Armenia,1306690114484084746
GagaArmenianFC,b'?PuT on YOUR Superhero SuiT?\nHOW LADY GAGA NAVIGATED A YEAR UNLIKE ANY OTHER https://t.co/6k2XHBlmVE',Armenia,1306689692755275777
BruhMoment1447,b'@ODillonVidal @bfcJacob01 @real_coull @JackMasterFr @SkySportsNews Name some then big man ???',Armenia,1306688874857590784
PyotrSargsyan,b'@AppleInsider_ru Good??',Armenia,1306688421092564992
vahandev,b'@henshaw @lorenbaker I would block them from indexing then',Armenia,1306685619746242561
MaYa7401,b'@shiningeternal7 Girl you need to learn what means fair and equal treatmen for seven members and difference-between? https://t.co/DhTPuIXjWj',Armenia,1306684766750748672
4202tolstyh,b'@papnagog711 sounds offensive since I tried to make noire super fun',Armenia,1306683250077827073
elen837,b'@peterdaze I know everything very well and respect.',Armenia,1306682240647270401
Asojan,b'Just posted a photo @ Yerevan Football Academy Stadium https://t.co/aVKPF6jV75',Armenia,1306682026335105024
AnArzrumtsyan,b'?No one has ever made a difference by being like everyone else.? \n#thegreatestshowman #beyourself #inspire? https://t.co/iFKlxCuRaC',Armenia,1306681812274606081
Syrian_Assyrian,b'RT @that_girl1231: Society if Assyrians were granted a state https://t.co/TRSY3Ln3i2',Armenia,1306681765273235459
elen837,"b'Love only one\n \n- Love, do not use https://t.co/8PCRGvDX9Q'",Armenia,1306681725972606976
Khazixstann1,b'@DesertPogona ive literally found the greatest tweet ever written',Armenia,1306680620349825031
RredneckRromeo,b'@elmovsi Ion leave my house ??',Armenia,1306680121416392704
BiblinaAlTaji,b'RT @that_girl1231: Society if Assyrians were granted a state https://t.co/TRSY3Ln3i2',Armenia,1306680009088733185
4202tolstyh,b'@xStep47 shut up please',Armenia,1306679873667301377
RredneckRromeo,b'@elmovsi Ma?am we need to see pics',Armenia,1306679601918337028
that_girl1231,b'Society if Assyrians were granted a state https://t.co/TRSY3Ln3i2',Armenia,1306679189395976192
elen837,"b'Appreciate loyalty! This is the most precious quality in love, friendship, and life ... https://t.co/FmDo8FsjOf'",Armenia,1306679027722268672
diegoventura10,b'RT @ArsenNazoyan: #Vahanavank is a 10th-11th century?#Armenian monastic complex?located approximately 5 kilometers west of the town of?#Kap?',Armenia,1306678834092220416
shaghikg,b'is everyone in the mood to rewatch doctor who right now. ive got a friend doing it and i feel like doing it toobut? https://t.co/4ckugEh2TJ',Armenia,1306678784079417346
