user,text,country,id
cattleya_palon,b'RT @gweysssi: stay safe iloveyou',Niger,1306636465019875328
anggeeerplna,b'songerist ??',Niger,1306623440447655936
shayneprnddulay,b'@JadangD i got uuuu??',Niger,1306612495134543872
gweysssi,b'stay safe iloveyou https://t.co/dsqxwAFD5W',Niger,1306604891939303425
shayneprnddulay,"b""@itshaixx u're welcomeeee ??""",Niger,1306603578153287681
shayneprnddulay,b'goodnight everyone???',Niger,1306600112391512069
Eopparika,b'Try to keep light but even pressure on your brush tip as you move it across the page.',Niger,1306593813595451393
liyoksiii_,b'unlucky.',Niger,1306591827131211780
Eopparika,b'With their vibrant colors and smooth brush tops',Niger,1306578725186617345
Eopparika,b'Use the clear water pen to fill in the shape.',Niger,1306563776381026304
sofhiapamela,b'@nonotmeeeee auto block',Niger,1306561192836517889
NxcolexAnne,"b'always, ilyyy!!! https://t.co/Fgwy8zrbMe'",Niger,1306559447607590912
NxcolexAnne,b'@liam_gabrielll iloveyou u are more than enough and you?re worthy okay? https://t.co/WyqEeUTYLt',Niger,1306549085470556160
Eopparika,b'Apply your water pen to the colored strokes to create the effect of petals that are darkened towards the center and faded out as you move ou',Niger,1306548499979198466
user_pcy,"b'RT @prcsgng: when someone tells you to stop, you stop :) it?s that easy to respect someone'",Niger,1306535427898249216
Eopparika,b'Once your brush is loaded with a darker color',Niger,1306533427022196738
sofhiapamela,b'@PiaWurtzbach love uuuuuuuu',Niger,1306531110319316992
Eopparika,b'Use a water-proof medium as a stamp.',Niger,1306518331675914240
InsigneLorah,"b'RT @prcsgng: when someone tells you to stop, you stop :) it?s that easy to respect someone'",Niger,1306507879235624961
prcsgng,"b'when someone tells you to stop, you stop :) it?s that easy to respect someone'",Niger,1306507222806126594
Eopparika,b'Continue this process',Niger,1306503274334281729
Eopparika,b'Finish the llama s body.',Niger,1306488118606880769
Eopparika,b'Start out with a small shape to conserve your watercolor ink.',Niger,1306473164600299522
Eopparika,b'Always make sure you apply the darker color to the lighter one because you will be able to see how much color you are transferring to the br',Niger,1306457912458448896
Eopparika,b'Choose a paper that is both heavy-weight and has a smooth surface.',Niger,1306442824859045888
Eopparika,b'Move the brush towards the inside of the shape at first.',Niger,1306427733652561920
isil92,"b""You promised me that you wouldn't make me sit alone, why did you do that Why did you make me cry on my own?""",Niger,1306427510809395201
JonaElixa,b'Shet party paaaarty na https://t.co/eCyWEJrr4r',Niger,1306420413954551810
Eopparika,b'A blanket across his back with tassels along the bottom',Niger,1306412660284518400
ellson_ann,b'Lumbay :((',Niger,1306400932268187650
tinehermosa,"b'like the morning wind, it seems that everything can start again. Goodmorning!'",Niger,1306399686530445313
