user,text,country,id
SugarBlastic,b'@CalmAngelEffing Eight years later and it still sends me laughing ???',Tanzania,1306725972876566528
JaSketch,b'Use a movie gif from the year you graduated high school https://t.co/MUlhbF0ZjL https://t.co/5jdMrIVNh0',Tanzania,1306725208779259904
Mikep1021My,b'RT @NWAChip: PREP FB: Fayetteville Public Schools have confirmed that several members of the Bulldog football team have been quarantined du?',Tanzania,1306725142052175874
SugarBlastic,b'@CalmAngelEffing || the rock goes SMACK\n\n?Who did that??\n\nAnd then there?s the gloating Scourge ?',Tanzania,1306724824937422848
alkebulantravel,b'If you are looking to climb Kilimanjaro anytime? Here you are!\n\nWe are #Kilimanjaro specialist company. For many ye? https://t.co/dm1yn6vSFA',Tanzania,1306724507839758343
yunus17said,b'Dreaming bigger ever last..',Tanzania,1306724309369524227
SugarBlastic,b'|| All I think of when I see Fleetway Sonic is that fan short of Scourge throwing a rock at him before getting toasted lmfao',Tanzania,1306723768375500800
SugarBlastic,b'Freezes.\n\n?................I can explain.? https://t.co/yzznBCQMeQ',Tanzania,1306723084175507456
SugarBlastic,b'?I NEVER EVEN GOT TO CLEAN OUT??\n\nCOUGH\n\n??MY KITCHEN..!?\n\nDIES. https://t.co/WTPsrRt4g3',Tanzania,1306722828490649600
ngugiwakamauu,b'@Mbogosue ??....... I ussualy use 200? up and 200? down but you can use 180? up and 200? down....',Tanzania,1306722721695518725
tumaini_amani,b'@babalao__ Ragnor Rothbrock',Tanzania,1306722364760240129
Its_CoachB,b'RT @RazorbackTF: ?????? ???????? (Asics) improves her U.S. leading time to 12.89 for the 2020 season in placing 3rd at Rome Diamond League.?',Tanzania,1306722128981565440
danny_lema,b'@OsmanZtheGooner And his coming to wear number 11',Tanzania,1306722121033416711
Its_CoachB,b'RT @RazorbackTF: ???? ??????? (Nike) claims another shot put victory with a winning toss of 74-1 ? (22.59) on his first attempt over a 67-7?',Tanzania,1306722112225374209
Fast_Forever,b'RT @RazorbackTF: ?????? ???????? (Asics) improves her U.S. leading time to 12.89 for the 2020 season in placing 3rd at Rome Diamond League.?',Tanzania,1306720504208916482
SugarBlastic,b'CRAWLING INTO THE LIGHT? https://t.co/fOfZ4UPbm5',Tanzania,1306720172514750464
SugarBlastic,b'Her face lit up.\n\nTea sounds soothing! https://t.co/tb5UCT6ppJ',Tanzania,1306720079468351488
gepemosr,b'Happiness ????',Tanzania,1306719952607608836
Kanenamagufa,b'@RealHauleGluck @TunduALissu @MagufuliJP @CatherineRuge @VitusNkuna @fredrickjustne @franklin_tissa @WemaKako? https://t.co/GjDP05ivXN',Tanzania,1306719380076720128
Kae_Success,b'RT @KATVNews: Arkansas Department of Health reported 883 new COVID-19 cases and eight additional deaths from the virus. https://t.co/1uxfsP?',Tanzania,1306719191811141632
lawrencelameck,b'Life of a graphics designer be like https://t.co/h4gNVWiRTN',Tanzania,1306718822347476999
justinechanga16,b'@D_Moraa Sweet',Tanzania,1306717952050421766
ngugiwakamauu,b'@Theo_mwangi ?Pale entertainment Highschool',Tanzania,1306716067998380032
gepemosr,b'Dj shabsy ft kiss daniel &amp; sugar boy - Raba',Tanzania,1306715657497710593
gepemosr,b'@MsBrown_Tz @DigitalMigrant1 Am done',Tanzania,1306715289204162563
Rachel53387541,"b""RT @MoruoKing: @Blizzss Everyone's single and sad in this App""",Tanzania,1306714947817218050
NWATom,b'@CourtLanning You have a seat assigned to you in the patriotic education camp ...',Tanzania,1306714737065984000
KATVNews,b'Arkansas Department of Health reported 883 new COVID-19 cases and eight additional deaths from the virus.? https://t.co/DQi4CJYgCc',Tanzania,1306714323029577731
JoachimDotto,b'Circumstance does not make the man. Circumstance reveals man to himself.',Tanzania,1306714230834507778
shadow_sombras,"b""#cancelsonictwitter \nTonight, we begin a dawn of a new era and that's #ShadowTwitter""",Tanzania,1306714055080583170
PaulRiggan1,"b""RT @RazorbackTF: ???????? men's cross country features pair of SEC champions racing in SEC Preview at LSU on Saturday.\n\nhttps://t.co/2FqbCM?""",Tanzania,1306713977888612353
PaulRiggan1,"b""RT @RazorbackTF: Lauren Gregory returns to racing as ????????? women's cross country competes in SEC Preview meet hosted by LSU on Saturday?""",Tanzania,1306713953716899841
PaulRiggan1,b'RT @RazorbackTF: ????????? men prepare for SEC Preview meet at LSU on Saturday with another practice at Agri Park. https://t.co/9AhqWN24HE',Tanzania,1306713500170039296
PaulRiggan1,b'RT @RazorbackTF: ???????? women get in another training session at Agri Park prior to the SEC Preview meet to open the 2020 season on Satur?',Tanzania,1306713488040046593
JoachimDotto,b'All of life is a near-death experience.',Tanzania,1306713463134150656
JadRadYouTuber,"b'@STHC09588996 First it was just to mock the tweet but when everyone saw #cancelsonictwitter, they took advantage lol.'",Tanzania,1306713412014141442
Juvin_Vuitton,b'@robyjerry02 Happy Easter y?all',Tanzania,1306713147273867264
JadRadYouTuber,b'@STHC09588996 Remember those memes about GamerGuyd and that dude with tangerine hair? Yeah the dude made a this twe? https://t.co/fmBp9SZP4q',Tanzania,1306712899575046145
PaulRiggan1,b'RT @RazorbackTF: ?????? ???????? (Asics) and ??????? ?????? (Asics) race in the 100m hurdles at the Rome Diamond League meet today.\n\nCovera?',Tanzania,1306711747487838208
thefae_africa,"b""RT @thefae_africa: Nelson Mandela's quote, ?It is not beyond our power to create a world in which all children have access to a good educat?""",Tanzania,1306711349150519297
ZachariaNitwa,b'This is a cool playlist from Boomplay. https://t.co/5WXI5iGkQ6',Tanzania,1306711341772804096
thefae_africa,"b'RT @thefae_africa: With access to education identified as the top priority for the Enjoro Maasai community in northern Tanzania, we are cur?'",Tanzania,1306711284134674434
thefae_africa,"b'RT @thefae_africa: Today was a great day for us at FAE, we handedover #Congratulations Certificate and presents to Mary-Magdalen, one of th?'",Tanzania,1306711242690756608
thefae_africa,"b'Today was a great day for us at FAE, we handedover #Congratulations Certificate and presents to Mary-Magdalen, one? https://t.co/pJQNjrgfco'",Tanzania,1306710939283136513
ecybellah,b'@MzaliwaDiNegro @BarakaSaimon3 What should i say.',Tanzania,1306710130394886145
chagaz_finest,"b""Keep a lil bit of a hoe in yo pocket just incase a MF don't act right!!\n\n#GoodNightEveryone????""",Tanzania,1306709944553689088
Kanenamagufa,"b'@Brendaulomy @King_Chris_Jr Life is bisexual,  any one can blow si ndiyo'",Tanzania,1306709673551294467
ecybellah,b'@BarakaSaimon3 ??sad moments',Tanzania,1306709491048644620
ngugiwakamauu,b'@CarolRadull happiest birthday legend ??\n\nHope Arsenal gets to top four just as a gift for you?',Tanzania,1306709192632344577
Brianmbunde,b'RT @ngugiwakamauu: @Brianmbunde Sanford and Altona ?',Tanzania,1306708684714790916
ngugiwakamauu,b'@Brianmbunde Sanford and Altona ?',Tanzania,1306707983364165632
gepemosr,b'@MsBrown_Tz @DigitalMigrant1 The one and only cowie bwooy ???',Tanzania,1306707972354191366
JoachimDotto,"b'Our background and circumstances may have influenced who we are, but we are responsible for who we become.'",Tanzania,1306707948463427590
mimiwewe71,b'@PMB_Ndu Why not?',Tanzania,1306707933552615426
Michaeljwoods23,"b""RT @RazorbackTF: ???????? men's cross country features pair of SEC champions racing in SEC Preview at LSU on Saturday.\n\nhttps://t.co/2FqbCM?""",Tanzania,1306707921426952194
mobarbq,b'Just posted a photo https://t.co/WOXWHX7dgi',Tanzania,1306706741292404736
Dedsports,b'RT @NWAChip: PREP FB: The Bulldogs (0-3) are off this week for their open date and are scheduled to host Bentonville West next Friday in th?',Tanzania,1306706671805386754
Dedsports,b'RT @NWAChip: PREP FB: Fayetteville Public Schools have confirmed that several members of the Bulldog football team have been quarantined du?',Tanzania,1306706650938605570
glenwoodace,b'@skipaway2000 Nyquist is white hot as a first-year sire.',Tanzania,1306706534785785858
daudij15,b'@LesibaTumisang We are together broo',Tanzania,1306706067401912321
