user,text,country,id
castillito333,b'@ItsMePablo_ lmfaooo comfort is winning bb',Nicaragua,1306714572359958531
AprilSun131,b'When I look at you - Miley Cyrus https://t.co/eJ8L1KwUtm',Nicaragua,1306713327171665924
ErickCamilo9,"b""I'm at Jinotega - @vivoenjinotega in Jinotega https://t.co/rcrMZdomQk""",Nicaragua,1306710147352403977
Diego09Lopez,"b'Hppp auto corrector, HELPPP*'",Nicaragua,1306709320646656005
memo_mclean,b'@_maledicencia_ Guateplast haciendo lobby.',Nicaragua,1306705549766033409
Miky_Altamirano,b'?? ??????? ????? ?? ??\n??? ? ?????? \n#911iscoming',Nicaragua,1306702912207368193
memo_mclean,b'@hipercubista The Panda or the Person?',Nicaragua,1306701729644322817
castillito333,b'should i watch a',Nicaragua,1306699112767729666
enrikevillegas,b'Praying for the staff in Congo https://t.co/on3XviVY3j',Nicaragua,1306693206088744961
MsPrisita,b'Congratulation!!! https://t.co/b4xazdl8YM',Nicaragua,1306690570409123852
Maviru18,b'@FigueroaLuhan Love it ?',Nicaragua,1306689622768906241
_claudialisette,b'Four movies you?re pretty sure you like more than anyone else you know https://t.co/20M8KMZCcj https://t.co/LDRCkjMv0D',Nicaragua,1306686105564127234
RealEstateCCIM,b'Keep on trying you will win them over. Have an awesome evening. https://t.co/vJoqrHO57T',Nicaragua,1306684232497090566
RealEstateCCIM,b'COIPRI-CILA-2020 event break time some great dancing while we are networking with agets around the Americas and pro? https://t.co/NCRY4n8U8s',Nicaragua,1306683641699934214
enrikevillegas,b'Wonderful album! https://t.co/0A3y9DZLzG',Nicaragua,1306683061388685312
QtrainSauce,b'Thought i was trippin https://t.co/oF3oYSrGQn',Nicaragua,1306680944062013441
QtrainSauce,b'Whew https://t.co/uR3eWAoaMq',Nicaragua,1306680072418603015
QtrainSauce,b'Oh shit i gotta sneeze in the dmv... y?all pray they don?t kick me out lmaoooo',Nicaragua,1306679582981005315
ErickCamilo9,b'Prix un AirForce1 no vale $60',Nicaragua,1306677895251853312
FratDamon12,b'Rocket League is free to play next Wednesday lmk if anyone wants to get their ass beat by me and Daylen',Nicaragua,1306674453498204162
TheMrClair,"b'I am not and will never be a ""Yes"" man.'",Nicaragua,1306672647527374848
FratDamon12,b'@cody_bowlin It was srirachi you thumbsucker',Nicaragua,1306669795107049474
FernyFem,b'Pooling your resources with another in a business venture or m... More for Gemini https://t.co/d6wygSfcc8',Nicaragua,1306669372396634112
GoldMtnCoffee,b'Check out our comments in this article by @PerfectDailyG ! https://t.co/7Ai4BxkLHH',Nicaragua,1306668579945877505
kanga5328,b'Yeah and they have a health plan too. https://t.co/7UcITNAWTS',Nicaragua,1306667631412420608
AndreaHuellitas,"b'@LaTathi02 Gracias mi baby, love you??'",Nicaragua,1306667315963080704
Pretty_Mystery1,b'@_Infin8Love ? people say the craziest things',Nicaragua,1306666951092166658
Pretty_Mystery1,b'@seleblashgirl ? what you doing for your bday',Nicaragua,1306666737069445125
graybyn,b'Bitch!! She is right in the corner!!  911 EMERGENCY!! ??#Chromatica #911iscoming https://t.co/6yXiuXtvxt',Nicaragua,1306665720005222401
Miky_Altamirano,b'911 Is Coming ??? https://t.co/oDjMq4Pen0',Nicaragua,1306665205938688000
MarceloBN_,b'RT @katthem_: Clasee calor brother ?',Nicaragua,1306664208185073665
katthem_,b'Clasee calor brother ?',Nicaragua,1306664097266663426
graybyn,b'@ladygaga OMG!!!! ????? SHE IS COMING  !!!!',Nicaragua,1306664073359249413
AmigosForChrist,"b""We're making something fun! It's almost October and that means Tee Rex is back. Stay tuned!\n\n#AmigosGolfClassic? https://t.co/5TvaPjvT1G""",Nicaragua,1306663993059282944
Topy_fre,"b'Six million ways to die, choose one heh heh.'",Nicaragua,1306661527789940736
mrcuadra_,"b'So, Drag Race Holland is around the corner, and my Top 4 picks are (in no particular order):\n\n@xoChelseaBoy ?? https://t.co/r2r6s3NNvu'",Nicaragua,1306659107504562179
enrikevillegas,"b'That game will never be erased from my memory, the end was a heart attack. ?? https://t.co/qZxILJST7q'",Nicaragua,1306658565189378048
FireballAttack,b'Hopefully she?ll love it ? https://t.co/ybF3EKYHd2',Nicaragua,1306657062584279040
Rfespinoza1,"b'Whine up, whine up, whine up, mami baila??'",Nicaragua,1306654235178786818
FireballAttack,b'Guess what I?m #cooking for my #wife ??? #QuarantineLife https://t.co/W29xBvFrIY',Nicaragua,1306653964621041665
KarlaJarquin21,b'Current mood... https://t.co/J5TgzAbpvw',Nicaragua,1306652464427479040
Second_Runner3,"b""Can't wait!!! https://t.co/Yio100FmeJ""",Nicaragua,1306651608483278849
Second_Runner3,b'@joselmr_92 try this https://t.co/Gjqb8L0s9t',Nicaragua,1306650742414086147
ValenTjass,b'@DianaEstrada___ Ayer baby',Nicaragua,1306650402503483393
jatabbi,b'@sarahmarb Happay birthday pm modiji God Bless you sir',Nicaragua,1306648961533595649
IngAlexPJ,b'Yoni ? https://t.co/oNm21f4b0f',Nicaragua,1306648889890668555
_Valeris98,b'OMGGGG the baby is going to be fabulous ? https://t.co/uoqk3jtLYH',Nicaragua,1306648447672516615
jatabbi,b'@narendramodi @RahulGandhi Happay birthday shri narendermodiji God Bless u sie',Nicaragua,1306647437944160256
yasselunico8,b'@SergioADippW The Best',Nicaragua,1306643391841787904
QtrainSauce,b'When they drug test ???',Nicaragua,1306641064086900739
Iantellez96,"b""I'll cry about it later, Tonight I'm gettin' somethin' brand new""",Nicaragua,1306640711652118531
Pretty_Mystery1,b'I can?t believe I feel some type of way ?',Nicaragua,1306632279754760193
RoyValle8,b'I just wanna taste it i just wanna taste it',Nicaragua,1306630935673278464
Ferz073,b'Nothing without you ?',Nicaragua,1306630837832687618
GonzalezMoyy,b'@lil_noe21 Bless you',Nicaragua,1306626892330496001
__Gretha__,b'@A_Calderita :( miss u',Nicaragua,1306617935784534018
lekdetupsx,b'@marie_enjelly ano den prank naten?',Nicaragua,1306615705815531520
kanga5328,"b'@LisaMaxResist Yeah there is a big margine between, ? damn 2020, now I can?t even watch sports bc ppl might get sic? https://t.co/gjDGGJFuEE'",Nicaragua,1306614415744290822
HMidence,b'RT @PlasenciaCigars: A box of the #ReservaOriginal and a new bottle of #Mitchers Whiskey is our idea of the perfect mid-week reward. Notes?',Nicaragua,1306612932793577472
MsPrisita,b'Morning ??',Nicaragua,1306612804456271873
SarahZelaya14,"b""RT @InturJinotega: Grower's Coffee Club, #SanRafaeldelNorte #Jinotega https://t.co/AkO8Cx1G5H""",Nicaragua,1306612626391212034
IngAlexPJ,b'Fuck fake friends',Nicaragua,1306610024664489984
VillAnitali,"b""@killingzafy Who's your teacher?""",Nicaragua,1306608223152156673
JFloresvilla,b'@blandon_cesar8 Sos swiftie!?',Nicaragua,1306607060914778112
e_manuelp,b'@mariferr1234 Adobe Lightroom 100%',Nicaragua,1306602992095825921
kanga5328,b'@MrsRabbitResist I would not send my kid to school. You are doing the right thing. There is a good chance the in sc? https://t.co/04ECbagwhi',Nicaragua,1306601026582011905
riverajuanj,b'@MaBel0594 Calmateeeeee',Nicaragua,1306600996026580993
IldemarRodrgue1,"b""RT @InturJinotega: Grower's Coffee Club, #SanRafaeldelNorte #Jinotega https://t.co/AkO8Cx1G5H""",Nicaragua,1306600058138144768
CamContested,b'@TheRealKhitty it?s a fake account ?.',Nicaragua,1306592815535632384
