user,text,country,id
mariaaalej_,"b""@sanduidequeso i thought ctrl was sza's album""",Dominican Republic,1306698826397503491
xtraemil,"b'if this is what i asked for, why am i worried about it?'",Dominican Republic,1306698135218073606
Javielubiera,b'On fire El surf chart del Broke. La costa pumping https://t.co/sdM22aOvE4',Dominican Republic,1306697918821412864
LexxxyBlanco,b'I look so kiddish with my hair in these two braids??',Dominican Republic,1306697713761890305
SwarpV5,b'RT @Sable_Abi: People already start flexing with their top 500 rank pls stop ??? https://t.co/wrH7qZRiRw',Dominican Republic,1306697685026721793
ManuelIvnReyes,b'On point. ? https://t.co/U5doW9wdkK',Dominican Republic,1306697408814948353
mediapawla,b'SWIPE  #blackisbeautiful #blackgirlmagic https://t.co/ogSzlnIz8S',Dominican Republic,1306697367970672640
Juanmigote,b'@Cgutierrez0 Active la .40',Dominican Republic,1306696875056263171
goldesssss,b'She?s right tho https://t.co/W6dgmBTrrM',Dominican Republic,1306696593790373889
SamayaGarciaa,b'@marvelynadames_ Im so down for it',Dominican Republic,1306696578464350208
animetic428,b'RT @Sable_Abi: People already start flexing with their top 500 rank pls stop ??? https://t.co/wrH7qZRiRw',Dominican Republic,1306696156009857026
melissa__weber,b'@EmmeliePaquette Congratulations!!',Dominican Republic,1306695861032935425
AmyJournee,b'RT @thelunasoleil: I just purchased my first whip in the DR ???? The process was way different than the U.S but it feels good to not have a?',Dominican Republic,1306694306695188481
goldesssss,b'Her mind&gt;&gt;&gt;&gt;&gt; https://t.co/ZI57kBGKtH',Dominican Republic,1306693789080317952
Yama__9,b'@ForTseKe @Nuria90C @__Trys_ totally agree tbh',Dominican Republic,1306693720679604229
kiasuchick,b'Santiago day. #RepublicaDominicana https://t.co/yvKYAaNQtv',Dominican Republic,1306693550491545601
Joaquinandresaf,b'Facebook 2013 https://t.co/QRX6LeDiH7',Dominican Republic,1306693345494945797
nanabananita,b'@gtconway3d Uniforms included?',Dominican Republic,1306692697755979776
justluz_,b'@ncalvarez_ kiere?',Dominican Republic,1306692669339557889
pxvloca,b'RT @Ricardo1Caravan: McGriddle &gt;&gt;&gt;&gt;&gt;&gt;&gt; McMuffin',Dominican Republic,1306692430079635457
nanabananita,b'@lonelyplanet @dhhrm_org Read about project Paperclips',Dominican Republic,1306692424522240000
airwayz,b'You dont need to keep trying if you are out of compliance!!!',Dominican Republic,1306692080148926464
raeX2_,b'RT @thelunasoleil: I just purchased my first whip in the DR ???? The process was way different than the U.S but it feels good to not have a?',Dominican Republic,1306691985655369728
_nina_bru,b'RT @thelunasoleil: I just purchased my first whip in the DR ???? The process was way different than the U.S but it feels good to not have a?',Dominican Republic,1306691886984331264
LexxxyBlanco,b'He so pretty??',Dominican Republic,1306691773973049347
juanchequeo,b'@Sarodj_Bertin por clave 95.9 #comomemuevo @WillRodRD',Dominican Republic,1306691759339180033
nanabananita,b'@SebGorka @Franklin_Graham @JoeBiden @realDonaldTrump @DouglasKMurray @davidpgoldman @BMorgenstern45 @hogangidley45 Check your facts please',Dominican Republic,1306691663813902338
