user,text,country,id
davxos,b'RT @perinazzzo: dark....',Paraguay,1306715020441669634
EOliveira47,b'RT @perinazzzo: dark....',Paraguay,1306715009947443200
biiaa666,b'RT @perinazzzo: dark....',Paraguay,1306714912312483846
aloharielcrvg_,b'RT @perinazzzo: dark....',Paraguay,1306714591330791425
aapocalice,b'RT @perinazzzo: dark....',Paraguay,1306714365559799809
diegouais,b'RT @perinazzzo: dark....',Paraguay,1306714350502187008
mikagfbp,b'RT @perinazzzo: dark....',Paraguay,1306714225285500937
GardiniVitoria,b'RT @perinazzzo: dark....',Paraguay,1306714217396002817
_smbdouthere,b'RT @perinazzzo: dark....',Paraguay,1306714143769198592
natalia_rsss,b'RT @perinazzzo: dark....',Paraguay,1306714137741975553
ingriddalaviia,b'RT @perinazzzo: dark....',Paraguay,1306713965326729218
xclaupl,b'RT @perinazzzo: dark....',Paraguay,1306713940311838723
Izabella2480,b'RT @perinazzzo: dark....',Paraguay,1306713931059286016
Isabelapiiment,b'RT @perinazzzo: dark....',Paraguay,1306713745968820224
perinazzzo,b'dark.... https://t.co/FC4b6FuuK8',Paraguay,1306713530327064577
Biano_Baiano,b'vaitomanocu among us',Paraguay,1306712678874972160
jaquegtorres,b'a @kau253  quebrou a tv mds kkkkkkkkkkkkk mt burra',Paraguay,1306689652930338816
adanunhez_,b'FAIL https://t.co/ckLhkUlTgo',Paraguay,1306684127312252934
joeliassss,b'@LDRdailybr old money',Paraguay,1306678279206776839
JFroeder,"b""A New View of Jupiter's Storms via NASA https://t.co/sYb3pqlGrr https://t.co/Ri0rfbJwm4""",Paraguay,1306675164374085633
Caosffeine_,b'i hate myself',Paraguay,1306670395219750923
MarceloLovera,b'Is not a good deal if you don?t need it.',Paraguay,1306668134552797184
anngsandoval,b'@JasminPedra_ reaaal ??',Paraguay,1306660192705228805
nay_duarteg,b'@Isadoragbianchi vou te mandar no whats',Paraguay,1306652734104403970
mariamnaraa,b'@Angonzii sodadis https://t.co/hc6gDWIpRu',Paraguay,1306651625994543106
gwbrxrl,b'@jentlehomes when I say weak ass you say bitch https://t.co/raoSE8zuAe',Paraguay,1306649087027093507
gwbrxrl,b'@joochsn o synthwave perfection  https://t.co/PJcqqN6TaC',Paraguay,1306645956692246529
