user,text,country,id
ShotByGypsy,b'This lady just told me her man work at the post office and get off at midnight.... okay lady ?',Madagascar,1306708056621961219
__Kidd00,b'RT @ShotByGypsy: My cousin is handsome ? ??\nWhat y?all think ? ??/?? https://t.co/kfNA9rTDVc',Madagascar,1306705835708616704
neseganasus,b'@Muhhhcaela How you know it was God &amp; not the devil?',Madagascar,1306699902051901443
maddiestewy,b'RT @neseganasus: I know what I deserve ? do you?',Madagascar,1306688752392302592
VIVAPRIMADONNA,b'@noturhoneypie Oh thank god',Madagascar,1306685495095840769
clararojas_1,b'RT @neseganasus: I accidentally paid my dog walker $200 instead of $20. I usually pay her $15. She text me and said ?wow thank you so much?',Madagascar,1306683236572160000
neseganasus,b'I know what I deserve ? do you?',Madagascar,1306679008696958978
neseganasus,b'So ummm... why are we liking this tweet ? https://t.co/IowWZhV8vo',Madagascar,1306677607082201094
GioSagnotti,b'mind blowin?',Madagascar,1306676551254265859
Cassietoocheesy,b'RT @ShotByGypsy: My cousin is handsome ? ??\nWhat y?all think ? ??/?? https://t.co/kfNA9rTDVc',Madagascar,1306674932051574796
malinda1200,b'@chipfranklin His mouth is open.',Madagascar,1306672288381706241
ShotByGypsy,b'My cousin is handsome ? ??\nWhat y?all think ? ??/?? https://t.co/kfNA9rTDVc',Madagascar,1306671074852114433
mamachangus,"b'RT @malinda1200: @ritehsemom @nowthisnews But, the fund for the first responders from 9/11 is magically disappearing.  4M so far. By the Tr?'",Madagascar,1306670470553579522
malinda1200,"b""@1980Dorothy Sorry. But don't let it stress you.""",Madagascar,1306669950971641860
malinda1200,b'@CClarkAuthor Take care of yourself.  ?',Madagascar,1306669644338651136
malinda1200,"b'@RhymesRadical Harmful?? Oh yes, truth is not well recieved in the new Duvided States of America, the communist version'",Madagascar,1306669466449784834
cucha22,b'The best way to advertise your business! Contact us today for a quote by email: m3mgraphics@gmail.com or 9548258149? https://t.co/0I894X93wr',Madagascar,1306668657620275203
neseganasus,b'I accidentally paid my dog walker $200 instead of $20. I usually pay her $15. She text me and said ?wow thank you s? https://t.co/ElEioUFBis',Madagascar,1306668341411622912
neseganasus,b'Wheewwwww child toxic ??',Madagascar,1306667877127290883
_madisooonn,b'RT @neseganasus: I HATE when people downplay a situation bro',Madagascar,1306665676103393281
neseganasus,b'I HATE when people downplay a situation bro',Madagascar,1306663968203845632
neseganasus,"b'?BiRtH cOnTrOl iS sO bAd FoR yOu?\n \nAre the same females that \n\n*eats meat, fast food, does cocaine, trips on acid, pregnant*\n\n??'",Madagascar,1306659077003632642
qban_417,"b""Something wrong in your head if you're a POC and supporting the piggies""",Madagascar,1306658222137376769
TyeElie,"b'RT @neseganasus: I always text tye when I wake up for work at either 5 or 6 my time, 4 or 5 his time.. today I text him and this dude FaceT?'",Madagascar,1306652570354683909
badgyallbrii,b'i need to drink some t? ????? .',Madagascar,1306644835353407494
malinda1200,b'@Frankvdb1971 A leader',Madagascar,1306644237098848256
malinda1200,"b'@DWUhlfelderLaw Ok. When Joe wins, we have to get all these nuts off the street.'",Madagascar,1306644042860687368
malinda1200,b'@4a_of This is to appease their president.',Madagascar,1306643563204280320
malinda1200,"b""@Purify_toast17 Damn. I sure hope he doesn't. I liked his comedy. Oh well. I still got @TheDailyShow .""",Madagascar,1306643386749849601
rookney,"b'RT @malinda1200: @ritehsemom @nowthisnews But, the fund for the first responders from 9/11 is magically disappearing.  4M so far. By the Tr?'",Madagascar,1306642496542461955
malinda1200,"b""@mscharliegirl75 That's an engagement ring.""",Madagascar,1306642136692121601
malinda1200,"b""@Back_dafucup Neither.  She's the fucking worst.""",Madagascar,1306641003588313090
malinda1200,"b'@ritehsemom @nowthisnews But, the fund for the first responders from 9/11 is magically disappearing.  4M so far. By? https://t.co/XF1fWcycMw'",Madagascar,1306640723429687296
malinda1200,"b""@RonWheeze I'm so sorry. There's nothing like losing mom. My prayers are with you. You have my condolences. ?""",Madagascar,1306638622519685120
malinda1200,"b'@DamnItGertrude Always be true to yourself. After all, no one is better at it than you are. ??'",Madagascar,1306637373049057280
malinda1200,b'@NikkiHaley @realDonaldTrump Why are you here? Why are you speaking? You are NOT relevant. You are no longer needed. Bye',Madagascar,1306636867509653504
malinda1200,b'@bluestatestuff He did what they all have been doing. This guy is joke.',Madagascar,1306636231435001856
malinda1200,b'@ImpeachmentHour TRANCE',Madagascar,1306636016627916801
Madisen_Legit_,b'RT @neseganasus: @Madisen_Legit_ Me too. Keep pushing!',Madagascar,1306633814932967429
VIVAPRIMADONNA,b'@noturhoneypie Are you sure I?m afraid they?re not gonna give me a big enough dosage bc of how little I am',Madagascar,1306632561393893379
badgyallbrii,b'lil durk is a vibe .',Madagascar,1306631103868960775
badgyallbrii,"b'fuck my past, you can?t hold onto nothing .'",Madagascar,1306631051972874241
