user,text,country,id
m_aln77,b'@pvtmxna child',United Arab Emirates,1306725158674198529
_Vampire77,b'?God is always there to heal you.?',United Arab Emirates,1306725062112956417
m_aln77,b'@mssmarri indeed cool',United Arab Emirates,1306725055594889216
srrcs6,b'Pain https://t.co/BD9YcFEVSB',United Arab Emirates,1306724553675202560
Lively_Mohyo,b'@ulsherlan Rare but them dey. 1% ????????????',United Arab Emirates,1306723502741807104
Lively_Mohyo,b'@Omowhunmmy2 We all need.',United Arab Emirates,1306722936154394630
AyshaJanji,b'I?m nervous rn and I don?t even know why',United Arab Emirates,1306722749709254656
srrcs6,b'@nopeIaa Can I get squeeze by the thighs',United Arab Emirates,1306722642033094656
HayatLiberal,b'Thank you M ?',United Arab Emirates,1306721874580307972
Lively_Mohyo,"b""Can't get tired of you... You're too wise ??? @MeekMill ??????""",United Arab Emirates,1306721284672360450
Lively_Mohyo,b'Back bro. https://t.co/hQ7lmChi9Z',United Arab Emirates,1306721041939681280
MRK_M7D,b'@EmperorBigD I have joined',United Arab Emirates,1306720093821378562
JericCatbagan,b'Still the best live performance for me https://t.co/jJJNB395pt',United Arab Emirates,1306719587031945216
1moham1_,b'i told you exactly what hurt me and you did it so perfectly',United Arab Emirates,1306718987343060993
1moham1_,b'Hi twitter does anyone know a fast method to get someone out of my mind??',United Arab Emirates,1306718735626129408
poopooeater123,b'RT @ussypussy968: not my parents teaming up against me ? where are those damn senior home applications',United Arab Emirates,1306718338253492225
Mr_Gamer990,"b'""GAME OVER, ADON!!! ??"": https://t.co/SpK2VdqzrS\n\nIt\'s been a pleasure! ???\n\n#Twitch #TwitchHighlight #TwitchStream? https://t.co/boBKxdaWPs'",United Arab Emirates,1306717930508480513
kh19___,"b'RT @7moodals11: If u don?t let your past die,then it won?t let you live.'",United Arab Emirates,1306717399157288961
Lively_Mohyo,b'@Ifeade_Lu Good.',United Arab Emirates,1306717330907557888
Lively_Mohyo,"b""@Kunle_Ojulowo I don't know. Boss! ????????????""",United Arab Emirates,1306717225022377985
Lively_Mohyo,b'2am.. I should sleep. ??\nNobody to chat or video call.',United Arab Emirates,1306717119946600450
F_X_07,b'RT @7mxvd: You broke my fucking heart',United Arab Emirates,1306715406892236805
farows_97,b'Family is everything ?? https://t.co/rH0S63tCNa',United Arab Emirates,1306714962522447877
m_aln77,b'@yescoffeeaddict same ???',United Arab Emirates,1306713844362993664
MRK_M7D,b'@squisheroo @bitchsensei Sibling goals',United Arab Emirates,1306713823240482816
farows_97,b'His majesty ? https://t.co/O1QqT4Qfaj',United Arab Emirates,1306713440883560448
7mxvd,b'You broke my fucking heart',United Arab Emirates,1306711531040759808
MRK_M7D,b'@squisheroo Make him play just to do it then kick him out of the game',United Arab Emirates,1306709936257355777
NooraMh_,b'Not used to let things go yet',United Arab Emirates,1306709847786901505
Lively_Mohyo,b'Best tweet for me today! https://t.co/b6kE3eWYBn',United Arab Emirates,1306709386069504005
Lively_Mohyo,"b""You've God and you know what you're doing. So why are you still afraid?\n\nForget that thing. Everything go set.""",United Arab Emirates,1306708729946091521
AyshaJanji,b'I?m so obsessed with today?s makeup ?',United Arab Emirates,1306708486559084544
Lively_Mohyo,b'@Nurrrdeen God go do am. Dream Big.',United Arab Emirates,1306708417004949504
_x881m,"b'Both men and women will be held accountable for their acts ( whether lawful or unlawful), fulfillment or non-fulfil? https://t.co/iIAhZldJkc'",United Arab Emirates,1306708276944547847
3l11_,b'@jjrvx Okay I will not reply',United Arab Emirates,1306708262889443328
Lively_Mohyo,"b""Remind yourself you don't have to do what everyone else is doing.??""",United Arab Emirates,1306708202034266114
Lively_Mohyo,b'Too many useless men in this generation. Can never be surprised. https://t.co/TQ2aaRtA03',United Arab Emirates,1306707994965676048
AbajaEze,"b""@Imamofpeace where are you? It's been a while ?""",United Arab Emirates,1306706767959728131
Lively_Mohyo,b'TMC ????? @nipseyhussle continue to rest in power! https://t.co/mAZPKRgrXK',United Arab Emirates,1306706553282723840
Mjumaa_xs,b'Am I? Don?t be shy https://t.co/4XBS8SHY6D',United Arab Emirates,1306706329420038145
ftayymmm,b'RT @7moodals11: We?re living in a world where being kind is a weakness',United Arab Emirates,1306705426470313986
MRK_M7D,b'@AdrienneACox Wait they don?t know that u physically have problems getting erect ?',United Arab Emirates,1306704825434943493
