user,text,country,id
faysalyouness,b'RT @Ecaterina_02: Good morning ? https://t.co/xPHMSAmEcD',Moldova,1306713928110669824
evisoft,b'@danheld True! 100000 USDT not USD',Moldova,1306711353982439424
amazingEYEroger,b'@killmefam Ok sir you?re excused',Moldova,1306705229090619392
amazingEYEroger,"b'@FinallyGodoing @cian306 @BigMac___ Bald as fuck, scalp shiny as fuck.'",Moldova,1306702587417239554
Exx_______,b'RT @Ecaterina_02: Good morning ? https://t.co/FrTM2FKdvg',Moldova,1306692341265244160
iamhapp96267035,b'RT @Ecaterina_02: Good morning ? https://t.co/FrTM2FKdvg',Moldova,1306691543806488577
MartaFdezJurjo,b'RT @Ecaterina_02: @RossiGianFranco @curra36 @MagdaMeghy @marie_nassar @nieuwemarlean @dalilabencomo @marienassar_ Good morning https://t.co?',Moldova,1306690930670473216
shirfire218,b'RT @Ecaterina_02: @RossiGianFranco @curra36 @MagdaMeghy @marie_nassar @nieuwemarlean @dalilabencomo @marienassar_ Good morning https://t.co?',Moldova,1306689161718452225
Ecaterina_02,b'RT @Ecaterina_02: @RossiGianFranco @curra36 @MagdaMeghy @marie_nassar @nieuwemarlean @dalilabencomo @marienassar_ Good night https://t.co/n?',Moldova,1306688799611723789
Ecaterina_02,b'@RossiGianFranco @curra36 @MagdaMeghy @marie_nassar @nieuwemarlean @dalilabencomo @marienassar_ Good night https://t.co/ff2Mkm7Kgc',Moldova,1306688755659612160
baykaler,b'RT @Ecaterina_02: @RossiGianFranco @curra36 @MagdaMeghy @marie_nassar @nieuwemarlean @dalilabencomo @marienassar_ Good morning https://t.co?',Moldova,1306688676194398211
Ecaterina_02,b'@RossiGianFranco @curra36 @MagdaMeghy @marie_nassar @nieuwemarlean @dalilabencomo @marienassar_ Good night https://t.co/nOW6hFojoJ',Moldova,1306688651456385025
amazingEYEroger,b'@Gaz_idis @fackyyycsn1 @omarflacko9 Two ACL injuries are serious af. It?s obvious since those injuries that his ove? https://t.co/XADomBo30A',Moldova,1306684832089616388
amazingEYEroger,"b'@Gaz_idis @omarflacko9 @fackyyycsn1 Unfortunately for the Italian big bird, he has no ACLs to survive a full season beating by Serie Ass.'",Moldova,1306684311232540680
amazingEYEroger,b'@Notshawn6 @goal And sit behind Khedira every game ???',Moldova,1306683374153748480
amazingEYEroger,b'@omarflacko9 @fackyyycsn1 I?ll leave if he comes back..',Moldova,1306682760065617920
amazingEYEroger,b'@omarflacko9 @fackyyycsn1 That guy was amazing.',Moldova,1306682573607768064
amazingEYEroger,b'@fackyyycsn1 He was not very athletic before the ACL injury and now he runs around like a tall bird.',Moldova,1306682512471715841
amazingEYEroger,b'@omarflacko9 @fackyyycsn1 You?re embarrassing.',Moldova,1306682322599763970
amazingEYEroger,b'@fackyyycsn1 Calabria is levels above him. Don?t understand how anyone can watch Conti and even think he?s remotely better than Calabria.',Moldova,1306681986489167872
amazingEYEroger,b'@finallyaquino Samu is bench quality and that?s it. Saladman needs to be sent back to Belgium NOW.',Moldova,1306681371486810119
