user,text,country,id
ll7assanll,b'RT @Rawan1aqeel: Luv them sm ;(????????',Iraq,1306702054086397956
ZainEAlMossawy,"b'@Whofkncare Great mentality, lacking patience, plus a lot of depression'",Iraq,1306701830357946372
rwmausi,b'@Ghani_Bewdi @sanghigayhube @thesehoessmaddd That?s us???',Iraq,1306700261457444864
nalamara99,b'When people were doing kick ups with toilet paper this year. \nWhat a time that was',Iraq,1306699481950416898
rwmausi,b'@sanghigayhube @Ghani_Bewdi @thesehoessmaddd @thesehoessmadd Shutttttt??',Iraq,1306699180950171648
rwmausi,b'@Ghani_Bewdi @sanghigayhube @thesehoessmaddd I love @sanghigayhube too???',Iraq,1306698586755792898
Zayntareq,b'@notzaid5 @PaleBlood_hunt Oh how we fell',Iraq,1306695919384121349
khadz313,b'RT @falmayahyy: the death of someone you love really takes a toll on you. keep your loved ones close',Iraq,1306690166233411584
rwmausi,b'@Dr_winters_ @ChaxCR How old are?',Iraq,1306688745899356160
rwmausi,b'@__iRalph same',Iraq,1306686723141689347
Hussein_Afp,"b'Iraqi Shiite Muslim pilgrims who began their march from the southern port city of al-Faw, wave flags as they walk t? https://t.co/C4oZkVkZdA'",Iraq,1306679687339560962
AmACupid,b'RT @rwmausi: go cry somewhere else LMAO',Iraq,1306678682686160897
AmnaDarko,b'@effing_awesomee That thing was dope??',Iraq,1306678452062482433
Rawan1aqeel,b'Luv them sm ;(???????? https://t.co/cgEMRuJw44',Iraq,1306678358378524677
Ghani_Bewdi,b'RT @rwmausi: go cry somewhere else LMAO',Iraq,1306677936259387392
AmnaDarko,b'Massive thanks to Hannibal Lecter now I stare at meat and can?t legitimately bring myself to think it?s not human?s.',Iraq,1306677693807722497
zainabverse,b'Widgets? What kind of sorcery is this?? https://t.co/BByw6BnnUx',Iraq,1306676932671660040
rwmausi,b'@thesehoessmaddd BUT DONT EXPOSE ME NOOO',Iraq,1306676574050164736
rwmausi,b'@sanghigayhube @satyamsharma___ @shhhhcularism WE GOO',Iraq,1306676385948205056
rwmausi,b'@thesehoessmaddd LMAO DONT EXPOSE MEEEEE',Iraq,1306676096562130945
AmnaDarko,b'@zaiddavid99 Never fails to disappoint me',Iraq,1306675947941376000
rwmausi,b'@sanghigayhube YOU GO GURLLL MORE POWER TO YOUUUU',Iraq,1306675813421514754
