user,text,country,id
SesayYafino,b'@julzelba @LurkyMe2 @Charmin29607940 ENGAGED!??',Sierra Leone,1306714933007208448
SesayYafino,b'@Bamtek7 Lol what does this even mean??',Sierra Leone,1306714133379919872
PastorShodankeh,"b'.Luke 12:47. I reject the spirit of laziness and stubbornness in your life, I pray you will not go against the will? https://t.co/yD0JTJhXZh'",Sierra Leone,1306713846384660480
OBaimba,b'@dsengeh @MOBSSE_SL This is incredible.\nBest wishes to all awaiting pupils.',Sierra Leone,1306712382132097026
OBaimba,b'@YasmineSherif1 @EduCannotWait @GermanyDiplo @SigridKaag @dagiulstein @StatePRM Absolutely agreed',Sierra Leone,1306712150338154497
Lemjnr,b'Do your thang before your thang do you!!!',Sierra Leone,1306711043100508165
Eduard37858212,"b""There? no feeling like finishing a book, and I'm proud of this one. In A Promise Land, I tried to provide an honest? https://t.co/JvyK4dxUNf""",Sierra Leone,1306708304069038087
Abubaka86215577,"b""Please don't. https://t.co/MFeu0agEcy""",Sierra Leone,1306707733157208064
Harshb_31,"b'RT @India_Maharaj: Now Akali dal , I feel Next will be JDU after Elections. \n\n2 -3 years later\n\nShivsena re joining NDA  or NCP Joining NDA?'",Sierra Leone,1306707028887232512
artyobryan,b'@chaostheory281 @wishart88 @JaalaPulford The Birthday Party playing Storey Hall RMIT in mid-80s and watching wailin? https://t.co/n0SftzzMAf',Sierra Leone,1306706383048499201
SesayYafino,b'@gloomyzee @MinaBilkis be guided',Sierra Leone,1306705374377107457
SesayYafino,b'@JuehJa Not exactly',Sierra Leone,1306705108776947712
RBhat7,b'RT @India_Maharaj: Center Level Times now\nState Level Mirror Now',Sierra Leone,1306703608759549952
SesayYafino,b'@papigeneee Tf is that?',Sierra Leone,1306703196551864320
SesayYafino,b'@Miatta16 Miatta what happened towards the enddddd',Sierra Leone,1306703088431046658
zeylc,b'@Nafisa_oxo @Black_Supahero You test it and let me know. My pickiness with food won?t allow me to commit treason like that.',Sierra Leone,1306702957501702144
OliGenevie,"b""Come join my Squad, Let us face off against the world's best MOBA players together!\nhttps://t.co/v1xTvgGlgo https://t.co/hDG9VSwFsb""",Sierra Leone,1306702849590661120
OliGenevie,"b""Come join my Squad, Let us face off against the world's best MOBA players together!\nhttps://t.co/v1xTvgGlgo https://t.co/TeVff2QWGA""",Sierra Leone,1306702755067842561
namny__,b'my boi &amp; my gorl https://t.co/nJbyfX8ske',Sierra Leone,1306700600902471680
SesayYafino,b'Go wash your damn hands before touching my coochie you detty pig?',Sierra Leone,1306699991285669888
SesayYafino,b'@baiibureh You want to attract curses dont you?',Sierra Leone,1306699071655157760
akotosinatoymo,b'Always hays ??',Sierra Leone,1306698499405144065
id_mayorh,b'@EdetOmonigho @goal Follow Back?',Sierra Leone,1306697627124355072
zeylc,b'@Nafisa_oxo You?re right. They?re making sour and fufu for me tomorrow ???',Sierra Leone,1306697558534881284
zeylc,b'@Nafisa_oxo See how @Black_Supahero has scrambled my brain. I really thought this said cassava leaves and pasta ????',Sierra Leone,1306697427022491649
id_mayorh,"b""@OlufemiEnoch @PeewitPro @FunmiKolz You've seen the light!""",Sierra Leone,1306696442581483520
id_mayorh,b'@Wizebaba Which kain tin be dat?! ?',Sierra Leone,1306695936446472193
id_mayorh,b'@meeezzzyy Add me in your prayers',Sierra Leone,1306695814060834826
still__lone,b'@Miatta16 But someone just gave me a meaning for my name and I really fuck with it\nIt?s from google tho I think',Sierra Leone,1306695172147810304
OtunbaAdejnr,b'RT @TAssorted: My will God judge @ManUtd board\n#EdWoodwardOut #GlazersOut \n\nAwon olofo adojutini gbogbo',Sierra Leone,1306692691401596931
SesayYafino,b'@badghalsharz Baby isssh ?',Sierra Leone,1306692258780139522
inTEMIdate,b'@BintuMansaray9 Real wild play wallet dat ?',Sierra Leone,1306692089309212672
still__lone,b'@Marco_Krm @ManUnitedZone_ @garbosj @TransferPodcast Den nr get wan shame???',Sierra Leone,1306691876716793856
zeylc,b'Ok I?m going to the supermarket tomorrow',Sierra Leone,1306691270795038720
zeylc,b'Alfredo is disgusting.\n\nThere?s also a tendency to overcook the pasta as well?',Sierra Leone,1306689173760479233
zeylc,b'This might be the longest I?ve gone without pasta ???.\n\n(I don?t like how they make it here x)',Sierra Leone,1306688987629789202
issahousewive,b'RT @issahousewive: i love when people compliment my taste in music ???',Sierra Leone,1306688816867090449
issahousewive,b'RT @issahousewive: i wake up in different cities ??????',Sierra Leone,1306688724747591697
SesayYafino,b'@Augu1117 Drop link',Sierra Leone,1306688240477446145
ramenfxxk,b'@mejiguki mmmmmhhhhh baby',Sierra Leone,1306687778441162752
caramelpadilla,b'RT @thatsbamby: g00dnight pipol',Sierra Leone,1306685300505100289
Sadashivapethee,"b'RT @India_Maharaj: Now Akali dal , I feel Next will be JDU after Elections. \n\n2 -3 years later\n\nShivsena re joining NDA  or NCP Joining NDA?'",Sierra Leone,1306684402605326336
cska757,b'Gee blow blow bo https://t.co/okO6zsOmBB',Sierra Leone,1306682794958114816
cska757,b'We way short na we sorry ???? https://t.co/ADLw16h7T8',Sierra Leone,1306682575235227649
still__lone,b'@bassieran @AlghaliAliyu Amazing ?\nI like',Sierra Leone,1306682404724121601
Risto_cratic,b'@FabulouxxC Thnx ?',Sierra Leone,1306680422198321157
Risto_cratic,b'@YuletideD Thnx boo?',Sierra Leone,1306680375222177792
still__lone,b'@bassieran Well not exactly\nMy name is derived my ?Aliyu? according to my old man\nSo if Aliyu get meaning then that?s the closest',Sierra Leone,1306678992007766016
dewale23,b'RT @TAssorted: My will God judge @ManUtd board\n#EdWoodwardOut #GlazersOut \n\nAwon olofo adojutini gbogbo',Sierra Leone,1306678132339101699
erinleithx,b'@psythoticc Stop it I?d miss u',Sierra Leone,1306677735339823105
biggy_orobo,b'RT @TAssorted: My will God judge @ManUtd board\n#EdWoodwardOut #GlazersOut \n\nAwon olofo adojutini gbogbo',Sierra Leone,1306677674425937923
Risto_cratic,"b""It's the skin for me? https://t.co/TBAoF9tFv1""",Sierra Leone,1306677076867649539
erinleithx,b'@yaryarwinks Yours??',Sierra Leone,1306676770335272960
erinleithx,b'@AyeYuhWhat u have some explaining to do',Sierra Leone,1306676596766539776
id_mayorh,b'@adethayorr @chubiei @zataarra I think say you dey look for man wey go handle you?\n\nMachala dey for you ?',Sierra Leone,1306675936629329924
zeylc,b'The lack of planning and maintenance in this country ?',Sierra Leone,1306675475000053760
id_mayorh,"b'@austinengalwa @RichardJnr15 @holardamolar @AsiwajuLerry ""I don lie for you before??""'",Sierra Leone,1306675149119328260
dontune_,b'@badghalsharz Hell Yh! Gently ?',Sierra Leone,1306674721531080704
