user,text,country,id
brosephallen,b'RT @amirsvelvet: everything about this is taking me the fuck out.... https://t.co/4mTQIFWMQS',Ethiopia,1306694411204661253
YungBarack09,b'RT @amirsvelvet: Dumb and dumber',Ethiopia,1306678385775652872
SL1M3S,b'RT @amirsvelvet: The dairy creamer and cheese to my stomach in my breakfast https://t.co/IYeDgKctrz',Ethiopia,1306672597766148098
amirsvelvet,b'@kylorensdad OKFG',Ethiopia,1306666817285509123
amirsvelvet,b'what exactly did you think was gonna happen https://t.co/djSBZAEbo6',Ethiopia,1306666550322135040
minjisouI,b'@RlCED hmm definitely with you',Ethiopia,1306662294844329985
minjisouI,b'@RlCED you talking to 5 dudes like this? smh',Ethiopia,1306661878232424449
amirsvelvet,b'Dumb and dumber https://t.co/S1qHkK6gaE',Ethiopia,1306661686041083904
AYEEE_TOAST,b'RT @amirsvelvet: Got another application and now I?m at the bank to get new card https://t.co/DvPk9qYRsu',Ethiopia,1306631552609247235
amirsvelvet,b'Her bag going all the way up the escalator https://t.co/MYStX7RJxX',Ethiopia,1306631135259234307
amirsvelvet,b'I saw this tweet this morning before class and couldn?t stupid laughing ??????? https://t.co/5wfkdOjyYa',Ethiopia,1306630996448743425
amirsvelvet,b'is Norman Performing motivation',Ethiopia,1306629719459274752
BacockObama,b'RT @amirsvelvet: Got another application and now I?m at the bank to get new card https://t.co/DvPk9qYRsu',Ethiopia,1306617976397934592
amirsvelvet,b'Asian doll is gorgeous',Ethiopia,1306617965664665601
amirsvelvet,b'Got another application and now I?m at the bank to get new card https://t.co/DvPk9qYRsu',Ethiopia,1306617190720962562
JayJayDMac,b'RT @amirsvelvet: Professor let us out early  https://t.co/IYeDgKctrz',Ethiopia,1306614527245660160
amirsvelvet,b'about to hit the pen and it?s not even noon  https://t.co/XqBf7t60zG',Ethiopia,1306612965441966080
amirsvelvet,b'Bruh this was my only class today...&amp; i finished all my work what do I do now',Ethiopia,1306612124895117312
amirsvelvet,b'Professor let us out early  https://t.co/IYeDgKctrz',Ethiopia,1306611555765833729
amirsvelvet,b'The fact that she goes to my college now and we don?t even talk ? https://t.co/bOMB9R0QgZ',Ethiopia,1306600975340371969
godlmati,"b""@DrTedros I hope the #WHO will continue to assist those nations which aren't currently on the WHO working radar like Brazil.""",Ethiopia,1306598423320170501
godlmati,b'Care should be taken in assisting the most vulnerable societies hitted hard by #flooding and natural disaster. \n\nIt? https://t.co/RxSYKnX5cc',Ethiopia,1306598056134021120
GabeDeLaGoon,b'RT @amirsvelvet: she is god  https://t.co/seVCRzUTXf',Ethiopia,1306595980549079040
amirsvelvet,b'she is god  https://t.co/seVCRzUTXf',Ethiopia,1306595297066270721
amirsvelvet,b'@bIuwaffles Exactly',Ethiopia,1306592799245074432
amirsvelvet,b'@babybirkinbag OMGHES',Ethiopia,1306589264533229568
amirsvelvet,b'I?m the teacher. https://t.co/ytqFP7xUzZ',Ethiopia,1306589000430485505
amirsvelvet,b'What the fuck is this https://t.co/4yj4FkhzO7',Ethiopia,1306588859887689729
amirsvelvet,"b'I?m just gonna do a thread of dogs I see in Philly, LOOK AT THIS HUGE BABY ? https://t.co/O5otIDLouM'",Ethiopia,1306588237553696769
