user,text,country,id
byadap,b'@Juliaanna150 Nee kkkk',Central African Republic,1306385641740136450
ClaudeBapeck,"b'Let mind our own business and hide it, back to that initial point.'",Central African Republic,1305884919759998980
ClaudeBapeck,"b'@DilanyvanN @i9edro Lmao, you ? No way.'",Central African Republic,1305882551920123905
ClaudeBapeck,b'@Kyada1003 Don?t leave me.',Central African Republic,1305862942546685958
ClaudeBapeck,b'@ferdi_237 @Drayhasnofeels The accuracy impressed me.',Central African Republic,1305828489468149761
larose_michele,b'@OSydneyOttou Your vibe attract your tribe.?',Central African Republic,1305557359994064896
aninhaa_felix01,b'Cunhadin?? https://t.co/tdIZ3lHrYZ',Central African Republic,1304514774420643840
carolzinhaa_02,b'sou apxnd ? https://t.co/A3pjxKtAWT',Central African Republic,1304510578111766533
Jonhhj,b'@ZLOK my fee 0.079btc $1k......what wrong with btc   ??? https://t.co/HYzKUP8ijw',Central African Republic,1304462005814939650
ofc_lalinha,b'@monalisacrf1 Ain amg?',Central African Republic,1303905468151201793
ofc_lalinha,b'Claudin ficou bld kkkkkkkkk',Central African Republic,1303857566376775680
ofc_lalinha,b'Gool',Central African Republic,1303855101191294976
ClaudeBapeck,b'Pardon ? https://t.co/LGXh5WdpRn',Central African Republic,1303741318137630724
ClaudeBapeck,b'@ChristyZel Thanks.',Central African Republic,1303726184744792068
ClaudeBapeck,b'@Drayhasnofeels Next week.',Central African Republic,1303634161580806145
ofc_lalinha,b'N aguentoo https://t.co/oWl1JmDAXm',Central African Republic,1303550933507465216
ofc_lalinha,b'N aguentoo https://t.co/oWl1JmDAXm',Central African Republic,1303550933507465216
ofc_lalinha,b'N aguentoo https://t.co/oWl1JmDAXm',Central African Republic,1303550933507465216
ofc_lalinha,b'N aguentoo https://t.co/oWl1JmDAXm',Central African Republic,1303550933507465216
ofc_lalinha,b'N aguentoo https://t.co/oWl1JmDAXm',Central African Republic,1303550933507465216
ofc_lalinha,b'N aguentoo https://t.co/oWl1JmDAXm',Central African Republic,1303550933507465216
ofc_lalinha,b'N aguentoo https://t.co/oWl1JmDAXm',Central African Republic,1303550933507465216
ofc_lalinha,b'N aguentoo https://t.co/oWl1JmDAXm',Central African Republic,1303550933507465216
ofc_lalinha,b'N aguentoo https://t.co/oWl1JmDAXm',Central African Republic,1303550933507465216
ofc_lalinha,b'N aguentoo https://t.co/oWl1JmDAXm',Central African Republic,1303550933507465216
ofc_lalinha,b'N aguentoo https://t.co/oWl1JmDAXm',Central African Republic,1303550933507465216
wnrhsnina,b'@PuteriSarah_ CONGRATS BABYYYYY ?',Central African Republic,1306731732461264896
PurpleCatSuperF,b'@NightMargin anything in 2020 can go but THIS',Central African Republic,1306730646258081792
AemanSaufee,b'@fikrimmanaf power dgr britney spears',Central African Republic,1306730584153026560
miera_noh,"b'RT @nrlizzhmhd: No one is busy in this world, its all about priorities.'",Central African Republic,1306727662551887874
MarceliaNaja,"b'RT @nrlizzhmhd: I no longer force things. What flows, flows. What crashes, crashes. I only have space and energy for things that are meant?'",Central African Republic,1306726801368993793
