user,text,country,id
DonaldNdoro,b'RT @MimiSuri: Essential Rhythms for a Happy Business #SmallBusiness #Coaching #AffiliateMarketing #Lifestyle #VentureCapital #SocialMedia #?',Israel,1306704011551223808
MimiSuri,b'Essential Rhythms for a Happy Business #SmallBusiness #Coaching #AffiliateMarketing #Lifestyle #VentureCapital? https://t.co/7KhuWOoqNA',Israel,1306703998649544704
Riorita3,"b'Excited to share the latest addition to my #etsy shop: Turquoise for the Ear,Silver Ear Jackets,Bright Earrings,Tex? https://t.co/pnIZzLx1Mb'",Israel,1306703975320883206
Riorita3,"b'Excited to share the latest addition to my #etsy shop: Statement Bracelet,Statement Bangle,Sterling Silver,Bohemian? https://t.co/s0m6Hg28Gu'",Israel,1306703847860174856
jwhaifa,b'@Patriot7231 @ltlbluefeather @LbashPlano very boring',Israel,1306703692448624646
DanielLarison,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306703377015988224
WarsGenerator,"b""Italy-Andorra War: Between People's Republic of Italy and United States of Andorra, supported by Suriname. Started? https://t.co/hBEDcFHCEW""",Israel,1306702737229459456
cstelleri,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306702736214446081
LCarmiel,"b'@atensnut @sflcat It took him most of his first term to find someone competent for DOJ.  He needs to can Wray, but? https://t.co/le2LyXGCxc'",Israel,1306702409071239174
jwhaifa,"b'@notmegoofy hahaha, or since 1968, that community has had 1 self inflicted assault on any progress, after another !!'",Israel,1306702391333584897
shathaj98,b'Can?t waitttt??? https://t.co/gNaNxwxPgt',Israel,1306701990102208517
zazrit,"b'As someone who feels Tatiana Maslany should be in everything, I couldn?t be happier to see this news. https://t.co/TsBxAwy8JF'",Israel,1306701855041282048
MDELROS87214258,"b'RT @RosaryMysteries: ""The fruit of silence is prayer, the fruit of prayer is faith, the fruit of faith is love, the fruit of love is servic?'",Israel,1306701651730927624
LCarmiel,"b""@charliekirk11 Sorry, Charlie.  It doesn't scale.  The only way to have it continue working is to add a third layer? https://t.co/PZJUYu6iYR""",Israel,1306701462005862402
pandaramvijayn1,b'RT @Thedecentone3: @vijaita Where is the data which says 476 of 829 did coaching from RSS affiliated Classes.\nDo you even know what it mean?',Israel,1306701218836672512
MichaelLevin11,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306700945410097153
TheZohanMMA,b'I really want a friend that is loyal like Theo with Dustin. https://t.co/YrLaT5ubUh',Israel,1306700941748510720
MDELROS87214258,"b'RT @RosaryMysteries: Our Father, Who art in Heaven, hallowed be Thy name; Thy Kingdom come, Thy will be done on earth as it is in Heaven. G?'",Israel,1306700437630976001
buzzbitburg,b'Tough tits for China.\nCHINA LACKS HONOR.  XI JINPING IS A PUNK.\n\n https://t.co/f7UHUVMDzz',Israel,1306700394794549249
MhamadIkour,b'@yaman_akour Death bed',Israel,1306700010797641740
pgdecuzzi,b'RT @MachlufLab: Shana Tova (happy Jewish new year) to all our followers! https://t.co/1Lkkb4OG59',Israel,1306699919873290240
NirMaoz,b'@Fat_Totti Veretout and Micki',Israel,1306699862491136006
CarBuzzcom,"b""This Is The @GMC Hummer's Awesome New Electric Motor. The future of GM's electric revolution is smaller than you th? https://t.co/SuTAiNdRVL""",Israel,1306699712766959616
ilanbron06,"b'@KingHaiX Didnt know u watched anime, now I respect u more'",Israel,1306699679875334144
NetworkDemonic,"b'It is time that the ""Republican"" party is renamed the ""Royalist"" party.'",Israel,1306699172070920192
Long_Stock_Ag,b'@silkdynastystx Literally BEAT boxing.',Israel,1306699108531359745
Dalalalhatem,b'The audacity ? https://t.co/sAd8GfndCz',Israel,1306698605034647552
BaraaSafarini,b'Fun fact: boys get sad too ?',Israel,1306698507210960896
TheZohanMMA,"b""@EitanSahnovich He wants to be Khabib 2.0 soooo bad ? But he's funny a bit though.""",Israel,1306697615925485574
Zaid93603426,"b""?But you'd have to walk a thousand miles In my shoes, just to see\nWhat it's like to be me?""",Israel,1306696756248403969
JonathanKeren7,"b'@netanyahu @narendramodi Happy birthday to the fascist, Hindu Ultranationalist PM Modi.'",Israel,1306696618511601665
Long_Stock_Ag,b'@Hipster_Trader Kinda like investors selling gold and silver at 8:30am.',Israel,1306696612262027264
DavisTaieb,"b'RT @itamann: 5/ on the more optimistic side, should be said very loudly that several among the law faculty at @UofT displayed breathtaking?'",Israel,1306695779789287426
DavisTaieb,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306695761221103619
WarsGenerator,b'The Chadian Civil War: Between Chadian nationalists and sikhs. Started in 1956. Ended after 5 years. The Chadian na? https://t.co/FT7cW6aieU',Israel,1306695193740169216
natsucule,"b""Still can't believe DWade's first name is Dwyane and NOT Dwayne. Like cmon bro.""",Israel,1306695079780921346
KatieWilkins97,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306694567023071239
FigurativeFlux,"b""@Uchikoshi_Eng #AInniversary #AI???????????????\nHitomi's somnium was a creative, gentle and beautiful experience. S? https://t.co/YSO4V8QKRw""",Israel,1306694451016933379
itsmosab,b'@itsnotciwan ????? prison break ? \nGame of thrones ?',Israel,1306694421992402944
Raneemabu_baker,b'@shefaajumaa Happy birthday???',Israel,1306694354904506371
kaploded,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306694352228491268
NetworkDemonic,"b'@romkey 3/ I love the Mac integration with my phone, calendar, contacts, etc.  Icloud works great for me.  But over? https://t.co/H7VQVohkbv'",Israel,1306693892813676544
BaraaSafarini,b'@NsourRoo This 1 hits different ?',Israel,1306693753575485440
Claudia9776,b'RT @NaveLiron: Israel loves you can yaman \n#CanYamanBYIsrael',Israel,1306693727382056964
micrettig,b'RT @NaveLiron: Israel loves you!\n#CanYamanBYIsrael',Israel,1306693712307720194
vitorlerdao,b'que isso rammus https://t.co/JvGK5wMoQv',Israel,1306693546817323009
BaraaSafarini,b'@Ss_SAME1997 You dropped this king ? sorry i meant this ?',Israel,1306693433365598208
itsmosab,"b'BUT I?M WEAK ,AND WHAT?S WRONG WITH THAT ! ???'",Israel,1306693315614724101
DabarbieriDonna,"b""RT @jwhaifa: little late for that shit, ALERT::: Barr blasts his own DOJ prosecutors, equates them to preschoolers and 'headhunters' https:?""",Israel,1306693061104332802
NetworkDemonic,"b""@romkey 2/ I've been thinking of wiping the disk and starting with a new OS load.  Did that on another machine.  Bu? https://t.co/c6A67V3PUz""",Israel,1306693039771979776
liamgoy7,b'RT @CarBuzzcom: 2022 @Hyundai Tucson First Look Review: The Future Is Now. Hyundai went bold with its latest crossover. #electricvehicles #?',Israel,1306692784880058368
NetworkDemonic,b'@romkey 1/ I put xcode on a very long time ago and did not know how to do anything less than everything.  Yesterday? https://t.co/sCLTrQOiuq',Israel,1306692534588985344
hanaa_119,b'Strong independent Turtle ?? https://t.co/mXkkjMjFl3',Israel,1306692376564396032
mhmdanwar91,b'@mma_oth If khamzat win this means he will have solid steps to the title',Israel,1306692352044662787
evacabellojmj,"b'RT @RosaryMysteries: ""The fruit of silence is prayer, the fruit of prayer is faith, the fruit of faith is love, the fruit of love is servic?'",Israel,1306692065938427905
joeydaniewicz,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306691957582950406
LSTAR_916,b'RT @NaveLiron: @IsraelYaman Excited and looking forward to seeing the one and only can yaman ????',Israel,1306691660974190592
gilam5552012,b'RT @NaveLiron: Israel loves you!\n#CanYamanBYIsrael',Israel,1306691570100572163
FacuI29147752,"b""@OANN Jerusalem old city's wall https://t.co/uMgE1C5bOB""",Israel,1306691336628772873
Blacktys,b'When im gonna move on?',Israel,1306691318387740672
lawsofrule,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306691081384402964
GokhanGuneysu26,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306690846297853952
lamamahafzah,b'I need to start using my close friends story https://t.co/qd6YBm2HL8',Israel,1306690810667323394
gilam5552012,b'RT @NaveLiron: Thanks! \n#CanYamanBYIsrael',Israel,1306690414003589121
FacuI29147752,b'@HeyTammyBruce CNN is on scene - they will give us the TRUTH! https://t.co/8t7ApKZEMN',Israel,1306690269430063119
wordsleadmeon,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306690081931972608
killertkr6,b'Series X PlayStation 5 Secured @PlayStation  @Xbox https://t.co/nCsanS3qYY',Israel,1306689860518977539
Efrat74567765,b'RT @NaveLiron: @IsraelYaman Excited and looking forward to seeing the one and only can yaman ????',Israel,1306689651248373765
gilam5552012,b'RT @NaveLiron: @IsraelYaman Excited and looking forward to seeing the one and only can yaman ????',Israel,1306689007590481920
gilam5552012,b'RT @NaveLiron: Good luck to our champion \n#CanYamanBYIsrael',Israel,1306688836395769871
Efrat74567765,b'RT @NaveLiron: Proud love you can yamam \n#CanYamanBYIsrael',Israel,1306688756343353344
Efrat74567765,b'RT @NaveLiron: The number one player can yaman \n#CanYamanBYIsrael',Israel,1306688744293101568
gilam5552012,b'RT @NaveLiron: Proud love you can yamam \n#CanYamanBYIsrael',Israel,1306688732771295232
gilam5552012,b'RT @NaveLiron: The number one player can yaman \n#CanYamanBYIsrael',Israel,1306688723678048256
Efrat74567765,b'RT @NaveLiron: Good luck to number one star \n#CanYamanBYIsrael',Israel,1306688701951549450
Efrat74567765,b'RT @NaveLiron: The moment and time have come \n#CanYamanBYIsrael',Israel,1306688667407265792
gilam5552012,b'RT @NaveLiron: Good luck to number one star \n#CanYamanBYIsrael',Israel,1306688658762862592
Efrat74567765,b'RT @NaveLiron: The best series has arrived in Israel \n#CanYamanBYIsrael',Israel,1306688644460281856
CarBuzzcom,b'This Is The Toyota Land Cruiser Rival @Hyundai Needs To Make. And it could revive the long-dead Terracan nameplate.? https://t.co/H0WyakwMjQ',Israel,1306688639724789760
gilam5552012,b'RT @NaveLiron: The moment and time have come \n#CanYamanBYIsrael',Israel,1306688622125613056
gilam5552012,b'RT @NaveLiron: The best series has arrived in Israel \n#CanYamanBYIsrael',Israel,1306688593092644864
gilam5552012,"b'RT @NaveLiron: A funny, light-hearted series, the number one series \n#CanYamanBYIsrael'",Israel,1306688535936872449
MosheSchorr,b'@jbarro No!!!! Phased is correct? don?t follow Israel in obliterating the case count by reopening schools',Israel,1306688183724396544
canvedemo,b'RT @NaveLiron: Proud love you can yamam \n#CanYamanBYIsrael',Israel,1306688150509686785
canvedemo,b'RT @NaveLiron: Thanks! \n#CanYamanBYIsrael',Israel,1306687997933486080
leon_anavy,b'@egypsci But they were rescued!\n\nhttps://t.co/DINbXFYLGb',Israel,1306687890320171024
FacuI29147752,b'@SteveGuest Pavlovian.. he knows what Communism will do',Israel,1306687668634476546
noleftairpod,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306687663886471168
nex3k,b'@shardaxbtw Tkx my g',Israel,1306687652691927040
WarsGenerator,b'The Tongan Intervention in Cabo Verde. Started in 2096 to liquidate anarchists in Cabo Verde. Intervention successf? https://t.co/etNEOz6IGl',Israel,1306687646459211776
gilam5552012,b'RT @NaveLiron: Good luck to the team \n#CanYamanBYIsrael',Israel,1306687644219383819
KorrenaT,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306687582449868816
ehyoub,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306687117364469773
nex3k,b'Quitting...\n\nRead: https://t.co/iTLjgyFOLH',Israel,1306687078776872964
canvedemo,b'RT @NaveLiron: The best series has arrived in Israel \n#CanYamanBYIsrael',Israel,1306687076499324928
canvedemo,b'RT @NaveLiron: Good luck to number one star \n#CanYamanBYIsrael',Israel,1306687046384259072
canvedemo,b'RT @NaveLiron: The moment and time have come \n#CanYamanBYIsrael',Israel,1306687036385042443
IsraelYaman,b'RT @NaveLiron: Good luck to number one star \n#CanYamanBYIsrael',Israel,1306686939727384576
NankyRai,b'RT @itamann: 1/ Alarming: @UofT apparently rescinded @ValentinaAzarov?s job offer as director of the human rights program due to pressure b?',Israel,1306686828486033410
Efrat74567765,b'RT @NaveLiron: Excited towards the one and only\n#CanYamanBYIsrael',Israel,1306686810614099973
