user,text,country,id
msrukayya,b'RT @omar_bilkisu: Aloo twitter \nPls don?t scroll without retweeting my hustle \nMay Allah bless you as you retweet \n5k and 6k.\n#AFEPLUG http?',Nigeria,1306715599133966336
MajestiMajesti,b'RT @chubiei: Retweet if your mom is beautiful too??????? https://t.co/uPvFdWNywu',Nigeria,1306715594314706944
hussyaliyu,b'RT @Thebaker_: Another win ?????? guess it?s my lucky night https://t.co/h8l1Hj9VsG',Nigeria,1306715591701663744
seefinish,"b'RT @Al_ameen_Yabo: U have BVN, Drivers Licence, International Passport, Birth Certificate, SIM registration, National ID card, Voters card?'",Nigeria,1306715591240187904
byaysha_,b'@sadeeq_sf I returned the favour?',Nigeria,1306715588954329090
_Jamil27,b'RT @chubiei: Pick one https://t.co/SowLCPpH32',Nigeria,1306715583434698752
abdul_ajiya,b'@f0002_ We could have shared? smh',Nigeria,1306715583392763904
Aijay_Nwoye,b'@steveabbey_ Hello ?',Nigeria,1306715573649367041
nasir_ad0,"b'Quote this tweet, get no likes or Retweets after 24 hours and stand a chance of winning this expensive Alienware..?? https://t.co/basg3mN69A'",Nigeria,1306715570499444736
Ismailms_jet,b'RT @Ahmaadarufai: Goni Abdullahi Abba Zaria  appreciation tweet?\n\nAll the 25 Prophets mentioned in Quran by @DrIsaPantami. https://t.co/dXG?',Nigeria,1306715569081774081
msrukayya,"b""RT @omar_bilkisu: Never dance in a puddle when there's a hole in your shoe (it's always get the best shoe\n\nPls retweet \n#handmade \n#afforda?""",Nigeria,1306715564115726336
EazyBobWizzy,"b""Aight bet.\nI'll pay for delivery. https://t.co/8UTFfpGm3F""",Nigeria,1306715553805991937
IbrahimHUmar3,"b'""Don\'t let your neighbor go to bed hungry without you feeling concerned. Even if he is not a Muslim.""\n?\n?Prophet Muhammad (?).'",Nigeria,1306715549901230086
Abdul_eLRufai_,b'RT @contactkdsg: Good morning Kaduna. Help us stop corruption and leakages in the public system - DO NOT PAY CASH! https://t.co/dtPGdCvjjh',Nigeria,1306715538870108164
_C_Foundation_,b'@adnanhaido @xahrah_apparel @thatmeena @Sadiq_Bashir_ EMERGENCY OPERATION!!!??\nDon Allah help mustapha if you can o? https://t.co/LfCDd8aXWV',Nigeria,1306715533346328579
walkiyah,b'RT @Pengpappi_xo: Memorize this ayah and recite it whenever life seems tough. It will help you refocus on what matters and see every suffer?',Nigeria,1306715515046559744
SlyyoldeWears,b'@DrJoeAbah @arafone @NigeriaGov Keep representing us Dr. ??',Nigeria,1306715512605495299
_ssumaiyah,"b""RT @_C_Foundation_: INNALILLAHI WA'INNA ILAIHIR RAJU'UN?\n        CIW0N HUNHU!!\nDon girman Allah help if you can or retweet so that others w?""",Nigeria,1306715509765869569
hafsat_dalhat,b'Bad belle everywhere',Nigeria,1306715504900538368
siddeeq_ahmad,b'@legallyhawt Preach sis.',Nigeria,1306715502035824646
hajja____,b'@leelRaees No wayyyyy... ladies first?',Nigeria,1306715495610093575
Jiddaah__,b'RT @ZainaMudi_: Quote RT this and The First Person to get NO interactions on The Tweet By 8PM Gets a Box On Saturday ?? https://t.co/g7Uigh?',Nigeria,1306715494712578048
Aminuddeenyusuf,b'RT @fruitytango_: Quote RT this tweet and get no likes or retweets..winner gets to pick 5 popsicle flavors on Sunday! \nHave fun ?\n\nGood luc?',Nigeria,1306715494246907906
herleemaali,b'@TeamLayconbbn I do it in the morning and before going to bed.',Nigeria,1306715486848258049
PrincessKaia_,b'RT @chubiei: Retweet if your mom is beautiful too??????? https://t.co/uPvFdWNywu',Nigeria,1306715481936523264
mallamson,b'Haters don plenty for my TL asswear???',Nigeria,1306715480984555521
RyanMeyer122,b'RT @chubiei: Retweet if your mom is beautiful too??????? https://t.co/uPvFdWNywu',Nigeria,1306715475058077696
isb101,b'RT @Ahmaadarufai: Goni Abdullahi Abba Zaria  appreciation tweet?\n\nAll the 25 Prophets mentioned in Quran by @DrIsaPantami. https://t.co/dXG?',Nigeria,1306715471870296070
bimpcy,"b""@DearestOsasO Hmmm not these ones.... you'd ended up with high BP!!""",Nigeria,1306715460495380486
BaleineJ,b'@Ibrahimrabiu You can buy',Nigeria,1306715456082980865
sadieyarh,"b'RT @foodfusion_ng: Since no one has won the previous challenge, we will give two random people who retweet this, Goodluck?? https://t.co/xW?'",Nigeria,1306715451616100352
skull_designz_,b'@Aeeshatuu_ @_maryaamsama confirm one',Nigeria,1306715446851313664
ThatAnisaGirl,b'RT @coldblaad: Quote RT this and The First Person to get NO interactions on The Tweet By 8PM Gets a Box On Saturday ??. \n\nOnly those within?',Nigeria,1306715445349711887
itz_Abduol_mtz,b'RT @byaysha_: Retweet please? https://t.co/Tf7wNACO7y',Nigeria,1306715428975190017
Bamsay,"b""@NaNa_huMaiRa06 Don't""",Nigeria,1306715423723921409
saadarhmoh,b'@BashirDatti1 ???keep joking',Nigeria,1306715420406222850
FaisalMij,b'Today I?m just liking quoted tweets for giveaways ?',Nigeria,1306715418095124481
Mahmud_wazeeree,b'@DjahMadawaki Ehen now',Nigeria,1306715409123508226
Mss_Incredible,b'@fsulayman_ Go away?',Nigeria,1306715396796489728
Sir_Dongizle,b'RT @HakymbinIsah: @Sir_Dongizle Country is just a circus... Everything is stupid',Nigeria,1306715394300837889
savi2398,b'RT @chubiei: Retweet if your mom is beautiful too??????? https://t.co/uPvFdWNywu',Nigeria,1306715392598052865
El__Musty,b'@Luqmanaid7 You can only do that in ur dream and spend it there ?',Nigeria,1306715391536832513
HMujeili,b'RT @fruitytango_: Quote RT this tweet and get no likes or retweets..winner gets to pick 5 popsicle flavors on Sunday! \nHave fun ?\n\nGood luc?',Nigeria,1306715390383357953
yoli_khanyile,b'RT @chubiei: Retweet if your mom is beautiful too??????? https://t.co/uPvFdWNywu',Nigeria,1306715387594256384
mukhtarsulaiman,"b'RT @Pengpappi_xo: One of my sisters said she wants to join police, so help my life and don?t like this ?'",Nigeria,1306715386549874689
avu_umar,b'@Ummaty_ @ahadidanmusa Block me??',Nigeria,1306715385539039235
DraTheTwiner,b'RT @chubiei: Retweet if your mom is beautiful too??????? https://t.co/uPvFdWNywu',Nigeria,1306715384662327297
Ayshacheche1,b'@saddix_02 U dey ask wetin after u go like the tweet ?i wanted to win Barca jersey ??',Nigeria,1306715375543947264
Bvbby_S,b'@aishatugali Ffs. Why thoughh',Nigeria,1306715368183009280
yemiefosa,"b'RT @foodfusion_ng: Since no one has won the previous challenge, we will give two random people who retweet this, Goodluck?? https://t.co/xW?'",Nigeria,1306715361396633602
DeejahA,b'RT @AsaaHotel: Quote RT this without any likes or retweets and win a complementary night + breakfast. You have till 1am tomorrow*. Good luc?',Nigeria,1306715355830792192
