user,text,country,id
VivianEvelyn15,"b'In pursuit of happiness, make sure you don?t exchange a good thing for a good time'",Uganda,1306726275403444224
Sandyloucious,b'Wow! Good to see you back in action sis. All the best?? https://t.co/yfPq7N1j6i',Uganda,1306726272903544832
MuyizziD,b'RT @BenjaminKasenge: Kindly follow this cute soul @Vernzee1 she follows back @RaymondMatovuUG @Amdoris12 @lubuulwachris2 @MarshahMarvin @Mj?',Uganda,1306726249822334977
ekukulerut,b'@SkySportsPL True.... 4da club is no pressure club.',Uganda,1306726232579604480
JohnLiamSonko1,b'@madhipowz Sweet sex can you everything you want in return but you can?t get everything you want minus sex from me who is not your brother!',Uganda,1306726213692596226
famepages,"b'RT @UGmanofficial: Drop your handle now we follow you?.. ,,'",Uganda,1306726209510875141
andrewerdna15,b'RT @k_ophelia: I know we hate poor people but that ?warning? issued by police to Boda guys was downright cruel. Have you considered *not* i?',Uganda,1306726202707783686
dtrixparker14,b'Say a prayer for my enemies ?',Uganda,1306726196642709504
jungkookhelado,b'ANDO HOT ??https://t.co/K7g6tP9S21',Uganda,1306726190917521412
VineLeatitiaNal,"b""Nengi and Ozo's fights are the cutest thing I've seen in the history of #BBnaija. Nengi is fuming and Ozo's just sm? https://t.co/c7OSuraDjP""",Uganda,1306726188208074752
IMibkhan,b'@jalirabagi Tweleb',Uganda,1306726145233215494
famepages,"b""RT @nasasira_olivia: If you're still awake drop your handles and we follow each other now ?""",Uganda,1306726108654718976
motive_nationUg,b'@NJ_RyanUG @TrenzMiriam @jackie_keila @meyveis21 @MimiHearts1 @LoneChildJBM @Mie_Tessie @Icy_sonie @ESSIE30000? https://t.co/HU1vsBlsKO',Uganda,1306726105014063110
Vicmwenya,b'@CaSibante True',Uganda,1306726097711751170
woodlandfell,"b'RT @followgain0: Drop your username lets follow you....?,.., .'",Uganda,1306726097095217162
teecoes,b'Shhhhh better fem https://t.co/ON3TskPBMN',Uganda,1306726087809028097
dtrixparker14,b'The Lyrics on  No Stress - Wizkid  straight ???',Uganda,1306726086840127488
