user,text,country,id
LaszloMeressz,"b""@GempoOsu @jesterthaclown @noteek_ @WSJ_manga @reinacilla I wasn't talking to you lol""",Malta,1306711021307023361
Amanuel_D_,"b""RT @LozaAbera: It's a great honor to be chosen as MFPA's Best Female Player of the Year.\n\nI want to thank God for this moment I'm living in?""",Malta,1306710155212607488
robert_cutajar,b'?PN launches national campaign to beat obesity and push for sports to be taken more seriously?\n\nhttps://t.co/dNX3phZa07',Malta,1306710116973019139
gianlia96,b'.@Floriana_FC third @MaltaFA1900 team ever in the third round of @EuropaLeague. https://t.co/2qDUs3wzgK',Malta,1306708712200036355
Dunel_Legend,b'@daltoosh Your a fucking god brooo what a game ??',Malta,1306708294464163851
itsthebrawnman,"b'RT @dondave__: Have you placed your @adeoluwamusic x @thefolafrancis order?\n\nSlide in the DMs to get yours ??\n\n?? Price\nShirt - N8,000\nSwea?'",Malta,1306707446224891906
Zina3190,b'RT @dondave__: Make una get sense o',Malta,1306707208697270275
Neshayy1,"b'RT @Superboog: Dennery, Saint Lucia https://t.co/fF2t4Wm0iZ'",Malta,1306706838931505152
TheWaveStLucia,b'THE WAVE - HARD LOCAL----SUPPORT --LOCAL https://t.co/qVmtNgHbIy #RideTheWave #NowPlaying',Malta,1306706803024113668
EmpressSapph,"b'RT @Superboog: Dennery, Saint Lucia https://t.co/fF2t4Wm0iZ'",Malta,1306706435015872512
DJCallyV,"b'RT @Superboog: Dennery, Saint Lucia https://t.co/fF2t4Wm0iZ'",Malta,1306706344142143489
LourdesSpiteri,b'@me_ericasmith @MarkusFeehily @westlifemusic Most welcome love and best wishes dear Erica?????',Malta,1306705971297869824
TheWaveStLucia,b'SEDALE - SHEMMY J - ARTHUR - We Liming https://t.co/qVmtNgHbIy #RideTheWave #NowPlaying',Malta,1306705820600741888
Superboog,b'@vadana59 I am so ready',Malta,1306705294483955714
DerekOTUS,b'EuroGF: That?s when I say ?unintended pun?\n\nMe: ... you mean ?No Pun Intended?',Malta,1306705259742588929
Superboog,b'Facts https://t.co/YdwgFfJ3M9',Malta,1306705247008587776
itsmikelaa,b'i just listened to The Climb and started crying',Malta,1306704463403667456
TheWaveStLucia,b'SKIP MARLEY - DAVIDO - Slow Down ( Remix ) https://t.co/qVmtNgHbIy #RideTheWave #NowPlaying',Malta,1306704242070163457
Superboog,b'This is highly accurate https://t.co/WOHKIFDhri',Malta,1306703790251208706
TheWaveStLucia,b'KATY PERRY - Smile https://t.co/qVmtNgHbIy #RideTheWave #NowPlaying',Malta,1306703567437336577
TheWaveStLucia,b'- QUICK COVID--TIP---MASK UP https://t.co/qVmtNgHbIy #RideTheWave #NowPlaying',Malta,1306703522096914435
Superboog,b'Lol lol putting fellas in time out https://t.co/A11hm31Pe2',Malta,1306702944415428608
King_AWilliams,"b'RT @Superboog: Dennery, Saint Lucia https://t.co/fF2t4Wm0iZ'",Malta,1306702651426516992
gizachewWorku4,"b""RT @LozaAbera: It's a great honor to be chosen as MFPA's Best Female Player of the Year.\n\nI want to thank God for this moment I'm living in?""",Malta,1306702180083212289
NicholasMamo,b'@OZOL1950 This has Flo written all over it',Malta,1306702047488638979
DomotaUchiha,b'RT @Charmzslu: @AnnieBecky He came to Saint Lucia on a work exchange program at one of the hotels. Once that was over he couch surfed for a?',Malta,1306701543446642689
All_OverVuitton,"b'RT @Superboog: Dennery, Saint Lucia https://t.co/fF2t4Wm0iZ'",Malta,1306701495770009603
thomas_agius,b'@RevolutApp @TBFcentral We checked our inboxes and the chat support on Revolut App - still no reply and still have? https://t.co/KKPxybYTcB',Malta,1306701302748065792
Superboog,"b'Been saying this, folks burning money, sell it, tax it and put that back into education, law enforcement etc. https://t.co/lCRLbTMa06'",Malta,1306701237753131008
Superboog,"b""I'll wait to see https://t.co/XxyRhcaHB4""",Malta,1306700628090068992
anne4_yates,"b'RT @VisitMalta: The ancient city of Mdina, Malta. So beautifully quiet! ???\n\n#Repost @ollyspics\n? ? ? ? ? ?\n#travel #traveling #photography?'",Malta,1306700241123659776
kwizvear,b'@Corilooo Because people are trash',Malta,1306700180763414530
vkookum,b'@dieforjim she said yes!',Malta,1306700156134461442
spgalea,"b'RT @MFEAMalta: Minister for Foreign &amp; European Affairs @EvaristBartolo is currently on an official visit to Madrid, during which he has bee?'",Malta,1306699550103613441
naibourhood,b'Loool and you men think I will spend almost ?500 on this? Kmt my husband yes but a boyfriend? Lool https://t.co/jdImkfqTEA',Malta,1306699531023790082
Parker14us,b'The fuck did Teddy do? https://t.co/DeY0LNKjKz',Malta,1306698985189539840
antoinebusuttil,b'Floriana through to UEFA Europa League third?round https://t.co/cOCoAJQlM6',Malta,1306698797549064192
EniKorinkova,"b""I'm at Triton Fountain in Valletta https://t.co/FYE1hPYJRC""",Malta,1306698456677969929
Randy_0395,"b'RT @Superboog: Dennery, Saint Lucia https://t.co/fF2t4Wm0iZ'",Malta,1306697815142400001
vx64,"b'RT @MFEAMalta: Minister for Foreign &amp; European Affairs @EvaristBartolo is currently on an official visit to Madrid, during which he has bee?'",Malta,1306697124927676417
