user,text,country,id
brizadominguezz,b'RT @yaaasminn__: idc I love flagstaff and can?t wait for it to snow',Tajikistan,1306725713404334080
yaaasminn__,b'ugh work is getting in the way of starting my harry potter marathon &gt;:(',Tajikistan,1306713733620592641
dlarez_08,b'RT @yaaasminn__: if you?ve ever witnessed me hitting a curb hard af no you didn?t??',Tajikistan,1306712847586439168
val_0705,b'RT @yaaasminn__: if you?ve ever witnessed me hitting a curb hard af no you didn?t??',Tajikistan,1306704333421965312
Nelva_V,b'RT @yaaasminn__: if you?ve ever witnessed me hitting a curb hard af no you didn?t??',Tajikistan,1306700650672058369
yaaasminn__,b'his little smile ? ugh someone put a baby in me now https://t.co/gRMo4LPA5o',Tajikistan,1306700094478008321
GhuddyV,b'@davido @Kentroot5 Get out idiot you too fresh!!',Tajikistan,1306697752290701312
lpseven_,b'@hayheiii We expect a live try-on review',Tajikistan,1306695752974917632
lpseven_,b'@miguel_cortez28 What?s wrong with a garage sale sir',Tajikistan,1306684926893330432
yaaasminn__,b'also can?t wait till my friends decide to love me and pull up',Tajikistan,1306684074426130432
barbaraaaramoss,b'RT @yaaasminn__: idc I love flagstaff and can?t wait for it to snow',Tajikistan,1306683916690972672
lpseven_,b'I?m very sensitive when it comes to people I love and care about... anyone else I truly do not give a fuck about wh? https://t.co/gQ5QXX2It4',Tajikistan,1306683527874846720
AlanaFig,b'RT @yaaasminn__: if you?ve ever witnessed me hitting a curb hard af no you didn?t??',Tajikistan,1306678829801324546
yaaasminn__,b'if you?ve ever witnessed me hitting a curb hard af no you didn?t??',Tajikistan,1306674086609711104
Itsjohndude_,b'RT @yaaasminn__: idc I love flagstaff and can?t wait for it to snow',Tajikistan,1306671152681558016
yaaasminn__,b'idc I love flagstaff and can?t wait for it to snow',Tajikistan,1306670661486608384
yaaasminn__,b'RT @barbaraaaramoss: everything changed the moment I realized I deserve so much better',Tajikistan,1306670242483978240
danielaisneat,b'does everyone else have to scream a little after they hang up from a zoom call?????',Tajikistan,1306661480507387904
barbaraaaramoss,b'ya?ll have NO idea how excited I am to announce what products I will be selling in terms of my small business!!!',Tajikistan,1306660644448395264
lpseven_,b'GUYS.... I fucking BOMBED this exam...... GOD IS SO FUCKING GOOD ???????????????????? https://t.co/g3nLDmfcnd',Tajikistan,1306653786337718272
barbaraaaramoss,b'everything changed the moment I realized I deserve so much better',Tajikistan,1306649244258824193
Berenicburquez,b'RT @yaaasminn__: psychology student so i?ll get in your head before i give you head',Tajikistan,1306620893645271040
stephpenaa,b'RT @yaaasminn__: psychology student so i?ll get in your head before i give you head',Tajikistan,1306619551115747328
barchiesafter,b'RT @callanotherhoe: no. i watch criminal minds. https://t.co/WvSLeEWbme',Tajikistan,1306619007202660358
gretaliese,"b'i don?t know who needs to hear this but, everything is going to be alright. it might not seem that way rn, but it will improve soon ?'",Tajikistan,1306618747390554113
teyaamari,b'i kennat',Tajikistan,1306502678722224131
joheny_burruel,b'RT @yaaasminn__: psychology student so i?ll get in your head before i give you head',Tajikistan,1306501430212136961
yaaasminn__,b'I deadass thought that was dr phil smoking with david dobrik....',Tajikistan,1306499381286248448
_DianaCFlores_,"b'@RodriguezReya Yeah, okay! I have pictures of us when we were younger &amp; you were so cute compared to me ?? glasses? https://t.co/H9CV5cEkn3'",Tajikistan,1306486365652099072
_DianaCFlores_,b'@RodriguezReya Shut up! You were never ugly!',Tajikistan,1306483473553616896
kenaiiiiiii,b'RT @callanotherhoe: no. i watch criminal minds.',Tajikistan,1306477547719258112
danielaisneat,b'LOL 4 movies i like more than any1 i know https://t.co/MUP5sloz5K https://t.co/Ko3ic3kslD',Tajikistan,1306474851616448512
yaaasminn__,b'should that be my bio',Tajikistan,1306472904570187780
ltteeee,b'@mareerosee THANK U B ILY ?',Tajikistan,1306472113188954113
yaaasminn__,b'psychology student so i?ll get in your head before i give you head',Tajikistan,1306471214286692357
ltteeee,b'I would have such an amazing body if I gave up fast food ?',Tajikistan,1306467088781828096
