user,text,country,id
job83_nsci,b'RT @srivatsayb: 2 Crore Jobs/yr: MISSING\nData of Migrants: MISSING\nNirav &amp; Mehul Bhai: MISSING\n\nPM Cares Fund: MISSING\n100 Smart Cities: MI?',India,1306703896740536320
AshimKMukherjee,"b'RT @srivatsayb: ?-23.9% GDP, lowest ever in history\n?Worst Unemployment in 45 yrs\n?Farm Income lowest in 14 yrs\n?High GST &amp; Profit PSUs sol?'",India,1306703892600647680
Jay_B_jayson,b'RT @dotnetforall: How to use Left Join in C# Linq #csharp #dotnet  #programmer #programming #dotnetforall #100DaysOfCode #DEVCommunity  htt?',India,1306703884073799681
onlyalam,"b""@kunalkamra88 @KanganaTeam Fucking couldn't stand under sun for a second. Man had to run with umbrella for madam. B? https://t.co/L5GKw33H5p""",India,1306703877308178432
Jay_B_jayson,b'RT @dotnetforall: Searches made Fast using HashSet in C# #csharp #dotnet  #programmer #programming #dotnetforall #100DaysOfCode #DEVCommuni?',India,1306703872547840001
NarenBB,b'Taboola adopts pre-bid brand safety technology https://t.co/JONmGuN8uZ https://t.co/Y7BMAJcKRk',India,1306703867124412416
blvvamsi,"b""@shonti90 Tinpot cup anyway. Klopp doesn't give 2 shits about it ?""",India,1306703866793086976
utpalmkt,b'Taboola adopts pre-bid brand safety technology https://t.co/X5oNqou3nP https://t.co/OVoU6QFeTr',India,1306703865056698368
ReplyToNaveen,b'Taboola adopts pre-bid brand safety technology https://t.co/wSajSbM1Xi https://t.co/NebMbyX43b',India,1306703863420837888
Varshan194,b'Baby(Italian) &gt;&gt;&gt;&gt; Euphoria (HBO).\nSoundtrack',India,1306703855908843521
KapilRa37759074,"b""RT @Tarak_Additct: Rahul Gandhi ji didn't even tag Modi.... But Modi tagged him while quoting him.... ?????\n\n#NationlUnemploymentDay\n#Natio?""",India,1306703838355705856
ceres_heart,b'RT @staeri95: There are two types of Stays :\n1. Who have a crush on Changbin\n2. Who dont know that they have a crush on Changbin.',India,1306703818596458496
somu_chan,"b'@Priyanka311059 very easy to say against privatization its always the end customer who gets the benefit, in this case, farmers.'",India,1306703818021765120
varungupta3009,"b'NASA to Host Preview Briefings, Interviews for First Crew Rotation Mission with SpaceX via NASA https://t.co/0j1zGQFXL7'",India,1306703804231028738
manojk679,"b'RT @TVMohandasPai: How can this be anti farmer? This gives farmers more choice. Nobody is forcing any farmer to do anything,no force for co?'",India,1306703768533086208
Marketingshetty,b'How One Startup Went From Almost Shutting Down to Raising More Than $1 Million https://t.co/dJwp2TFZha',India,1306703763936247809
shiv_for_india,"b'RT @Tejasvi_Surya: Before day ends, let?s pray for health &amp; longevity to our fountain of inspiration, modern architect of this eternal civi?'",India,1306703763630034944
akshaydeshraj,"b'""Backlinks"" is a feature ! https://t.co/i9kSPpGtfj'",India,1306703745829355523
peacemachine123,b'The only major difference between me and a pigeon is that pigeons shit on people and I get shit from people.',India,1306703722081263616
wadhwade,"b'RT @TVMohandasPai: How can this be anti farmer? This gives farmers more choice. Nobody is forcing any farmer to do anything,no force for co?'",India,1306703694642151426
ShirtShanks,b'She?s a brat but she?s also so soft and loving ? https://t.co/vJC6Sdzn5d',India,1306703676501712896
raunaveen,"b'RT @Captain_Mani72: @surnell I am feeling extremely sad, chief. He has been full of energy and supported our teams wonderfully.'",India,1306703659624026114
jd32768519,b'RT @mehdi_nisar1: Allah alone is sufficient ??',India,1306703651725926400
SheshenderSingh,"b""@MyLeaderRahul If Congress come back in to power then we don't have our lands. China would have it.""",India,1306703639549849600
CapHaddock121,"b'@NatashaFatah And @ImranKhanPTI spends half his time talking about Fascit Narendra Modi, rather than running his own country'",India,1306703589763477504
Sk08797,"b""RT @srivatsayb: -23.9% GDP fall and 150+ million jobless is 'Vision' and 'Agenda' of Modiji\n\nApparently, Liberals on Twitter don't like thi?""",India,1306703563607875584
Father_of_Jack,"b'RT @TVMohandasPai: How can this be anti farmer? This gives farmers more choice. Nobody is forcing any farmer to do anything,no force for co?'",India,1306703562232090624
bnisarg1,b'@GiriSonnaSeri @Flipkart But.. for u r issue .. i think u r solutiondont work ..... i am from karnataka... but i do? https://t.co/37XXtTQ0JD',India,1306703555735089152
c_H_i_N_k_U,"b""@shaaninani if i get find a wife, &amp; if she earns more than me, i will be the proudest\nthat's how relationships are? https://t.co/HzFpsLUDJX""",India,1306703541566758912
pandaramvijayn1,b'RT @prasannavishy: Kerala Gold Smuggling Case: NIA Interrogates State Minister K T Jaleel; Centre Informs Parliament That One Of The Prime?',India,1306703525108277248
AkritiG45951693,"b'RT @SharmaShradha: He is known for provoking polarising reactions for his journalism. In this interview, Arnab Goswami answers questions th?'",India,1306703515532759041
thridharaa,"b""@mehakdoosajj ABAHAHAHHA let's spend the night together from now until forever""",India,1306703508821819392
Gargi32354857,"b'RT @KiranKS: One of the best videos of @SadhguruJV \n\nThe narration is about Alexander, but you will learn that ""Sikandar"" actually came fro?'",India,1306703478438453248
Chirag000786,"b'RT @KiranKS: Retweet this if you feel from the bottom of your heart, that @narendramodi is the best PM India ever had!\n\n#HappyBirthdayPMModi'",India,1306703473820528640
MODIfiedVikas,"b'RT @TVMohandasPai: How can this be anti farmer? This gives farmers more choice. Nobody is forcing any farmer to do anything,no force for co?'",India,1306703448818081793
Always_Happy66,"b'RT @AbhishBanerj: Name one dish from your state that you would like everyone to try.\n\nI recommend ""alu posto""'",India,1306703443873026049
imrankhan3624,"b""RT @srivatsayb: Modiji has full data on Madhuri's kitchen garden but has no data on migrants!\n\nPriorities of New India's PM..""",India,1306703439896948741
arun_prem,b'@deepaksidd I think its TENET ?',India,1306703411350581249
k_ashesh,b'RT @Vibhinnaideas: Stay home. Stay safe! ?https://t.co/mnEmdo3ieG',India,1306703399417556992
iamvijaypole,"b'Intrinsic vs. Extrinsic Motivation, How to Get Going When You Don?t Feel Like It https://t.co/Mg3LuOFJPx https://t.co/OKsgVcJ9zm'",India,1306703361798844418
BinwieSusan,b'RT @CostlyDr: Every Case of Gender Based Violence that go unpunished feeds a culture of impunity that enables occurrence and multiplication?',India,1306703352978436097
rohanbopanna,b'Moving on to the quarter-finals at the @internazionalibnlditalia open.. @denis.shapovalov #roma #foroitalico? https://t.co/Ud1EmHXOUr',India,1306703338142969856
Always_Happy66,"b""RT @surnell: Unsolicited advice to @KanganaTeam Don't trust any media. At this time it suits them for increasing their TRP. They provoke yo?""",India,1306703333080481793
WordOfPrabhakar,b'RT @prasannavishy: Farmers Will Grow What Markets Want: What  Agriculture Reforms Will Achieve @S_Sivakumar https://t.co/a94vZ1bfAN\nFinally?',India,1306703301325418496
trollcube,"b'RT @swamy07: I voted you last election by mistake... You are disgrace to Kannada, kannadigas and Karnataka.... I will influence my relative?'",India,1306703282320994304
