user,text,country,id
kylethebrabest,b'@marcarilho @GuigaKirin Lombrado esse crossfit',Jordan,1306709189360791554
milenagr,b'to assi https://t.co/TO58sMaY5P',Jordan,1306706528670560256
giovannanunesc,b'@_telx Fico top',Jordan,1306706373661556751
Allooosh96,b'That?s a SUNKEN SHIP! https://t.co/mwdP3ya5UD',Jordan,1306698885637779456
soaresabner1,b'@ySchneiiider genial bixo',Jordan,1306695022159462400
vitoriandrade1,b'@caralho_daniel bonitin oce',Jordan,1306694163090505728
aazevwdo,b'cause im mr brightside',Jordan,1306693684512075778
cecisouzam,b'@mmariamariia amggg facinnn',Jordan,1306693172932870144
alicekethely5,b'RT @Juliaagabriela9: help! https://t.co/BKcqmenmMm',Jordan,1306688245904936967
alicevlanza,b'@germno_ onde',Jordan,1306686114598658058
vi_skatista,b'@robertajulie3 KKKKKKKKKKKKKKnamoral',Jordan,1306683097958801408
fillipibm1,b'@KevFelixz qual',Jordan,1306682482041987072
loonathwrd,b'@akaMasami ss exato',Jordan,1306680299573702671
fillipibm1,b'@camposbarbara_ Vokere',Jordan,1306678905064116224
beeprxn,b'CAROOOOOLLLL @carolfonsecar',Jordan,1306678544869863424
beeprxn,"b""#Affinitweet Valentine\nThis year you're mine carolfonsecar! ??\nAnd you, whom will be yours?\nvia? https://t.co/xXHrpthX5p""",Jordan,1306678407900602373
kamilamartinx,b'@eloisatorres0 colocou gel?',Jordan,1306677196124303362
haussm4nn,b'@g1 @MariiiGaspar dark',Jordan,1306675362773053440
aazevwdo,"b""she wants my hundred dollar bills she don't want love""",Jordan,1306673761601585154
emshhh_,b'RT @zylabs: playing games 4 fun with the homies is what matters most',Jordan,1306672179182858240
UndressedTaco,b'@CashApp $troy444',Jordan,1306664124072562692
_telx,b'@gabzmachado @eujosee rlx amg',Jordan,1306662295766994944
aazevwdo,b'we live in cities ??',Jordan,1306658328932737026
juju_oliver2,b'Dark??? https://t.co/U961ImUThC',Jordan,1306654928690196480
zylabs,b'playing games 4 fun with the homies is what matters most',Jordan,1306652842887770113
AliuqseO,b'@HotSexyPinoyMa1 Why this actor seldoms or very rare in displaying his barebody in the camera?...He got what it takes....??',Jordan,1306652346806484992
zylabs,"b""gotta give props to whoever broke laroi's heart, cuz of u the man producing lit tracks right now""",Jordan,1306648502051598340
aazevwdo,b'i wanna love you ??',Jordan,1306640381363314689
allefsouza_,b'@ykdeassis2 gatoo',Jordan,1306636591688015872
_victorsouz,b'stress',Jordan,1306633903843823616
ariaravenn,b'getting henna tattoo &lt;33',Jordan,1306633873934123014
icaro_gusta,b'demoroo',Jordan,1306631419360358401
bogdaneilat,b'@ArielElyseGold We will sign peace with all our arabs around Israel. U will make your head a big Pooop !',Jordan,1306629494128676864
lagxiz,b'@_nicrs se fuder ze',Jordan,1306629440533917697
batistareisss,b'@_aylafelix te dou',Jordan,1306629286468685825
bogdaneilat,"b'@ArielElyseGold I?m back, u stiil suck some pula baby ?'",Jordan,1306629128792219648
izadu2,b'@gabyxnogueira Repreende',Jordan,1306622121527959555
caldeiraamand,b'@thamiiresmaia bi dms',Jordan,1306619780426862593
aazevwdo,b'are you the definition of insanity',Jordan,1306619620535787528
whhbecky,b'a Clarke n atirou no Bellamy n ne????',Jordan,1306617016556683265
aazevwdo,b'how the hell did i lose i friend i never had',Jordan,1306612731123052544
menezes996,b'5 likes eu dou block na loring',Jordan,1306611244976222208
BeijamimJhulia,b'@irisrosadooo @Cereijinhaaa @iambeawerneck Old que... ?',Jordan,1306609463051382784
aazevwdo,"b""i don't wanna sober up""",Jordan,1306608444514983937
jujudiass04,b'@annaasouzaaaa_ @BeijaElas nd haver euem',Jordan,1306605817156775936
angieagoylo,b'As you let go of the old you \nallow space for the new to enter your life. \nJust as a tree sheds its leaves in Autum? https://t.co/hNxU4LCrgn',Jordan,1306602696460218368
angieagoylo,"b'When it hurts, observe. \nLife is trying to teach you something. \n   \n        ?Anita Krizzan?'",Jordan,1306602378003582977
heniodograu,b'@ester_angeliica online',Jordan,1306601666335121409
que0_go,b'@MamcyChulits @KevanKenney @JustSarahG @MTV Sunday\n\nREQUEST @JustSarahG @MTV #FridayLivestream',Jordan,1306598734269014018
que0_go,b'@MamcyChulits @KevanKenney @JustSarahG @MTV Saturday\n\nREQUEST @JustSarahG @MTV #FridayLivestream',Jordan,1306598691826855936
que0_go,b'@MamcyChulits @KevanKenney @JustSarahG @MTV Friday\n\nREQUEST @JustSarahG @MTV #FridayLivestream',Jordan,1306598650022256640
que0_go,b'@MamcyChulits @KevanKenney @JustSarahG @MTV Thursday\n\nREQUEST @JustSarahG @MTV #FridayLivestream',Jordan,1306598612495822849
que0_go,b'@MamcyChulits @KevanKenney @JustSarahG @MTV Wednesday\n\nREQUEST @JustSarahG @MTV #FridayLivestream',Jordan,1306598575720128512
que0_go,b'@MamcyChulits @KevanKenney @JustSarahG @MTV Tuesday\n\nREQUEST @JustSarahG @MTV #FridayLivestream',Jordan,1306598531973541889
que0_go,b'@MamcyChulits @KevanKenney @JustSarahG @MTV Monday\n\nREQUEST @JustSarahG @MTV #FridayLivestream',Jordan,1306598490089295874
que0_go,b'@MamcyChulits @KevanKenney @JustSarahG @MTV REQUEST @JustSarahG @MTV #FridayLivestream',Jordan,1306598426449121283
barbaraswuza,b'RT @Juliaagabriela9: help! https://t.co/BKcqmenmMm',Jordan,1306597490028761089
Lima_Ju2005,b'@heniodograu aham',Jordan,1306596588618264585
alberalmeida18,"b'@thirrasgo10 Ahh btff mano,doido'",Jordan,1306590753833926665
israelibeauty_,b'Bro Dimona is the southern district of Israel and these mfs think they living in the trenches bitch y?all from the kifar ?',Jordan,1306589228676022272
israelibeauty_,b'these rappers got y?all cappin?',Jordan,1306588929441902592
Oliveirx_Rayssa,b'@AlessandraBenfi poe alarme',Jordan,1306588859015114753
israelibeauty_,b'y?all mfs in Israel gonna get enough for thinking this American life wassup. bitch y?all never even seen the trench? https://t.co/tw7cA4quLx',Jordan,1306588739108569090
DaviAGarcia4,b'@aninhasilveirax bodia',Jordan,1306587277372485633
vianagabyy,b'@Kaio_Ch__ ohoommm',Jordan,1306586712060157952
vianagabyy,b'@NikollasOi issoo',Jordan,1306586391732613122
vianagabyy,b'@mafhe_ sorry???',Jordan,1306586236488835072
kylethebrabest,b'chorume https://t.co/zOAGfj7EB5',Jordan,1306583971107663872
zylabs,b'nvm i meant the whole F*CK LOVE album https://t.co/l6ciNqGt1O',Jordan,1306579429338955777
zylabs,"b'maybe, go, wrong, and need you most by kid laroi are the only songs keeping me alive right now'",Jordan,1306578525172846593
idkluck,b'saudades da LA to the moon',Jordan,1306567380760494080
thierrysn,b'@layshacampos Fechouuuu kkkkkkk',Jordan,1306565346468532225
debdcm_,b'@sisramosx Bi OBV',Jordan,1306565178830598144
ItsJessadorable,"b'help me, save me'",Jordan,1306563034370830336
vianagabyy,b'@princessmay_fil quer cvs?',Jordan,1306562357330669569
Matheusnareal,b'Little August',Jordan,1306562298417471488
heniodograu,b'@vithoriaxrs online',Jordan,1306557785254047744
alvarenguela,b'@Schimidt04 KKKKKKKKKk scrrr',Jordan,1306555796310851588
BRAHMSON693,b'@yarabgn A3lech?',Jordan,1306555587447095297
carkadeh,"b'@ShittySchwifty Internet download manager, the best option'",Jordan,1306541950376517632
saage_,b'RT @BRAHMSON693: New submariner https://t.co/Xx07AHbQog',Jordan,1306533237901217793
BRAHMSON693,b'New submariner https://t.co/Xx07AHbQog',Jordan,1306529976057987073
CEOMED1,b'RT @AqabaMediss: ?Mediterranean Integrated System for Water Supply (MEDISS) under the Cooperation across borders in the Mediterranean ?ENI?',Jordan,1306520933344129024
CEOMED1,b'RT @AqabaMediss: A field visit to the project site by the supervision team of Aqaba Water Company and Tenderers and Contractors interested?',Jordan,1306520914331422721
buan_PNP,"b'San Jose de Buan, Samar\n\nSan Jose de Buan MPS personnel led by PCpl Angelo S Borinaga, 3rd Squad Leader, under the? https://t.co/jcrLMAAax2'",Jordan,1306515428303187969
rdr0603,b'@ResellCalendar @Automation_VC @dropshippin Thanks for this chance? hoping to win?',Jordan,1306513124682379264
alexasonsa,b'@sisramosx neymarsexual',Jordan,1306508695254323200
rdr0603,b'@TheTrueAMG @encourage Done???',Jordan,1306507462770475008
zylabs,b'off the juice codeine got me trippin',Jordan,1306505996672462848
vi_skatista,b'@_pedro________ KKKKKKKKKKKKKNAMORAL',Jordan,1306486387038998528
zylabs,b'sorta need that #',Jordan,1306483452959547392
xxxklIds,b'@damv_th some',Jordan,1306479321415122944
sleepybyte23,b'@SlinnRiley @AJaki11 @UniswapProtocol same here',Jordan,1306458070952927233
vitinbf14,b'@cardilokay_ doido em vc I\n\np.s: love you too',Jordan,1306457119357534208
malusilvaa0,b'@Acarol_marins Iphone 8',Jordan,1306453709384278016
guilhermervz,b'@whoisgonzagaa Away',Jordan,1306445603111665667
finamore_duda,"b'@jhenfduarte Hmm ,sou dms ?'",Jordan,1306435758857900032
