user,text,country,id
JadeyTheeBear,b'Who?d read?',Lebanon,1306710873885618176
Chaos909,b'RT @effucktivehumor: South Indian Dhanush wished PM but didn?t even write two words for Periyar on his birthday anniversary and his father?',Lebanon,1306710853845090304
Haifxa_,b'@yadgarisirin Arewallah it?s funny',Lebanon,1306710827937026048
i25i24,b'RT @walidfreiha: You want this? https://t.co/H7iv70lBAp',Lebanon,1306710795456217088
Haifxa_,b'@yadgarisirin We don?t have this tradition in bashur?',Lebanon,1306710792369303552
midtownlofts512,b'End summer on a high note and take a gander at the best movies of the year (so far) broken down by month.? https://t.co/tlMpDTcdRQ',Lebanon,1306710772286918656
Lineee33,b'@Tarek_Masri_ @carlo_karam Bel batroun fi literally monument: ?Phoenician church? ????',Lebanon,1306710769996828673
puffboijeffery,b'@papiparanoid This has to be bait?',Lebanon,1306710765638950912
JadeyTheeBear,"b'I?m gonna write a book ironically, the intent won?t be for it to be good but i just wanna freestyle and have fun'",Lebanon,1306710719388430338
Lamaboushaheen,"b""I be listening to Fairouz, Pink Floyd, 21 savage and Arctic Monkeys in the same hour and wonder what's wrong with me ?""",Lebanon,1306710659078512642
talitahaddad,b'slideeee ?',Lebanon,1306710620771954688
MungenCakes,b'RT @ewsorg: Last day to buy medical weight at current limits. Starting tomorrow medical purchases are limited to 8oz per store per day... h?',Lebanon,1306710565876891649
TeddyW16646660,b'RT @ewsorg: So uh... this guy has already killed four people with his driving ?\n\nhttps://t.co/QI8UOdpLjH https://t.co/Qc4Yq8liX1',Lebanon,1306710543831506944
Lineee33,b'@carlo_karam @Tarek_Masri_ You know he?s blinded by sectarianism and araf when he calls Egypt ? Coptia??  ??? like? https://t.co/mUXLic3UO4',Lebanon,1306710517499793411
Holaitslola1997,b'@ArousingRose I STaN MY OWN BESTIE?',Lebanon,1306710458892779520
walidfreiha,b'You want this? https://t.co/H7iv70lBAp',Lebanon,1306710457277911040
ARABIAFATS,b'@AManInTheSun @FantaFirmino one of the greatest grifts of all time imho',Lebanon,1306710402986844161
PaulAtkinsonPDX,b'RT @huckpdx: i humbly present the 41st way to fight fascists. \n\nhere?s a link to print your own document.\nhttps://t.co/H5llFcDm6Z\n\n@transfo?',Lebanon,1306710324637130752
jaaacksaveme,"b""RT @alaahoussamy: here's two https://t.co/JYQBPCOE0i""",Lebanon,1306710319360868358
CaptainCyril,b'@ramshaaleeze @sahouraxo What about ISIS?',Lebanon,1306710290176913408
HANIHAFI7,b'@Marioam79 Hope its true',Lebanon,1306710223466516485
USArmyChief2,b'RT @usembassybeirut: The United States Designates Hizballah Companies and Official - Press Statement of State Secretary Michael R. Pompeo\nh?',Lebanon,1306710217934147585
Myliifeaspablo,b'@beatsbySurajP Hotline Bling',Lebanon,1306710215455318017
MarioMannah,b'My feelings https://t.co/V8OwMJxMrO',Lebanon,1306710201454608384
callmecharaff,"b'Been super busy for the past few months, and tonight im opening Netflix for the first time since April to watch baby season 3'",Lebanon,1306710159692042240
dbzbornak,"b'@DavidFutrelle I am reminded of the ""purring Jew"" post from 4chan arguing that the white birthrate is plummeting be? https://t.co/Oz4qu5x861'",Lebanon,1306710140356239360
NickyNesh_,b'RT @puffboijeffery: Maybe his music will get better ?\n\nbut yet again Reason got divorced twice mara go no tshwana',Lebanon,1306710074237349890
rochdi_najat,"b'RT @WHOLebanon: WHO #Lebanon daily brief on #coronavirus with special section on ""RCCE Working Group?s plan for the COVID-19 response post?'",Lebanon,1306710066486222849
clownereem,b'@thebachirist yikes',Lebanon,1306709956343795712
clownereem,b'@titiecroissant apparently yes',Lebanon,1306709897116033024
