user,text,country,id
FearRizen,b'RT @azaultfn: NAE Dreamhack Opens! !TIP #NorCalRC https://t.co/Y5WSz4m6n6',Uzbekistan,1306725467026796546
azaultfn,b'doing decent in opens ??',Uzbekistan,1306720834740944897
sarahspooon,b'@jaydaduhxo i feel attacked',Uzbekistan,1306718523767566339
hussansk,b'Covid19 Profiteers\nPropped up by massive transfers of wealth - 5 BILLION / Week - by the feds to the stock market https://t.co/a4OYSxciag',Uzbekistan,1306717535212109827
SifuRob1,b'@TheRealOJ32 @Browns @NickChubb21 They should trade him to buffalo. Buffalo would be the best team in the game if t? https://t.co/xOdewpRjm4',Uzbekistan,1306714680279228416
WeerStationOss,b'23:59 temp 12.2?C min --? max --? 1028.6 hPa wind O 1 Bft max - km/h rain today 0.0 mm',Uzbekistan,1306714559311421441
sarahspooon,"b""@JerseyDrew @EmSheDoesIt @skg_18 It's creepy as hell that someone is literally going the distance and emailing her? https://t.co/612J1d0CTD""",Uzbekistan,1306711356666785793
sarahspooon,b'WHITE SOX ARE GOING TO THE POSTSEASON FOR THE FIRST TIME SINCE 2008!!!!!',Uzbekistan,1306708979800772610
azaultfn,b'@FaZeSway STREAMING DREAMHACK RN https://t.co/U1zQR0wb6L',Uzbekistan,1306705819682197512
pacificmatthews,b'after watching the devil all the time i don?t trust no religious bitches get away from me',Uzbekistan,1306705105056681985
Blanter23,b'@CrisisActeur not bad for a crisisactor :P',Uzbekistan,1306702132788293633
oshsolo94,b'@lawlipoppie GIVE ME https://t.co/vuZVLz6vGB',Uzbekistan,1306700074857238529
azaultfn,b'@FaZeSway streaming dreamhack!!!! https://t.co/CKT6LxrORK',Uzbekistan,1306699706622410752
WeerStationOss,b'22:59 temp 12.5?C min 9.5? max 21.1? 1029.0 hPa wind ONO 0 Bft max 6.5 km/h rain today 0.0 mm',Uzbekistan,1306699451176812550
Rigby_Floats,"b""The reason why I've been out of work is because I have chronic tendonitis in both of my wrists due to work. I've be? https://t.co/2P38yteLL7""",Uzbekistan,1306697662700298240
Rigby_Floats,b'@Tob3ks @csgofloat Thank you &lt;3. Im probably giving my dad mostly all of it to hold down the fort.',Uzbekistan,1306694640754503680
azaultfn,b'NAE Dreamhack Opens! !TIP #NorCalRC https://t.co/Y5WSz4m6n6',Uzbekistan,1306694299006926855
Rigby_Floats,"b""I've been out of work for about a month (Finally back to full duty as of this week). And I haven't been able to hel? https://t.co/WHm1lgdsx8""",Uzbekistan,1306693379858690048
sarahspooon,b'not people defending jerry when he admitted and was arrested .....',Uzbekistan,1306693245372690439
itsgnarlycj,b'@crwnjr please let me know. gia ate once an hour every hour until 7am two nights ago and i was losing my mind. ?',Uzbekistan,1306692913120849920
itsgnarlycj,b'@crwnjr which one y?all got the brezza?',Uzbekistan,1306692436324909056
sarahspooon,b'The umpire is literally just standing there like ?Well.....This is new....? https://t.co/V4qOIDOC8e',Uzbekistan,1306691583463624712
sarahspooon,b'@CourtKramer39 They slapped Travis Scott?s name on it and threw some bacon on the burger and jacked up the price. 2020 marketing tactics.',Uzbekistan,1306691365556887562
sarahspooon,b'@Cernovich When Netflix isn?t the problem for what Jerry did BEFORE Cheer was on Netflix.....',Uzbekistan,1306691059880206340
sarahspooon,b'OMG JERRY WAS ARRESTED',Uzbekistan,1306690728442109958
itsgnarlycj,b'@bawllms dual definitely.',Uzbekistan,1306687180346138635
WeerStationOss,b'21:59 temp 12.8?C min 9.5? max 21.1? 1029.1 hPa wind ONO 0 Bft max 3.2 km/h rain today 0.0 mm',Uzbekistan,1306684363191525385
predo_dornelles,b'Forgot Twitter existed again so have a Kay\n?\n#sketch #OC https://t.co/NvR1Yub7vn',Uzbekistan,1306683622070648833
Rigby_Floats,b'@Tf2Cursed shortbus',Uzbekistan,1306681018619895809
badder_red,b'RT @D_Batey: It may not happen when you want it to but it will take its course for you!',Uzbekistan,1306670974734143488
WeerStationOss,b'20:59 temp 13.8?C min 9.5? max 21.1? 1028.8 hPa wind O 0 Bft max 4.7 km/h rain today 0.0 mm',Uzbekistan,1306669262912868353
sarahspooon,b'don?t call me out like this https://t.co/sjcvY0svgu',Uzbekistan,1306664444622262276
RaidOrDie666,b'No one mentions it because they was too busy on Derwins sack https://t.co/j5sCrQMBA7',Uzbekistan,1306659041188278272
WeerStationOss,b'19:59 temp 15.5?C min 9.5? max 21.1? 1028.8 hPa wind NO 0 Bft max 7.9 km/h rain today 0.0 mm',Uzbekistan,1306654160343965696
itsgnarlycj,b'@sms_95x oh please pick me ??????',Uzbekistan,1306652755809968130
RaidOrDie666,b'@itzelitaa_xo That?s @lastjedi_ every night. Like half asleep turning it on and I?m like.. https://t.co/QipZbCOypA',Uzbekistan,1306650335918698496
RaidOrDie666,"b'@_chavezbianca_ Will do, thank you ??'",Uzbekistan,1306649939951235072
TZs_Sizzo,b'@deinTherapeut Donnerstag ?',Uzbekistan,1306644485695320064
D_Batey,b'It may not happen when you want it to but it will take its course for you!',Uzbekistan,1306642577790246912
WeerStationOss,b'18:59 temp 17.5?C min 9.5? max 21.1? 1028.6 hPa wind ONO 1 Bft max - km/h rain today 0.0 mm',Uzbekistan,1306639057821274112
A_Flawed_King,b'RT @RaidOrDie666: @A_Flawed_King Let?s just call em Resale Bots',Uzbekistan,1306638983154163718
Makhmudovna1,b'One thing surely makes you fail is to be manipulated',Uzbekistan,1306635878358491136
_geefazoo,b'i appreciate you very much ? https://t.co/kQCQZS4OuY',Uzbekistan,1306635593724637184
Makhmudovna1,"b""Heyyy headache let's be cool to each other.  At least nights leave me alone..""",Uzbekistan,1306634412868669440
Abror444,b'shamol...',Uzbekistan,1306633891474743296
pacificmatthews,b'i usually don?t really love netflix originals but holy challenger is amazing and so interesting',Uzbekistan,1306630298399125504
Makhmudovna1,"b""Me: I'm stressed I'm left alone I'm broken I'm lost  I'm cheated I'm half- hearted.......\nSister : don't do this Fu? https://t.co/0fAxEKuM1J""",Uzbekistan,1306626295112007685
Makhmudovna1,"b""It doesn't matter how hard you have loved. But one thing !!!!! Love is not for traditional people""",Uzbekistan,1306624751218065409
Makhmudovna1,"b""It's soooooooo late to ask questions in my mind. But I have them . I'm left with questions and aching soul.""",Uzbekistan,1306624076979605509
WeerStationOss,b'17:59 temp 19.7?C min 9.5? max 21.1? 1028.1 hPa wind OZO 1 Bft max 16.1 km/h rain today 0.0 mm',Uzbekistan,1306623954824683520
RaidOrDie666,b'Went to bass pro shop last night and damn they had hella nice ass flannels. Couldn?t choose them all ?',Uzbekistan,1306619927508348928
Bobby_Maina,b'@AimTerminator Fair play!',Uzbekistan,1306615765467004930
Bobby_Maina,b'@AimTerminator Whats your b/e bud?',Uzbekistan,1306615189232590850
RaidOrDie666,b'@A_Flawed_King Let?s just call em Resale Bots',Uzbekistan,1306613507182354433
DuskovaMidnight,b'@pauljholden flower or botany twitter are pretty good. Got some very good laffs from chicken Twitter recently. https://t.co/kDxJTRqC4v',Uzbekistan,1306613485791404033
RaidOrDie666,b'I?ve been a PS player all my childhood up until maybe 2 years ago i made the switch to Xbox cause i had a lot of ho? https://t.co/ssAUzVndYi',Uzbekistan,1306613192584343553
WeerStationOss,b'16:59 temp 20.6?C min 9.5? max 21.1? 1028.3 hPa wind NO 1 Bft max 13.0 km/h rain today 0.0 mm',Uzbekistan,1306608856185872385
DuskovaMidnight,"b'@RdotSpoon Half HABO, but in the 80s, I read a Harlequin about a German translator specializing in engineering. She? https://t.co/zDfjHnZPs5'",Uzbekistan,1306604260587483139
DuskovaMidnight,"b'@michelledhatt @rachsyme Just looked it up. Pottery, tea, handmade paper? I want to go . . . . https://t.co/W5Sf3xUe0V'",Uzbekistan,1306601168672440322
wydkxwii,b'RT @azaultfn: Trio Arena! Waiting For Dreamhack! !TIP #NorCalRC https://t.co/Y5WSz4m6n6',Uzbekistan,1306600987151474690
azaultfn,b'Trio Arena! Waiting For Dreamhack! !TIP #NorCalRC https://t.co/Y5WSz4m6n6',Uzbekistan,1306598461597536256
DuskovaMidnight,"b'@michelledhatt @rachsyme What was your favorite place when you lived there? I took a 3-day Japanese tour, which mea? https://t.co/x7A3CLW9nc'",Uzbekistan,1306598110555066369
eli_9797,b'RT @itsgnarlycj: @DondreGriffin shit it took too long to get there for me!',Uzbekistan,1306596387640029184
OSHairra,b'my boyz winning again ? https://t.co/sWUXqllqaM',Uzbekistan,1306596166977466369
DuskovaMidnight,b'@rachsyme Tokyo for sure. I might still go if my daughter falls ill with this wretched stuff (we live in Japan). Ma? https://t.co/YfAWx16cZd',Uzbekistan,1306595435717386241
WeerStationOss,b'15:59 temp 20.9?C min 9.5? max 21.1? 1028.9 hPa wind NW 1 Bft max 11.3 km/h rain today 0.0 mm',Uzbekistan,1306593756716478467
Makhmudovna1,"b""@Otabekovna6 I'm with you""",Uzbekistan,1306593022633598977
clyzinthdcn_,b'@MikaellaGonse omsim ghorl',Uzbekistan,1306589911206604806
OSHairra,"b'mom, i want him ? https://t.co/zYwCA6nxKX'",Uzbekistan,1306589832013987840
whosehiringbot,"b'RT @azackmatoff: #Facebook is hiring a #Software #Engineer, AI (EMEA), apply now! (#ZurichSwitzerland) #job https://t.co/fP3eYdA6H1 https:/?'",Uzbekistan,1306589712400945152
OSHairra,b'and yes i also ordered the dicon dispatch magazine HEHEHEHEHEHE sehunnie what did u do to me',Uzbekistan,1306589308468432897
OSHairra,b'been a fan since 2013 but not really into them cuz of school ? turned into super super fan girl last 2018-19 and we? https://t.co/IYlIPecn38',Uzbekistan,1306588560737226755
OSHairra,b'XOXO ?? https://t.co/sEh0pqdpEu',Uzbekistan,1306587574366908418
oseee_xoxo,b'RT @itsgnarlycj: @lifeascarlyy @dope_noseller right like it?s obviously a trap. won?t get me. https://t.co/RTVbxEWWQA',Uzbekistan,1306587481135931392
azackmatoff,"b'#Facebook is hiring a #Software #Engineer, AI (EMEA), apply now! (#ZurichSwitzerland) #job https://t.co/fP3eYdA6H1 https://t.co/39eHK0qTp5'",Uzbekistan,1306587178013786112
sarahspooon,b'@Brewers @ChristianYelich @amfam Y?all acting like I didn?t enter the day the sweepstakes opened ... psh ...',Uzbekistan,1306586806817824769
dyoshn,b'sehun and chanyeol supporting each other omg i want that ?',Uzbekistan,1306585606181457922
dyoshn,b'sehun dont be shy flex ur pasha de cartier teaser vid too ???',Uzbekistan,1306585402791178240
