user,text,country,id
Gabriel44397891,"b""@garfieldfan47 @IOInteractive thanks for explaining to me friend i didn't really know. I was even sad because I wan? https://t.co/UJTSEGwhi2""",Mali,1306700454286458886
themanwhocares3,b'RT @DMANS007: I need this shirt so I can wear it when playing Warzone. https://t.co/nJBggkn6KJ',Mali,1306691377208659968
DMANS007,b'I need this shirt so I can wear it when playing Warzone. https://t.co/nJBggkn6KJ',Mali,1306689790784409600
801ahn,b'waking up tomorrow knowing I?ll see nicholas',Mali,1306684510189359112
801ahn,b'@gayseoho Basic white bo',Mali,1306682063257563144
RMiruko,b'You can also get it online through eGazeti app. Download it here\nGoogle Play: https://t.co/ZcNa9rpxP2  \nAppstore :? https://t.co/V7MCr4q9Ko',Mali,1306674866511372290
dongpyosmile,b'RT @801ahn: dongpyo and hyunjin radiating the same energy a thread &lt;3 https://t.co/qCsDy6OLkx',Mali,1306674571421143047
801ahn,b'@kangflrts what is this ?',Mali,1306665365439762432
KirikouTheFirst,b'@godluckmushi1 @Abbymexahnk ??... let me update bio',Mali,1306657989584203778
801ahn,b'@DAUSSIEBOY idk you tell me',Mali,1306651154122715136
801ahn,b'no one is doing it like her https://t.co/J7Savxp50z',Mali,1306650746897788930
801ahn,b'@DAUSSIEBOY i wanted to get into their fansign but if k debuts I?d have to talk to him https://t.co/UKkDGLpdea',Mali,1306649490166820864
801ahn,b'@igbtjay hi new oomf',Mali,1306647979206598659
801ahn,b'@DAUSSIEBOY k pcs.. *scratches head*',Mali,1306647933799018496
801ahn,b'@igbtjay how would you know. ?',Mali,1306647354632740868
801ahn,b'@hee4seung rainism https://t.co/2R2vwc6LpD',Mali,1306647265055043586
801ahn,"b""In case you haven?t noticed, I'm weird. I?m a weirdo. I don't fit in. And I don't want to fit in.""",Mali,1306646577331699712
Gabriel44397891,"b'@IOInteractive Hi, IO Interactive I would like to know how the elusive targets work in the hitman, because I am try? https://t.co/59zi2E0nwm'",Mali,1306644183525064705
801ahn,b'@kangflrts do you have something to say',Mali,1306643133938257921
801ahn,b'me when heeseung https://t.co/YYhKenWXer',Mali,1306642644500713475
801ahn,"b""'SOME' Knetz said that K racism. But, do u aware that you're ALSO RACISM  \nJust bcs he's Japanese and yall hate the? https://t.co/f5vuidnsvb""",Mali,1306636616711237632
801ahn,b'@igbtjay omgggg ot22 debut &lt;3',Mali,1306636114162315269
801ahn,b'chill my gf is on this app https://t.co/nRifYc1ntv',Mali,1306634396238336000
801ahn,"b'@igbtjay hi K, let me help you to promote in tiny ?\n\nTHIS CUTE, KIND, AND SOFT BOY WILL DEBUT, SO VOTE FOR K!? https://t.co/zdMUBQf2Hs'",Mali,1306633840115544065
hyukiIy,b'RT @801ahn: i made them hq https://t.co/Ie8NSEmlW2',Mali,1306633765326782464
skybearwoobin,b'RT @801ahn: i made them hq https://t.co/Ie8NSEmlW2',Mali,1306633111514624001
KirikouTheFirst,b'@Greglong54 ???? secretion of pituitary gland?',Mali,1306619304322961409
vitaminhees,b'RT @801ahn: i made them hq https://t.co/Ie8NSEmlW2',Mali,1306617812778057729
801ahn,b'JUNSEO AND YONGHA ARE MY ULTS NOW. https://t.co/jZA2OiHfoI',Mali,1306614699556048898
801ahn,b'BEST BOYS CRIES https://t.co/GdjJ9z0TSX',Mali,1306611996222259203
801ahn,b'minhee. lockdown. https://t.co/Cll5akW3NO',Mali,1306609334722400260
801ahn,b'i CSNT do this https://t.co/6P54XyQxDg',Mali,1306609265675767812
801ahn,b'will we ever get new minijeu pictures',Mali,1306607020049666049
auraxvity,b'RT @801ahn: i made them hq https://t.co/Ie8NSEmlW2',Mali,1306597620924776448
801ahn,b'anyway seongmin best artist https://t.co/3zImNnkHB4',Mali,1306582733754454016
801ahn,b'i know this is not the only thing seongmin will post omg no https://t.co/3zImNnkHB4',Mali,1306582637910339586
801ahn,b'starship ent posting about yohan the irony https://t.co/3tG8Uc9Q4F',Mali,1306580448714387457
allureyoungtae,b'RT @801ahn: i made them hq https://t.co/Ie8NSEmlW2',Mali,1306578895441817600
801ahn,b'someone just said stream back door in the iland cam live chat and I thought they were talking about a place in iland',Mali,1306577003420815360
801ahn,b'best boy ever https://t.co/GvbncQn7RM',Mali,1306574813985673219
801ahn,b'HE LOOKS SO CUTE https://t.co/zwZcGU5urp',Mali,1306571706937602050
801ahn,b'ALREADY MINHEE VIRTHDAY VIDEO',Mali,1306571369354792960
801ahn,b'ok King https://t.co/yZLlcPkHbZ',Mali,1306566637919797251
801ahn,b'im crying',Mali,1306566035169050630
801ahn,b'JELLOO WHY DIDNT I SEE THIW https://t.co/GyxSG6jayO',Mali,1306565227165765637
801ahn,b'UMM WHAT https://t.co/hbztnR70lp',Mali,1306565158349799424
801ahn,b'his smile ?? https://t.co/hD2S1pFZDL',Mali,1306558403624554500
801ahn,b'my cravity fankit probably should?ve arrived today but my parents aren?t at home so I won?t get it today ig ? https://t.co/xg6JruLMAL',Mali,1306553168680153100
801ahn,b'i know serim told minhee like 10 times already today https://t.co/H05vDjyn44',Mali,1306553023611785217
m1nthee,b'RT @801ahn: i made them hq https://t.co/Ie8NSEmlW2',Mali,1306548640765243392
itsmewillotski,b'RT @801ahn: i made them hq https://t.co/Ie8NSEmlW2',Mali,1306546295704674310
bhndbrs,b'RT @801ahn: i made them hq https://t.co/Ie8NSEmlW2',Mali,1306539545710727169
Chezcamarie_,b'RT @801ahn: i made them hq https://t.co/Ie8NSEmlW2',Mali,1306533045122392068
oneit_wooseok,b'RT @801ahn: i made them hq https://t.co/Ie8NSEmlW2',Mali,1306516716164325378
