user,text,country,id
saadarhmoh,b'RT @IsaMoses8: Aswear!',Netherlands,1306715492627943427
SeseSalvatore,b'RT @sbrnxssima: the best glow up you could ever see https://t.co/9svjbYEXd3',Netherlands,1306715419504500738
YvetteG_Music,b'@MaryxSSS Sis me any other week is like this https://t.co/gR3jbbcJKZ',Netherlands,1306715341784068100
wschrover,b'@OffGuardian0 Click on the url and receive a warning from Twitter. Creepy! https://t.co/dIkCd5ohLN',Netherlands,1306715316651724802
WhyHelloRenato,b'#IMissTheWay \nWe party...',Netherlands,1306715263312760833
_estherlena,"b""@89LittleMonster Hihihi... hmmm, don't know if that's possible, with the plan I have for than in my thought  ??""",Netherlands,1306715155879923712
Ricquert,"b""@KALS_Kingdom Try this one if you're feeling suicidal:\nhttps://t.co/wqNvP58G0V""",Netherlands,1306715095838396420
PeterBos_LSC,"b'RT @realBertBlocken: Note: this is for calm weather (no strong wind) and for 6 identical riders, riding in one single perfect line at dista?'",Netherlands,1306715086438961153
Steiner72,b'@hetisemma Succes!!',Netherlands,1306715068139220999
StaudtMax,"b'@Grandm_Anon @molmccann @JeanneLoberg Great point: there is indeed such a thing as ""lying well"". Same thing over he? https://t.co/Hbvzy8k7nA'",Netherlands,1306715054398636032
P2000013,b'A1 Tilburg rit: 145108 eh: 20146 https://t.co/V6D5wuW2VS #p2000',Netherlands,1306715042470154247
PaulCaddIck128,b'RT @Bertieschip: Nigel Mansell..Williams FW14B active suspension????...Spa 1992???? https://t.co/oI46UQHGBg',Netherlands,1306714966695833602
patstourflits,b'Bromance ???? https://t.co/x56NkCh4NT',Netherlands,1306714940921851912
THEpeleides,b'@zahrazayerr I?m waiting for an hr now',Netherlands,1306714906276888582
PeJeNic,b'@HebaTNa98 The Netherlands',Netherlands,1306714780636516352
NewDawn9Ja,"b'@kingysly_01 I closed all my accounts, it?s not worth it'",Netherlands,1306714770012282881
YvetteG_Music,b'@MaryxSSS I really said lemme do the mostest on my holiday so I can recover guilt free https://t.co/ryXUVO8OLQ',Netherlands,1306714514214313990
Italibaso,b'@sbarra_anthony CMC: AW YEAH!! https://t.co/lJS8HgKhVp',Netherlands,1306714494404616193
