user,text,country,id
Adlina_msbz,b'Awake at around 4 and cannot go back to sleep until now haha',Malaysia,1306710992433291264
falutfyaaa,b'@abehtidur goodluck',Malaysia,1306710947361222656
breyonceeeeeee,b'RT @toohighsidity: @breyonceeeeeee They Some Liars ???',Malaysia,1306710853878767616
SyafinahYusoff,b'Bella is missing again..damn damn',Malaysia,1306710843392892928
anistronomy,b'RT @AliffMzmml: Before &amp; After gitu https://t.co/nvur0gvKI8',Malaysia,1306710827316043777
bruceyeoh2017,"b'#IARTG #newadult #romance\n\n""When a corporate executive receives an unusual invitation from a coworker to attend a t? https://t.co/ykk4MC4yW2'",Malaysia,1306710783506575360
toohighsidity,b'@breyonceeeeeee They Some Liars ???',Malaysia,1306710641772818432
ajazminraini06,b'RT @ammarienabila: Rt this and I?ll follow you !Makesure followback ! also drop la ur link ig ?',Malaysia,1306710615575031808
BruceAllsman,"b'#IARTG #newadult #romance\n\n""When a corporate executive receives an unusual invitation from a coworker to attend a t? https://t.co/RMSm14nQTc'",Malaysia,1306710391309778945
ziqahconan,b'RT @ammarienabila: Rt this and I?ll follow you !Makesure followback ! also drop la ur link ig ?',Malaysia,1306709810876837888
fieeeeeee_,"b'RT @Rusydi_RL: ""It\'s crazy how you can go months or years without talking to someone but they still cross your mind everyday.""'",Malaysia,1306708295978164224
shahirahmohdnor,"b""Things just don't go my way""",Malaysia,1306707410757677058
rusdierahim,b'@kamm_lester love you! ??',Malaysia,1306707296907534336
rusdierahim,b'it?s okay to admit that you made mistakes and you are trying to learn from it.',Malaysia,1306707138023100416
muhaiminhazmi,"b""It's September 18, 2020 at 05:30AM . Today is a great day.""",Malaysia,1306707116204457985
rusdierahim,"b'Okay, why suddenly hot dudes on my Instagram explore page... I know I?m single.. but damnnn ??'",Malaysia,1306706654319185920
zwnyanis,b'I need vampire from vampire diaries to compel me and take away my memories',Malaysia,1306706226852495360
bobateawitch,b'This is fking dumb i cant',Malaysia,1306706104022261760
PaulHammond51,"b""@doug_ellison Mars probed again! Rover's robotic arm vaporised! ;)""",Malaysia,1306705672432619520
iNewsGuyana,b'US Secretary of State Mike Pompeo arrived in Guyana just after 17:00hrs on Thursday at the Cheddi Jagan Internation? https://t.co/KjmcymAjAB',Malaysia,1306705257892896769
ng_ang_a94,"b'RT @josagana: Tanzania ,Uganda and Rwanda combining their stock exchanges into a single market days after Tz &amp; UG signed an oil pipeline de?'",Malaysia,1306705257167233024
