user,text,country,id
queenREIslays,"b""RT @MGranelleV: If Mapple is really the endgame, will it not bother you that once in Josiah's life, he got extremely and unconsciously attr?""",Philippines,1306715487078813697
tjoeleahn,b'@jcarliings Salamat playstore',Philippines,1306715190881210368
ruegb,b'wait lang im not ready',Philippines,1306714928653283333
Blaster51076912,b'I I T \nR A VELLLLL TYm SPAC E!\nTRAVEL FOODS CARS TRAVEL NEW YORK NEW...........OH OH!\nPANINAROOOHHHHHHHHHHHHHHHHHHH? https://t.co/EmbQtBy9aZ',Philippines,1306714740098506758
Blaster51076912,"b'FUTURE VEHICLE AIR WATER OR OR OR...........\nIs a Text ""FHD"".\nBorn in TOTAL WATER. https://t.co/qy2EHuJMZj'",Philippines,1306714376343375880
LalangQ,"b'Brace yourselves, Ellie Goulding is recording new music again'",Philippines,1306713591727321089
imchengy,b'i wanna be rich asap',Philippines,1306713476329402369
SandoyAndre,b'RT @Khisiaaa: what our parents think when we are in school vs. what we are doing in school. part1. https://t.co/TORW3HTCYP',Philippines,1306712295410597889
oohyanna_,b'Cute. #THEFIRSTSTEP_CHAPTERTWO',Philippines,1306711482122420224
Itsme_zay,b'erset na charger',Philippines,1306711325179916293
belliiexxx,b'hope u too are happy now :))',Philippines,1306710564031270912
_youbobo,"b""RT @MGranelleV: If Mapple is really the endgame, will it not bother you that once in Josiah's life, he got extremely and unconsciously attr?""",Philippines,1306710394942103553
_byangzz,b'godbless sa exam later??',Philippines,1306708615626027008
Rlphbrgs11,"b""I'm still useless after all?""",Philippines,1306707789960458240
Blaster51076912,"b'@ChineseEmbinUS ALL THIS ""MOSSAD""...'",Philippines,1306706445614882821
IDreamAzathoth,"b""@DanaTerrace You should check out Jason Stanley's book on fascism. \n\nThere's literally a chapter on the creation of a mythic past.""",Philippines,1306706180555845632
ejpborja,"b""Come join my Squad, Let us face off against the world's best MOBA players together!\nhttps://t.co/0g47IhdX7L https://t.co/tiGhXUOpnn""",Philippines,1306706051958337536
Blaster51076912,"b'The Little Idiot Bermuda Will Take,now is 140mph Teddy, a VOMIT TO ""ERASE ALL CITIZENS"" FOR EVER in this Isle..'",Philippines,1306704158712619008
mohammadala33,b'@MohannadJ48 Come join the murder',Philippines,1306703879426449411
GIOHAODOLIENTE,"b""Come join my Squad, Let us face off against the world's best MOBA players together!\nhttps://t.co/2iBg8z6abZ https://t.co/cj4I1csczF""",Philippines,1306703604900749312
jsphrencio,"b""Hope that one it'll come true ?""",Philippines,1306701611469697024
kimjaneseven,"b""RT @Bunny_Wonie04: You'll always be the apple of my eye Yang Jungwon. \n\n#ILAND \n#IPOLAROID_CHALLENGE \n@mnetiland https://t.co/KAZBL3nY3j""",Philippines,1306701016893513729
jsphrencio,"b'@CongOfficial_ @jamiIIPH Username: @jsphrencio \nFriends: @Geeel_knowzxcs @ellesldv \n\nTry po, hopefully ? https://t.co/AGjcAwAirI'",Philippines,1306700926648946688
Blaster51076912,b'Simon Wiesenthal and Mossad not stop BRB!\nVIMEO????O\nWUA!\nNEGRO JEOHWA!\n\nLuRamses II nYXXX A PANHTEON!AZTEC\nPAREYDO? https://t.co/cbNipfRFYX',Philippines,1306700700483756032
IDreamAzathoth,b'@Chinchillazllla Politely disagree with the Machine',Philippines,1306697870159028226
skylofyizhere,"b'homelander, disabling an already disabled person?'",Philippines,1306697167520690176
QuinnDyanika,b'I love you so much?? https://t.co/AhAxLdni8R',Philippines,1306695881530380292
wakoyusernameoy,b'RT @ferrer_march: UNHEALTY LIFE?',Philippines,1306695270999023616
Rheyyaah,b'Openning na jud o',Philippines,1306694643166240773
ashmamiii,b'do u know u r the one i call when im drunk?',Philippines,1306692989637419008
aiahflorence,"b""5am I'm coming""",Philippines,1306692736171479041
BaraseJ,b'thank you G.? your will be done!',Philippines,1306690464532234240
BaraseJ,b'thank you boo!?',Philippines,1306690307598069760
rechmon_c,"b""Some people addicted to pain. They need to suffer until they can't take it , and that's when they finally admit that they are being foolish.""",Philippines,1306687308612075520
snookijumilla_,b'only memories after all',Philippines,1306687142072954880
rechmon_c,"b'Look, soo serious.??? https://t.co/V2mKjTk15q'",Philippines,1306686648663511040
raiisanity,b'I lab me hehe ?? https://t.co/nLKsK7R7wJ',Philippines,1306686616786747392
Blaster51076912,"b'I consider police move ass only when ""JEWS"" receive an aggression. SO ALL IS PERMITTED!JOAAAAAAAAAAAAAA!\nEH!\nTHESE? https://t.co/FW8gKQSRpn'",Philippines,1306683962862034948
Rxnnndln,"b""They don't know, I do this for a trap. Sorry jst syng ?""",Philippines,1306682640142012417
CiarliumII,b'Goodmorninggggg!!!!!',Philippines,1306682330946265088
kccexhale,"b""RT @lovsscarpenter: ???'?? ?????? ???? ?? ?????\n https://t.co/YZglI5KGxs""",Philippines,1306681817697841152
Nheng128,b'@Paula_White Hope i can receive this. I tried but the telephone required coz I am here in Philippines.Thank you.God bless.',Philippines,1306681303786426368
aakenn,"b'Wow ? people may see him ?bugoy? but to me, he has very deep thoughts, joke2 lang siya murag clown but that?s how h? https://t.co/cXUyIUkwvK'",Philippines,1306681094360543233
Blaster51076912,b'ALL THIS FLAG........................',Philippines,1306680989473820672
leeeeiiiiiann,"b'RT @tyronetiaga01: Looking right because you lift..you leaf..basta umalis, yawa. https://t.co/b6xnYpttDz'",Philippines,1306680798666342400
aspilla_may,b'Can?t sleep ??',Philippines,1306680796741136384
Blaster51076912,"b'SEEMS LAWS are not applied by POLICE ITALIANS!\nI WRITE HERE ""HAVETORTURED one kid cat 3 minths and MOTHER"".\nAND NO? https://t.co/MU8W82RrIv'",Philippines,1306680789233532929
Rxnnndln,"b'Ga pangayo ko og pabor sa akuang mga barkada but some of them ignore me, not because I really need their help but b? https://t.co/RQDO5IbAgd'",Philippines,1306680543023566848
Blaster51076912,"b'FEAR SHOW ASTELLA IN ALL MEDIA "" ASTELLA THE PAREYDOLYA, tortured cats ""????for adv me????\nI CAN CONTINUE SO!\nBUT JEWS WILL BE THE PRIORITY.'",Philippines,1306680096531656705
Blaster51076912,"b'@Pontifex I have tortured my 2 cats,and killed.For only they ""MIAWLLL"".\nNEXT IS JEWS.'",Philippines,1306679681723363335
720_529,"b'RT @BenParris04: #BREAKING:\n\nAfter the conclusion of a special session, the @CHSAA board has voted to have a fall football, field hockey, a?'",Philippines,1306679082688577539
Blaster51076912,b'I have killed the 2 cats.WIth poison.\nSURE JEWS I WILL HELL !MORE.\nAHAHHAHAHAHAHHAHA!',Philippines,1306679082508333056
reivlndo,"b""RT @MGranelleV: If Mapple is really the endgame, will it not bother you that once in Josiah's life, he got extremely and unconsciously attr?""",Philippines,1306678129453346818
dameshaenne,b't?was just a nightmare ???',Philippines,1306678027871346688
Blaster51076912,b'@realDonaldTrump PLS ADVISE.MOSSAD.OR IDO FOR YOU?\nANTISEMITE TORTURE HEAVY I WILL APPLY.I PROMISE.',Philippines,1306678021403873280
lovsscarpenter,b'@PortalTracklist Heaven &amp; Hell??',Philippines,1306677992287023104
jeran_san,b'I feel like shit : &gt;&gt;',Philippines,1306677166864621568
ewsugars,"b""it's currently 3:49 AM and here I am, can't sleep and doing my assignments?""",Philippines,1306677126456721409
RatchetThreese,b'@Xbox No problem just don?t fuck this up with a crappy Halo or Fable game',Philippines,1306677071951933441
shaineyap,b'@barriossssmaria imissyou ????',Philippines,1306677069141606400
johojie13,b'Back to Voting ?\n@BLACKPINK @ygofficialblink https://t.co/RATVkiFGZ1',Philippines,1306676438527913984
StaabLuke,"b'RT @BenParris04: #BREAKING:\n\nAfter the conclusion of a special session, the @CHSAA board has voted to have a fall football, field hockey, a?'",Philippines,1306674871296954368
aibebbyatot,b'Goodmorning?',Philippines,1306674172744011777
