user,text,country,id
KirstiMiller30,b'Brothers in ???? https://t.co/Owd0MwpTkp',Zambia,1306726342356996101
KirstiMiller30,b'Our babies packing their toys away?? https://t.co/uLq0Es8QKl',Zambia,1306723525332328448
Mwizalubinda,b'@MarthaTeee It made me so emotional',Zambia,1306723232549154816
Mwizalubinda,b'@heart_doctor15 @Detroit1302 Hmmm exe who was first?',Zambia,1306722348687646721
Mwizalubinda,b'#mpali is so real ?everything is so perfect .\n#zuba should give that 30 minutes to mpali we need more.',Zambia,1306722245973348352
Mwizalubinda,b'@Detroit1302 @heart_doctor15 I do very well ?????she won actually',Zambia,1306721361876922368
WhteRbbnAdvocat,b'RT @BlackDouglas: U.S. govt-linked PR firm ran fake news networks for right-wing Latin American regimes | The Grayzone https://t.co/HmrkZ4e?',Zambia,1306720101572382720
KirstiMiller30,b'@WestCoastEagles Great shot Liam but not as good as the one JK Kicked from the other side of the fence a year or so ago.',Zambia,1306716503249567744
yarramanbully,b'RT @BlackDouglas: United States: Trump shifts blame for catastrophic fires | Green Left https://t.co/7R2vhJQpPh',Zambia,1306715461283766272
yarramanbully,"b'RT @BlackDouglas: Amid deepening climate crisis, Morrison?s gas push ?reckless? in the extreme | Green Left https://t.co/m1g6w2g3Dz'",Zambia,1306714894541103104
yarramanbully,"b'RT @BlackDouglas: Marx, humanity and the rift in nature | Green Left https://t.co/5Qh6UO3zb5'",Zambia,1306714031613382657
kerrymcnasty,"b'RT @KirstiMiller30: @kerrymcnasty With every pile-on against a celebrity transphobe it helps, give prominence to their transphobic views an?'",Zambia,1306710937328443392
LathamNorm,b'RT @KirstiMiller30: No young person and or athlete should ever have to prove their identity or change their bodies for anyone to play sport?',Zambia,1306710931552915456
BlackDouglas,"b'Marx, humanity and the rift in nature | Green Left https://t.co/5Qh6UO3zb5'",Zambia,1306710862313320448
BlackDouglas,b'United States: Trump shifts blame for catastrophic fires | Green Left https://t.co/7R2vhJQpPh',Zambia,1306710624697679874
BlackDouglas,"b'Amid deepening climate crisis, Morrison?s gas push ?reckless? in the extreme | Green Left https://t.co/m1g6w2g3Dz'",Zambia,1306710405570387973
BlackDouglas,b'THE STATE SANCTIONED UK-AUSTRALIA TORTURE OF JULIAN ASSANGE FOR REVEALING US WAR CRIMES MUST STOP!\nJulian Assange?s? https://t.co/GfUxaioYoI',Zambia,1306710118004740096
Mwizalubinda,b'@Detroit1302 @heart_doctor15 Okay exe you?re childish ???????????????I?m dead',Zambia,1306709596552065024
BlackDouglas,"b""No, the UN did not report China has 'massive internment camps' for Uighur Muslims | The Grayzone https://t.co/9XOBXfVxCl""",Zambia,1306709529640366080
only2beyourself,"b'RT @BlackDouglas: As Assange extradition hearing resumes, the future of a free press is on trial | The Grayzone https://t.co/bEuInyal4H'",Zambia,1306709488758484992
adayarnia,b'RT @KirstiMiller30: No young person and or athlete should ever have to prove their identity or change their bodies for anyone to play sport?',Zambia,1306709204535828481
