user,text,country,id
mlpbuttons,b'RT @kaykat666: Lucifer was alone for thousands of years in Hell. Netflix really gonna make him be alone here too? ? #Lucifer',Luxembourg,1306711004252966912
knolinfos,"b'@JohnRConstable I did, thanks John!'",Luxembourg,1306710850246455296
detdouchifer,b'@angelssdecker obrigadaaa?\ncall me devil - friends in tokyo',Luxembourg,1306710837965529088
AislinnTLawson,b'7. nope',Luxembourg,1306710726527115265
m21r08,b'who lied to her https://t.co/4TdrnLOm9u',Luxembourg,1306710523459907584
___lena96___,b'@Yonana_12 @szindirella_cs @wooleyduck Damn I forgot to listen to it https://t.co/ToVGTQdTQ9',Luxembourg,1306710498583478273
eluxmusic,"b""@chunvn8888 Hopefully it's in the note 21. ?\nI hate the punsh hole/notch design.""",Luxembourg,1306710362209779718
FuguFat,"b'RT @BodoMdB: WHAT IF I SAY, \nI?M NOT LIKE THE OTHERS?\nWHAT IF I SAY,\nIM NOT LIKE THE OTHER ONES,\nIN YOUR PLAY,\nAND YOU?RE THE PRETENDER,\nWH?'",Luxembourg,1306710333248110600
ChasOlv,b'@djawed21331 @ActuFoot_ Pleure',Luxembourg,1306710245658460163
BodoMdB,b'@La_Toddi85 YEAH WHO ARE YOU?',Luxembourg,1306710202645909511
fonollosaheart,b'@fallaciovsness t a s t e ?',Luxembourg,1306710149562802176
linahedo,"b""I'm going back to uni next week???? it feels like it's been ages""",Luxembourg,1306710110207705088
Colatifaa,b'Younes Bendjima ?',Luxembourg,1306709942850777088
AislinnTLawson,b'4. Brun',Luxembourg,1306709761979748352
fonollosaheart,b'@fallaciovsness ?unsteady? ?',Luxembourg,1306709733198434304
tobisonics,"b""RT @tobisonics: I'm a sucker for a good cover song ?\n\n2hrs of well-known songs performed by independent artists ??\n\nft. @Bully \n@SamuelJack?""",Luxembourg,1306709666706132992
NicElroy,"b'@Ienscap Weirdly, The Ricky Gervais Show'",Luxembourg,1306709620606590977
noodleyah,b'@miyeonwithshu @Buttersky707 @G_I_DLE Miyeon literally toured Canada with Seulong and Urban Zakapa two years before? https://t.co/Fg8v8Iyhwr',Luxembourg,1306709597382758403
omar91710814,b'@appleheadkingg Dangerous idk why?',Luxembourg,1306709596648734724
masteredbytobi,"b""RT @tobisonics: I'm a sucker for a good cover song ?\n\n2hrs of well-known songs performed by independent artists ??\n\nft. @FiremaidMusic &amp; @L?""",Luxembourg,1306709571361222658
Omar_Gad_,b'@Mahyabdelrazek Pre breakfast',Luxembourg,1306709560921653248
alujohnlock,b'?????????????????????god and charlie??????????????????????\n\n#LuciferSeason5part2',Luxembourg,1306709439462940672
