user,text,country,id
OSKM_Fingers,b'RT @gyaigyimii: Cartoons  by @jessy_shanti. Hit her up for yours ?????Idey bee https://t.co/q4L0WmfDNz',Ghana,1306703835583385600
Mariey_x,b'?????these two https://t.co/WpKCkur6S3',Ghana,1306703831439417346
african_pantha,b'@vibes__N Eating will still go down ?',Ghana,1306703828771893249
CocoaPharmacist,b'RT @yencomgh: D Black to release new track with Nina Richie #NothingOnMe ?????? https://t.co/q06NgUs1Rx',Ghana,1306703828415385602
zukoloveclub,b'Listen it?s the thought that counts ok https://t.co/GaK50hVyNj',Ghana,1306703825957519360
AlifoSeth,b'Hear and follow Alifo Music on #SoundCloud https://t.co/ynBy5N64s1',Ghana,1306703824116121603
am_pending,b'Drop a line from any D Black song \n\ni wan see something?',Ghana,1306703821972951041
Mensaa23,"b""@sephy_oo Oh I get he might not be the best character but I've never liked him for that. It's his rap that matters.""",Ghana,1306703821452783616
ab___ena,b'RT @Opresii: Why are people in my DM asking for D Black en video? I be video director give D Black anaa??',Ghana,1306703820332949512
luielle,b'RT @GUAPO_4L: @DBLACKGH @trace_ghana @NinaRicchie good afternoon bro. https://t.co/vewdBpd6B7',Ghana,1306703816545447943
Oooh_Teee,b'@larrygaisie I didn?t like it at first but he?s already accustomed to the league and at a very good age for us. He? https://t.co/xDW4SZgSmN',Ghana,1306703816478388224
madakraaa,b'RT @ankamemaame: Street Boy nso me girl y3 Dadabee? https://t.co/7DttoJW0YH',Ghana,1306703815610183681
papayaw_skinny,b'RT @brahnana10: The love I have for my imaginary girlfriend is beyond amazing ??',Ghana,1306703815371116546
abeka_baron,b'RT @gyaigyimii: If you are a professional barber  based in Kumasi text +971563089052 on WhatsApp. He needs someone  for his  barbershop at?',Ghana,1306703814955851783
GodwillSark,b'RT @gyaigyimii: Malang Sarr. Imagine pairing this guy Zouma or Thiago Silva. https://t.co/023V4f0cDG',Ghana,1306703812313391105
Jnr_Morgan1,b'@QuasiBurnerx Top notch vibe',Ghana,1306703810237267970
KwekuBaah_,b'We have a Minister for monitoring and evaluation. Nice',Ghana,1306703808970600448
close_range_,"b""RT @RescueMission16: You're an Okada rider &amp; spokesperson for an illegal association. What do u say abt that? Umaru Sanda\nSolomon Akpanaba:?""",Ghana,1306703808148451328
micsdoor,"b'RT @ViralVideoGhana: Chaii, life no balance at all ??. Dr UN on the dance floor ?\n\nDr. UN | D Black | Manchester United | Medikal | leak |?'",Ghana,1306703806957268993
GreyFynn,"b'RT @GermanAmbGhana: Handing over of 8 bed intensive care unit at Sekondi-Takoradi Regional Hospital today by ?@giz_ghana? , funded by ?? Go?'",Ghana,1306703806814711815
kwophy,b'@Mr_Swrites Shiphauzz. Close to usher Fort',Ghana,1306703799231406081
HopeKeteni,b'RT @icgcworldwide: God can turn your mess into a message.',Ghana,1306703798216339456
close_range_,"b""RT @slytlyusevirgin: Umaru Sanda to Okada Rep:\nYou're an Okada rider and a spokesperson for an illegal association. What do u say abt that??""",Ghana,1306703797729857536
naa__ayorkorr,b'Oya Let?s carry it',Ghana,1306703797247451138
yawjunior_,b'Loop on ??? https://t.co/mtQ5rnaClA',Ghana,1306703795586564101
daddys_onlyson,b'RT @osgoodpaekid: Abeg rt gv my Chairman mk he change d shoes small ? https://t.co/1Kzpfeu5QE',Ghana,1306703794139549698
Dont_Be__Lazy,b'RT @fucceverybody_: The whole world ebi this guy???',Ghana,1306703793959186432
_gyesi,b'RT @osgoodpaekid: Abeg rt gv my Chairman mk he change d shoes small ?',Ghana,1306703786895958018
gyaegyimiino,b'RT @brahnana10: The love I have for my imaginary girlfriend is beyond amazing ??',Ghana,1306703785893519360
RealHitz360,b'Kelvyn Boy ? Mata (Prod. by?Samsney) https://t.co/LdABGOVyNx',Ghana,1306703784501039105
AbdulwadudMoh15,b'@elchico_negro Wow. Easy dear?',Ghana,1306703784345731073
