user,text,country,id
Tha_Heisenberg,b'Sorry https://t.co/bYmJOaFwjE',Malawi,1306711017125273600
game_nkumaka,"b""The nonsense I will never support in my life time. As far as I'm concerned, no local language qualifies to be used? https://t.co/8wYB3T2Nhn""",Malawi,1306710295981817856
YohTrad,"b""@slimyfoil I don't think so https://t.co/2dJupqA8Rp""",Malawi,1306709466218467329
Emmanuel77M,b'@mizzesie Bless me with the ps5?',Malawi,1306709266976378880
ManFromHewe,b'Can someone tell MHC that this is also possible hiyeee! https://t.co/HmqodZAE9g',Malawi,1306709137628295169
tierney_tyre,"b""@ShamieFella @chrissy8patrick Need any drumming done I'll do it free of charge mate""",Malawi,1306708910833893382
tierney_tyre,"b""@PaulGall67 Maaaaaaaaate!!!!!!!! That's phenomenal""",Malawi,1306708654570319878
tierney_tyre,"b""@John86592290 Aye we're no swapping Johnny bhoy. I'll stay here""",Malawi,1306708349115867143
tierney_tyre,b'@PaulGall67 So your grandfather drove the lorry?!!!!!!!!!',Malawi,1306708228005388289
tierney_tyre,b'@PaulGall67 Well in from your mum. ????',Malawi,1306707502055198720
PatrijrMw,b'Listen to Toxic Positivity Part 2 by Unfiltered Conversations: The Podcast on #SoundCloud\nhttps://t.co/ZEmUx9P8VS? https://t.co/viHFBZG7Mv',Malawi,1306707478403600385
tierney_tyre,b'@MurphFox007 I need doon the road pronto ?',Malawi,1306707359918698497
tierney_tyre,"b""@MurphFox007 Aka I'm in some nick from bubbling ?????""",Malawi,1306706966899818496
tierney_tyre,b'@AutumnQueen88 Just the impact he had on so many people. A beautiful soul x',Malawi,1306706862474223616
tierney_tyre,"b""@PaulGall67 Same mate. Wee Jimmys was special but I know what you mean about Tommy's. Can explain it but I know what you mean""",Malawi,1306706686753869836
I_Am_Artanis,b'@spicy_ru @tutsirai_ @koreia24 Yeah please????',Malawi,1306706600716054530
VictorMatoga265,b'Boyfriend accused her of cheating so she cheated with doogy XL.... TF ?',Malawi,1306706467022606336
NhiaLove95,"b'RT @PempheroMphande: Sin is equal in the eyes of God. Which would mean sex before marriage is the equivalence of killing. Therefore, if you?'",Malawi,1306706411557191680
Wakusalala_Tina,b'Burner account? @BlaackFlamingo https://t.co/5DPlNumAYD',Malawi,1306706383279140864
tierney_tyre,b'In my shitty digs in Dingwall and flicking the channels. BBC Alba Tommy Burns documentary.\nCurrently sitting in my? https://t.co/k7rym2UUUM',Malawi,1306705533190189056
Wakusalala_Tina,b'I have a whole conversation with my dog??? https://t.co/fmWVC1Uapu',Malawi,1306705169468588032
masasa_david,b'Get what u ask for ... STITCHES Designs and Tailoring. 0881215153 https://t.co/H7ZZA3Wgjb',Malawi,1306705027801714691
VictorMatoga265,b'If you wanna see her naked just say that?',Malawi,1306704764638564352
Wakusalala_Tina,b'@itsShazzi Night made?????',Malawi,1306704674351972354
AlipoAndrewsII,b'@CeciliaBamus Now this being a good follower??',Malawi,1306704495552987137
SalomeKabanda,b'Just  live your own life  basi \n\n.Thank me later',Malawi,1306704316477124609
Wakusalala_Tina,b'@Covenant_one What an odd job?',Malawi,1306704234554052609
M_showz,b'RT @Emmanuel77M: There are two types of girlfriends?? https://t.co/6QY2fuG8Aw',Malawi,1306704194846502913
PamMaids,b'RT @Emmanuel77M: There are two types of girlfriends?? https://t.co/6QY2fuG8Aw',Malawi,1306704158997835781
Farz_16,b'@cardboardmouth Okay ??',Malawi,1306703021641019394
Farz_16,b'@cardboardmouth ????? ask me nicely and I?ll unlike',Malawi,1306702757957689344
Macheda_Jeffrey,b'RT @I_Am_Artanis: Nope. @lordtsanzo still did it better',Malawi,1306702445737844736
Will_Zoto,b'Is it not weird that media is giving all men space to discuss something which primarily affects women? @bnltimes https://t.co/MUFxldMtQE',Malawi,1306702145731919873
Prynciee,b'RT @I_Am_Artanis: Nope. @lordtsanzo still did it better',Malawi,1306701801438302214
Peachy01Peaches,b'@Ebuka Ozone is the content',Malawi,1306701575705030658
VictorMatoga265,"b""Being a pussy to animals won't make yours any tit.""",Malawi,1306701301263339521
KwachaBILL,b'@1801Bird @A_jofule Smart answer ??',Malawi,1306700877781229569
shes_thembeka,"b""It sickens me that men won't just shut up and listen, or maybe just read. \nThey want to discuss things that don't c? https://t.co/BQ5755Diq0""",Malawi,1306700386598821889
charitykeisha_k,b'RT @NationOnlineMw: Concerned parents and guardians have penned Ministry of Education to intervene in what they call poor governance at Bis?',Malawi,1306700191978983424
KwachaBILL,b'Mulan is a Good Movie ??',Malawi,1306700092645281794
WKainja,"b'RT @PempheroMphande: Seven months together and today is her birthday. I had planned a birthday dinner. She said, babe instead of the dinner?'",Malawi,1306699834565554181
Charlozaman,b'RT @Engolah: Tomorrow at 10am @GwambaOfficial coming with the heat with @MlindoRSA ???? https://t.co/AKR497NhFh',Malawi,1306699780052201476
dmakuwila,"b""This wasn't well thought out tbh https://t.co/2CSjR4ZH6w""",Malawi,1306699255042707456
Mtisunge265,b'@IamBlackMyth Ah you said it?s a long process Koma zitha kutheka',Malawi,1306699235744768004
Kukwithu,"b'RT @AlipoAndrewsII: Ladies, got these silk and velvet nighties readily available in size L to XXXL. K12,000 only a set. \n\nMK30,000 for the?'",Malawi,1306699182980444160
shes_thembeka,"b""This bill we'll save lives. \nIt's not about sin but health care.""",Malawi,1306699050557804549
shes_thembeka,"b""This bill is about the woman who might die if she keeps the baby\nIt's about the 12-year-old who's father raped her? https://t.co/z8QpI8XP6Z""",Malawi,1306699047412129795
shes_thembeka,"b""This isn't about your moral high horse\n\nThis is about the 70,000 + women that have had and will have  an abortion t? https://t.co/dmO035ri8W""",Malawi,1306699038180466689
shes_thembeka,b'I didnt want to participate in the abortion debate because I get a tad bit too emotional.\n\nBut I want to say this? https://t.co/Ne8X5F5kld',Malawi,1306699034401402882
Purpose_Ranking,b'Never lose yourself trying to get someone',Malawi,1306698812723998721
Twiggalite,b'@AnkoRaph Lol...not so smart',Malawi,1306698488806281219
KwachaBILL,b'@FabrizioRomano when are we going to here about  @ManUtd news? Aah',Malawi,1306698400256143360
I_Am_Artanis,"b""So @LFC really isn't going to #AnnounceThiago today?????""",Malawi,1306698378198347779
ClutchGuy__,b'RT @NationOnlineMw: Covid-19 daily update\n#COVID19 #Coronavirus #CoronaVirusInMalawi #NationOnline https://t.co/9ns699bklr',Malawi,1306698318593036288
ElectronicsMnex,b'RT @jesseemana: time to sell my kidney??',Malawi,1306698210191253505
unfilteredmw,b'New Episode Alert ? \n\nStream episode 4 of @unfilteredmw on SoundCloud https://t.co/vUU05LcEMA or wherever you get y? https://t.co/4kRBUzr6uU',Malawi,1306698079945601025
Datpinkie_Gama,"b'RT @AlipoAndrewsII: Ladies, got these silk and velvet nighties readily available in size L to XXXL. K12,000 only a set. \n\nMK30,000 for the?'",Malawi,1306698056050540550
I_Am_Artanis,b'@tutsirai_ @koreia24 @spicy_ru Smh not you too????',Malawi,1306698037926875136
Mtisunge265,"b'@IamBlackMyth ????this, this just this'",Malawi,1306697819269423104
michael_mh1,b'Chadwick.. https://t.co/Txlrsq9qCu',Malawi,1306697758116655104
masasa_david,b'She is probably one of the fastest growing designer and tailor. She just allows her action to speak for her. \n\nCont? https://t.co/82cFZLbYON',Malawi,1306697636477628422
Charlozaman,b'Very Very Important ? https://t.co/Ccd2xHQ9tk',Malawi,1306697140626915331
VictorMatoga265,"b'RT @Qwazylindie: The ""wait what"" was exactly my reaction after reading the last part??????? https://t.co/ITQmD7XOou'",Malawi,1306696922359570433
jesseemana,"b""@TNtengula @ElectronicsMnex muyembekeze some where around 600k but i hope they'll have better offers ?""",Malawi,1306696915808026624
ZweliBanda,"b""RT @I_Am_Artanis: Before you approach me just know that I'm an 8""",Malawi,1306696911819362304
Mtisunge265,b'@zeellincoln It?s too small?',Malawi,1306696891648876545
Mtisunge265,b'?????I deserve a payment https://t.co/bQqsv99aaV',Malawi,1306696816113733637
jesseemana,b'time to sell my kidney?? https://t.co/7tmvuYekUH',Malawi,1306696395336843269
Zannyx08,"b""RT @PempheroMphande: Women should push for a law that says every man who impregnates a woman and doesn't take responsibility should be jail?""",Malawi,1306696084786417667
Slykiddd,b'@henrybux1 Totally insane',Malawi,1306695719978401793
EmmaQlate_,b'RT @Qwazylindie: He? is ?not? stingy? sis ?he? just ?wants ?to? teach? you ?how? to? fish ?and? not? give? you ?fish? everytime ?you ?need??',Malawi,1306695632770543617
HenrickFestus,b'??Wallace yi siwamasewela.guy knows how to act https://t.co/DK7tLZ71o2',Malawi,1306695630232977409
ChePatuma,"b'@Macheda_Jeffrey Well, solle'",Malawi,1306695468194369540
Charlozaman,b'They never show us on TV this part of Uganda ? https://t.co/HKcsUNLKKi',Malawi,1306694955587571712
elwin_mw,b'@de_1_c Happy birthday ase',Malawi,1306694859835744262
Twiggalite,b'@A_Foto_Princie ?????usandipatse busy',Malawi,1306694718613581825
Charlozaman,b'Snakes in the jungle ? https://t.co/ysKCnI5SoD',Malawi,1306694483006939139
Charlozaman,b'Mad and bad ? https://t.co/uyFyneDJNj',Malawi,1306694360126427137
