user,text,country,id
Boating1,b'RT @Sam2323_43433: By Accident He Stepped On ??\n????\nI Feel So Sorry For Him\n???? https://t.co/vB5f429xn4',Venezuela,1306726328822042624
AlexaBentez8,b'Cute Baby Ducks Eating Peas(ASMR Sounds) P2?1 Week Old Ducklings First F... https://t.co/41LHrqtE7v via @YouTube',Venezuela,1306726300409901056
Kyzaku_,"b""RT @lou_lubally: @KatieChrz @sonic_hedgehog Hello! I'm new as a cartoonist within the fandom, but it makes me happy to share this with you??""",Venezuela,1306726290427441154
megahipico,b'RT @PIRELAESPINA: #EjerciciosINH EXTRAORDINARY https://t.co/83rP0ixrHd',Venezuela,1306726221817012224
DanielPipes4,b'RT @Sam2323_43433: By Accident He Stepped On ??\n????\nI Feel So Sorry For Him\n???? https://t.co/vB5f429xn4',Venezuela,1306726147137384449
MajoVene18,b'@Orianaramirez26 @BUBYTTALT Inlove',Venezuela,1306726114455412736
theghost69,b'RT @Sam2323_43433: By Accident He Stepped On ??\n????\nI Feel So Sorry For Him\n???? https://t.co/vB5f429xn4',Venezuela,1306726103738916865
diego_alej,b'RT @henriquelazo: @profesorbriceno my beloved friend',Venezuela,1306726081198731265
CRAZYONSI,b'RT @Sam2323_43433: Hey Californians \n??\nMission Accomplished \n??\nYour Witches Came Through \n?? https://t.co/FPjv8SZ2F4',Venezuela,1306726052656537600
SCcoast_agent,"b'RT @Sam2323_43433: Biden Heading To Scranton PA Tonight For A ""Drive In"" Rally ??\n??????\nCan\'t Believe How Scared Is He ??\n??????\nNot Sure?'",Venezuela,1306726043709997067
icicledisaster,"b'RT @KalebPrime: You heard him, @SteveDanuser https://t.co/b3Boegwz1u'",Venezuela,1306726007412600838
masravchavol,b'@latablablog Mas inexactitudes...',Venezuela,1306725985757343744
Chancock7358,b'RT @Sam2323_43433: By Accident He Stepped On ??\n????\nI Feel So Sorry For Him\n???? https://t.co/vB5f429xn4',Venezuela,1306725965855293440
MaikelRodrii1,b'Usted tiene suggar daddy?',Venezuela,1306725948658778113
marycastro54,b'@YUcuoDydRuZKyT3 @mamanina736 @BaumanCaren @soadakramhattif @Cesuryorum @mkolean3 @Elfiiiiipk @Gloria91191464? https://t.co/aZXGrC8nNo',Venezuela,1306725945705979905
johnavy28,b'Postal Service changes blocked by federal judge https://t.co/SzY43mPxSp https://t.co/hfLgdeXQxM',Venezuela,1306725785173016576
Zoraida14_San,"b'""Saudi Arabia showed its determination to protect the oil recovery, warning short sellers not to challenge its reso? https://t.co/3i7ShNZiwm'",Venezuela,1306725768802848769
angeeeelax,b'RT @Kaarlaaa10: mood',Venezuela,1306725767687045121
GrumpyBear60,b'RT @Sam2323_43433: Hey Californians \n??\nMission Accomplished \n??\nYour Witches Came Through \n?? https://t.co/FPjv8SZ2F4',Venezuela,1306725760523210752
StevenRMcdonal2,b'RT @Sam2323_43433: By Accident He Stepped On ??\n????\nI Feel So Sorry For Him\n???? https://t.co/vB5f429xn4',Venezuela,1306725715090472961
HLAurora63,b'RT @Sam2323_43433: By Accident He Stepped On ??\n????\nI Feel So Sorry For Him\n???? https://t.co/vB5f429xn4',Venezuela,1306725713463083008
Him3jima,"b'shorty don?t steal my hoodies, she steals my gab?nes'",Venezuela,1306725700666232832
gametim45513304,b'RT @Sam2323_43433: By Accident He Stepped On ??\n????\nI Feel So Sorry For Him\n???? https://t.co/vB5f429xn4',Venezuela,1306725659356659713
EmelyLR,b'Feel like?',Venezuela,1306725657368563715
Darwiin06,"b'Yes Asia, she coming coming ? https://t.co/WbdsmoMmza'",Venezuela,1306725613991071746
RaWinGs_,b'Ahh wenoo https://t.co/XV6pXh2D3J',Venezuela,1306725573398597639
NazzurUnPostin,b'@icholejajaja @_Sdccb Same bro',Venezuela,1306725534244786176
