user,text,country,id
aommy2611,b'Day 528 wait to see you again too.?? #?????? @BTS_twt #v #Taehyung\n\n https://t.co/V1qMPt0TIR',Thailand,1306724581583904769
M1sterFox,b'@gamestorygirl hard disagree',Thailand,1306718894736850945
M1sterFox,"b'@jonk1969 truly epic hair, bro'",Thailand,1306718733830729729
_roboi_,b'@toutnickel ? La big miff',Thailand,1306689947404046338
Pete_AmPositive,"b'lost controlling of their perception,emotional, even lost controlled of Happiness/Suffering. We are all the same th? https://t.co/2K4kE3cdFO'",Thailand,1306677066880876544
Pete_AmPositive,"b'Person who mindfully, correctly, understanding the whole-world until deep inside to their own mind as deep as gener? https://t.co/O5kuOdQIxr'",Thailand,1306675254849200128
Pete_AmPositive,"b'All kind of those wording were expressed by anybody. I will rejected,ignored,unaccepted,keep myself away from its.? https://t.co/hq05T122Yd'",Thailand,1306673600536035328
Pete_AmPositive,"b'Useful study&amp;information to be shared for beneficially outcome of all stakeholders in every part related. So ""Nobod? https://t.co/6jrvnEiAFj'",Thailand,1306669352691752960
AhsokaTano3334,"b'@TheGGeneralYT Face reveal next year, let?s goo'",Thailand,1306667511409147905
Srivilasja,b'RT @ChaodoiBHY: ? Still 2gether Giveaways ?\n\nDATE ? : 17 September 2020\n\nProject by. @BrightWinFamily\n\nHashtag #?? : #Still2getherforever?',Thailand,1306662941073186816
Whyyy_whyy,b'@dadisco96 @TS_Youngjae333 Happy birthday Youngjae ? love you ?#DaldiYoungjaeDay #Youngjae\n#OurSoulmateYoungjae\n#??????_??_?????',Thailand,1306657402435940352
Whyyy_whyy,b'@TS_Youngjae333 Happy birthday Youngjae ? love you ?#DaldiYoungjaeDay #Youngjae\n#OurSoulmateYoungjae\n#??????_??_?????',Thailand,1306657302200512512
Whyyy_whyy,b'@Wildyam_K @TS_Youngjae333 Happy birthday Youngjae ? love you ?\n???????? ~~~\n#DaldiYoungjaeDay #Youngjae? https://t.co/sEwntF2v8u',Thailand,1306656894325407744
peiixkr,b'plan_recover_recover_recover_recover ?????????? ???????????????????????????????????',Thailand,1306654478993506304
M1sterFox,"b""@stephenjmcmanus Tbh, I'd rather talk about how Paul McCartney is uncircumcised.""",Thailand,1306654314358743040
M1sterFox,"b""@stephenjmcmanus Your sarcasm, usually. Which is why I'm confused.""",Thailand,1306652295434698752
M1sterFox,"b'@patrickkevinday @ShawnReynolds_ ""You\'ve beaten me, Joker. Now it is your right to unmask me...""\n\n""Nah, I\'m good.""'",Thailand,1306652176077344768
M1sterFox,"b""@stephenjmcmanus some pretty obscure pulls. You're probably safe.""",Thailand,1306651610559381505
M1sterFox,b'@stephenjmcmanus Wait. For real?',Thailand,1306651498072350722
M1sterFox,"b'@literalpumpkin Not a bad collection of games there, Mr Stauder! ?'",Thailand,1306651367646220288
AhsokaTano3334,b'I just think Alex Morgan... https://t.co/jsLfXKeoKj',Thailand,1306641655961972736
Porcupine27,b'Just posted a photo @ Feeling &amp; Arts Tattoo Shop... https://t.co/fKzQessXDh',Thailand,1306641045476855811
nancykrub,b'RT @ChaodoiBHY: ? Still 2gether Giveaways ?\n\nDATE ? : 17 September 2020\n\nProject by. @BrightWinFamily\n\nHashtag #?? : #Still2getherforever?',Thailand,1306640362711052288
solityz,b'@ifine Special Edition ????',Thailand,1306635358856126464
katzmaikabaja,b'@rissejandayan @ivyviparous try one year lng?',Thailand,1306630794161524737
imaanjsmyn,b'RT @hajarslmnn: get a man that stay obsessed with you\n\nnot just in the beginning.',Thailand,1306630596660047874
noe_y9,b'RT @Jeab90_TomTom: My new lock screen ?? https://t.co/AXRRnO3qAP',Thailand,1306626862538350592
_bearruang,b'dont waste your tears you fucking idiot',Thailand,1306625963141152768
AlisaBaharuddin,b'RT @hajarslmnn: the only social distancing that Malaysian can do properly. https://t.co/2JYCl0C86M',Thailand,1306621445259161600
DannyFlavs17,b'@xleah_robyn @leahcorb You?re in trouble @elliscooper_',Thailand,1306618057985372165
CC2224_,b'@mtl514hustla @RayyanS04 @Woodsy_ @charlieINTEL yeah i have 80 / 27 and thats very nice in Germany \n\ni need ca 15min for downloading it',Thailand,1306614960362057729
BeaAmoreeee,b'RT @stepaniegamboa: umay sa chem at physics ?',Thailand,1306611246293110785
izzatizdanish,b'Ouh yes and fyi I can give u attention if u want some',Thailand,1306607547541979136
ChameleonCome,b'@Rigbot Thats why i bought games on discount',Thailand,1306606425368481793
ChameleonCome,b'@KennyKnox War and Peace. When ure bored you can chuck that thing to ur enemies',Thailand,1306606275073994752
Peangdaw2,b'RT @Jeab90_TomTom: My new lock screen ?? https://t.co/AXRRnO3qAP',Thailand,1306606208430698496
izzatizdanish,b'And wow your throwing skills are so awesome gitu ?',Thailand,1306605156306268162
izzatizdanish,b'I can do more than you think',Thailand,1306604754345144320
izzatizdanish,b'Hearing frequency\nHuman 15-20 kHz\nBat 9-200 kHz\n\nYea yea so interesting I know',Thailand,1306604617472466944
Anchan_fctom,b'RT @Jeab90_TomTom: My new lock screen ?? https://t.co/AXRRnO3qAP',Thailand,1306601364345118721
Sahly18,b'RT @ChaodoiBHY: ? Still 2gether Giveaways ?\n\nDATE ? : 17 September 2020\n\nProject by. @BrightWinFamily\n\nHashtag #?? : #Still2getherforever?',Thailand,1306597872222105601
missLJPC,b'time for umbrella academy season 2!! ?',Thailand,1306596074925113350
JackBur78928682,b'Triggered gammon alert https://t.co/GUhDSCYSTS',Thailand,1306593566664261637
yamkkkws,"b""RT @ChaodoiBHY: ? JAE'S BIRTHDAY PROJECT ?\n\nDATE ? : 12 September 2020\n\nProject by. : @jaepark_th ?\n\nHashtag #?? : #JAEsBDLiveinBKK2020\n#HA?""",Thailand,1306593421998485506
BBbell703,b'RT @ChaodoiBHY: ? Still 2gether Giveaways ?\n\nDATE ? : 17 September 2020\n\nProject by. @BrightWinFamily\n\nHashtag #?? : #Still2getherforever?',Thailand,1306592548530483203
sombluemoon,b'RT @Jeab90_TomTom: My new lock screen ?? https://t.co/AXRRnO3qAP',Thailand,1306592529983311872
ern_lism,b'RT @Jeab90_TomTom: My new lock screen ?? https://t.co/AXRRnO3qAP',Thailand,1306592301985144833
PSangprapun,b'RT @Jeab90_TomTom: My new lock screen ?? https://t.co/AXRRnO3qAP',Thailand,1306591725364756480
amsumontra,b'RT @Jeab90_TomTom: My new lock screen ?? https://t.co/AXRRnO3qAP',Thailand,1306591513552404481
seemepam,b'RT @Jeab90_TomTom: My new lock screen ?? https://t.co/AXRRnO3qAP',Thailand,1306588674763628545
tomtom_2531,b'RT @Jeab90_TomTom: My new lock screen ?? https://t.co/AXRRnO3qAP',Thailand,1306586747581546496
Jeab90_TomTom,b'My new lock screen ?? https://t.co/AXRRnO3qAP',Thailand,1306585734086705154
Naree_OnLine,b'RT @ChaodoiBHY: ? Still 2gether Giveaways ?\n\nDATE ? : 17 September 2020\n\nProject by. @BrightWinFamily\n\nHashtag #?? : #Still2getherforever?',Thailand,1306585043830075397
DalastKimbasabi,b'Why is #DanielAndrews creating food shortages?',Thailand,1306582536798244868
Toyz_D,b'???????????????\n[A.C.E - Goblin(Favorite Boys)] KPOP TV Show | M COUNTDOWN 200917 EP.682 https://t.co/NCsENg3D9m via @YouTube',Thailand,1306581955006218242
DalastKimbasabi,b'#DanielAndrews super computer must have been f##ked',Thailand,1306580548534579201
jdthgnzlsmnl,b'RT @stepaniegamboa: umay sa chem at physics ?',Thailand,1306578091049852928
DalastKimbasabi,b'@JGademski We need to bring them to justice',Thailand,1306576324463661056
milf69420,b'What',Thailand,1306571468751417346
missLJPC,b'not a fan pero they cool ? https://t.co/aWczy17dCS',Thailand,1306570000879284226
ChameleonCome,"b'If Pushkin is alive, he prob will listen to this https://t.co/b6Ci3xQYFi'",Thailand,1306565613641326598
