user,text,country,id
KatrinaVanta,"b'RT @unwomenctrlasia: Gender pay gap ranges from 14 per cent to an alarming 49 per cent in our region. \n\nOn the eve of #EqualPayDay, join us?'",Kazakhstan,1306707855408594944
saya1307,b'@Viktoriya_U @SnapesPerson I?m really looking forward to it ?',Kazakhstan,1306706592230969344
bridgetelf,"b'Pro tip: If a journal is claiming to have an impact factor of 7.66, publishes on a range of disciplines, and is ema? https://t.co/PczM9G09ll'",Kazakhstan,1306700957082742784
saya1307,b'@SnapesPerson @Viktoriya_U *sigh* I hope I?ll be done with my job assignment by Sunday and then I?ll start catching? https://t.co/e9YtFhUT28',Kazakhstan,1306700838786789378
G1981Antonio,"b'RT @kaiberpunk: @BatmanBoxing SD Charlo. One scorecard will be bs, I expect something like 117-111, and  115-113 in favor of Charlo. And th?'",Kazakhstan,1306698915866202118
anuar_barca,"b""That's gonna be laughable)) https://t.co/Kh5yTQaeKF""",Kazakhstan,1306697796502904832
saya1307,"b'@Viktoriya_U Actually, if you ask me, it?s NOT the oranges that?s the most delicious thing in this picture ??'",Kazakhstan,1306693527716483074
kaiberpunk,"b""@TheCriticalDri2 I reckon Gina didn't pay a visit?""",Kazakhstan,1306689616905412615
kaiberpunk,"b""@GeeksGamersCom @BBCTheOneShow I expect the worst. Hopefully I'm wrong.""",Kazakhstan,1306686566455222283
kaiberpunk,"b'@BatmanBoxing SD Charlo. One scorecard will be bs, I expect something like 117-111, and  115-113 in favor of Charlo? https://t.co/FEIQr2DMOB'",Kazakhstan,1306685213456695298
Empower_Women,"b'RT @unwomenctrlasia: WOMEN ? DESERVE ? EQUAL ? PAY\n\nAs #UNGA continues, we?re calling on world leaders to ditch discriminatory laws &amp; help?'",Kazakhstan,1306667986682437633
Seraephina,"b'RT @unwomenctrlasia: Gender pay gap ranges from 14 per cent to an alarming 49 per cent in our region. \n\nOn the eve of #EqualPayDay, join us?'",Kazakhstan,1306667622272921601
NazymSerikpek,"b'4/4 ""I solemnly swear to perform my duties honestly and conscientiously, to administer justice, obeying only the Co? https://t.co/6t8TLMdS9s'",Kazakhstan,1306666394948431873
NazymSerikpek,"b'3/4 Obviously, Temirov should be removed from his post and brought to criminal responsibility for abuse of power, g? https://t.co/YbOiBNwxXR'",Kazakhstan,1306666393010667522
NazymSerikpek,"b'2/4 #Temirov Zhanat and judges Merzadinova, Akhmetova, with the help of online courts and in 3-5 minutes, passed po? https://t.co/7e6H1a5WL0'",Kazakhstan,1306666389990780929
